,event,penalty,penalty_on,drew_by,coords,period,period_time_remaining,penalty_team,drew_by_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,penalty_on_id,drew_by_id,game_id,winning_team,date,description
72,penalty,Hooking,Charlie McAvoy,Zach Parise,[-80.  -5.],1,02:35,BOS,MIN,MIN,30,BOS,6,0,1,8479325,8470610.0,2019020801,BOS,2020-02-02,Charlie McAvoy Hooking against Zach Parise
92,penalty,Interference,Ryan Hartman,Torey Krug,[77.  0.],2,16:11,MIN,BOS,MIN,30,BOS,6,0,1,8477451,8476792.0,2019020801,BOS,2020-02-02,Ryan Hartman Interference against Torey Krug
101,penalty,Interference,Eric Staal,Brandon Carlo,[25. 25.],2,14:39,MIN,BOS,MIN,30,BOS,6,0,2,8470595,8478443.0,2019020801,BOS,2020-02-02,Eric Staal Interference against Brandon Carlo
122,penalty,Roughing,Charlie McAvoy,Mats Zuccarello,[80. 26.],2,08:41,BOS,MIN,MIN,30,BOS,6,0,3,8479325,8475692.0,2019020801,BOS,2020-02-02,Charlie McAvoy Roughing against Mats Zuccarello
128,penalty,Interference,Brad Marchand,Mikko Koivu,[-17.  41.],2,07:24,BOS,MIN,MIN,30,BOS,6,0,3,8473419,8469459.0,2019020801,BOS,2020-02-02,Brad Marchand Interference against Mikko Koivu
129,penalty,Roughing,Mikko Koivu,Brad Marchand,[-15.  42.],2,07:24,MIN,BOS,MIN,30,BOS,6,0,3,8469459,8473419.0,2019020801,BOS,2020-02-02,Mikko Koivu Roughing against Brad Marchand
135,penalty,Holding,Joel Eriksson Ek,Torey Krug,[64. 35.],2,05:28,MIN,BOS,MIN,30,BOS,6,0,3,8478493,8476792.0,2019020801,BOS,2020-02-02,Joel Eriksson Ek Holding against Torey Krug
150,penalty,Cross checking,Jake DeBrusk,Jared Spurgeon,[-74.  10.],2,02:20,BOS,MIN,MIN,30,BOS,6,0,4,8478498,8474716.0,2019020801,BOS,2020-02-02,Jake DeBrusk Cross checking against Jared Spurgeon
184,penalty,Hooking,Zdeno Chara,Victor Rask,[-66.  35.],3,13:06,BOS,MIN,MIN,30,BOS,6,0,4,8465009,8476437.0,2019020801,BOS,2020-02-02,Zdeno Chara Hooking against Victor Rask
198,penalty,Hooking,Jonas Brodin,Anders Bjork,[53. 34.],3,08:43,MIN,BOS,MIN,30,BOS,6,0,4,8476463,8478075.0,2019020801,BOS,2020-02-02,Jonas Brodin Hooking against Anders Bjork
63,penalty,Missing key [PD_151],Jake Virtanen,,[35. 35.],1,05:36,VAN,BOS,BOS,6,VAN,23,1,0,8477937,,2019020812,,2020-02-05,Delaying Game - Unsucc. chlg served by Jake Virtanen
109,penalty,Delaying Game - Puck over glass,Troy Stecher,,[-55.  37.],2,14:15,VAN,BOS,BOS,6,VAN,23,1,0,8479442,,2019020812,,2020-02-05,Troy Stecher Delaying Game - Puck over glass
