,event,penalty,penalty_on,drew_by,coords,period,period_time_remaining,penalty_team,drew_by_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,penalty_on_id,drew_by_id,description
20,penalty,Hooking,Nazem Kadri,Michael Frolik,[98.  6.],1,14:51,COL,BUF,BUF,7,COL,21,0,0,8475172,8473564.0,Nazem Kadri Hooking against Michael Frolik
198,penalty,Delaying Game - Puck over glass,Ryan Graves,,[ 34. -40.],3,04:56,COL,BUF,BUF,7,COL,21,1,6,8477435,,Ryan Graves Delaying Game - Puck over glass
7,penalty,Interference,Justin Abdelkader,Jeff Skinner,[73. 32.],1,18:04,DET,BUF,BUF,7,DET,17,0,0,8471716,8475784.0,Justin Abdelkader Interference against Jeff Skinner
56,penalty,Hooking,Darren Helm,Lawrence Pilut,[-5. 34.],1,01:15,DET,BUF,BUF,7,DET,17,0,1,8471794,8480935.0,Darren Helm Hooking against Lawrence Pilut
58,penalty,Hi stick - double minor,Jack Eichel,Luke Glendening,[56.  1.],1,01:08,BUF,DET,BUF,7,DET,17,0,1,8478403,8476822.0,Jack Eichel Hi stick - double minor against Luke Glendening
92,penalty,Tripping,Gustav Lindstrom,Marcus Johansson,[-87.  35.],2,10:31,DET,BUF,BUF,7,DET,17,0,2,8480184,8475149.0,Gustav Lindstrom Tripping against Marcus Johansson
98,penalty,Hi-sticking,Jake McCabe,Andreas Athanasiou,[ 47. -40.],2,07:01,BUF,DET,BUF,7,DET,17,0,2,8476931,8476960.0,Jake McCabe Hi-sticking against Andreas Athanasiou
130,penalty,Slashing,Jimmy Vesey,Alex Biega,[99. 14.],3,16:57,BUF,DET,BUF,7,DET,17,0,2,8476918,8473415.0,Jimmy Vesey Slashing against Alex Biega
131,penalty,Cross checking,Alex Biega,Jimmy Vesey,[97. 18.],3,16:57,DET,BUF,BUF,7,DET,17,0,2,8473415,8476918.0,Alex Biega Cross checking against Jimmy Vesey
144,penalty,Slashing,Givani Smith,Jeff Skinner,[ 61. -15.],3,14:00,DET,BUF,BUF,7,DET,17,1,2,8479379,8475784.0,Givani Smith Slashing against Jeff Skinner
