,event,penalty,penalty_on,drew_by,coords,period,period_time_remaining,penalty_team,drew_by_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,penalty_on_id,drew_by_id,game_id,winning_team,date,description
38,penalty,Hi-sticking,Nino Niederreiter,Troy Stecher,[-79.   1.],1,12:20,CAR,VAN,CAR,12,VAN,23,0,1,8475799,8479442.0,2019020808,,2020-02-02,Nino Niederreiter Hi-sticking against Troy Stecher
92,penalty,Tripping,Erik Haula,Alexander Edler,[56. 18.],1,02:47,CAR,VAN,CAR,12,VAN,23,0,1,8475287,8471303.0,2019020808,,2020-02-02,Erik Haula Tripping against Alexander Edler
158,penalty,Holding,Jaccob Slavin,J.T. Miller,[-37. -39.],2,08:50,CAR,VAN,CAR,12,VAN,23,2,1,8476958,8476468.0,2019020808,,2020-02-02,Jaccob Slavin Holding against J.T. Miller
245,penalty,Slashing,J.T. Miller,Nino Niederreiter,[-80.  36.],3,09:06,VAN,CAR,CAR,12,VAN,23,3,3,8476468,8475799.0,2019020808,,2020-02-02,J.T. Miller Slashing against Nino Niederreiter
255,penalty,Interference,Haydn Fleury,Brandon Sutter,[ 57. -40.],3,06:03,CAR,VAN,CAR,12,VAN,23,3,3,8477938,8474091.0,2019020808,,2020-02-02,Haydn Fleury Interference against Brandon Sutter
13,penalty,Holding the stick,Brayden Schenn,Jordan Staal,[80. -1.],1,16:18,STL,CAR,STL,19,CAR,12,1,0,8475170,8473533.0,2019020820,,2020-02-05,Brayden Schenn Holding the stick against Jordan Staal
51,penalty,Roughing,Vince Dunn,Andrei Svechnikov,[-49.  38.],1,04:25,STL,CAR,STL,19,CAR,12,1,0,8478407,8480830.0,2019020820,,2020-02-05,Vince Dunn Roughing against Andrei Svechnikov
52,penalty,Roughing,Andrei Svechnikov,Vince Dunn,[-40.  39.],1,04:25,CAR,STL,STL,19,CAR,12,1,0,8480830,8478407.0,2019020820,,2020-02-05,Andrei Svechnikov Roughing against Vince Dunn
56,penalty,Holding,Sebastian Aho,Robert Thomas,[-22.  20.],1,02:51,CAR,STL,STL,19,CAR,12,1,0,8478427,8480023.0,2019020820,,2020-02-05,Sebastian Aho Holding against Robert Thomas
71,penalty,Hooking,Vince Dunn,Martin Necas,[58. 39.],2,18:08,STL,CAR,STL,19,CAR,12,2,0,8478407,8480039.0,2019020820,,2020-02-05,Vince Dunn Hooking against Martin Necas
94,penalty,Slashing,Jordan Martinook,Jaden Schwartz,[-36.  -2.],2,12:41,CAR,STL,STL,19,CAR,12,3,1,8476921,8475768.0,2019020820,,2020-02-05,Jordan Martinook Slashing against Jaden Schwartz
107,penalty,Hooking,Jake Gardiner,David Perron,[-69.   0.],2,09:02,CAR,STL,STL,19,CAR,12,4,1,8474581,8474102.0,2019020820,,2020-02-05,Jake Gardiner Hooking against David Perron
154,penalty,Tripping,Sammy Blais,Andrei Svechnikov,[-14. -22.],3,12:18,STL,CAR,STL,19,CAR,12,5,1,8478104,8480830.0,2019020820,,2020-02-05,Sammy Blais Tripping against Andrei Svechnikov
175,penalty,Hooking,Alexander Steen,Martin Necas,[10.  4.],3,04:57,STL,CAR,STL,19,CAR,12,6,2,8470257,8480039.0,2019020820,,2020-02-05,Alexander Steen Hooking against Martin Necas
186,penalty,Slashing,Martin Necas,Zach Sanford,[ 43. -38.],3,02:20,CAR,STL,STL,19,CAR,12,6,3,8480039,8477482.0,2019020820,,2020-02-05,Martin Necas Slashing against Zach Sanford
10,penalty,Hooking,Niklas Hjalmarsson,Andrei Svechnikov,[-51.   7.],1,18:10,ARI,CAR,ARI,53,CAR,12,0,0,8471769,8480830.0,2019020838,,2020-02-07,Niklas Hjalmarsson Hooking against Andrei Svechnikov
18,penalty,Hooking,Joel Edmundson,Nick Schmaltz,[57.  0.],1,15:51,CAR,ARI,ARI,53,CAR,12,0,0,8476441,8477951.0,2019020838,,2020-02-07,Joel Edmundson Hooking against Nick Schmaltz
94,penalty,Hi-sticking,Justin Williams,Aaron Ness,[ 79. -34.],2,17:41,CAR,ARI,ARI,53,CAR,12,1,0,8468508,8474604.0,2019020838,,2020-02-07,Justin Williams Hi-sticking against Aaron Ness
144,penalty,Holding,Joel Edmundson,Clayton Keller,[-90.  12.],2,07:14,CAR,ARI,ARI,53,CAR,12,2,3,8476441,8479343.0,2019020838,,2020-02-07,Joel Edmundson Holding against Clayton Keller
152,penalty,Boarding,Brad Richardson,Lucas Wallmark,[ 2. 38.],2,05:01,ARI,CAR,ARI,53,CAR,12,2,3,8470755,8478027.0,2019020838,,2020-02-07,Brad Richardson Boarding against Lucas Wallmark
157,penalty,Hooking,Jake Gardiner,Taylor Hall,[-85.   8.],2,02:57,CAR,ARI,ARI,53,CAR,12,2,3,8474581,8475791.0,2019020838,,2020-02-07,Jake Gardiner Hooking against Taylor Hall
225,penalty,Boarding,Lucas Wallmark,Aaron Ness,[-93.  -7.],3,03:45,CAR,ARI,ARI,53,CAR,12,3,4,8478027,8474604.0,2019020838,,2020-02-07,Lucas Wallmark Boarding against Aaron Ness
111,penalty,Roughing,Brayden McNabb,Warren Foegele,[-96.  18.],2,16:29,VGK,CAR,VGK,54,CAR,12,3,1,8475188,8477998.0,2019020854,,2020-02-11,Brayden McNabb Roughing against Warren Foegele
201,penalty,Hi stick - double minor,Zach Whitecloud,Erik Haula,[-52.  40.],3,17:55,VGK,CAR,VGK,54,CAR,12,3,2,8480727,8475287.0,2019020854,,2020-02-11,Zach Whitecloud Hi stick - double minor against Erik Haula
222,penalty,Holding,Brett Pesce,Ryan Reaves,[-80.   0.],3,14:11,CAR,VGK,VGK,54,CAR,12,4,3,8477488,8471817.0,2019020854,,2020-02-11,Brett Pesce Holding against Ryan Reaves
254,penalty,Tripping,Tomas Nosek,Trevor van Riemsdyk,[-70.   3.],3,07:02,VGK,CAR,VGK,54,CAR,12,4,4,8477931,8477845.0,2019020854,,2020-02-11,Tomas Nosek Tripping against Trevor van Riemsdyk
285,penalty,Holding,Joel Edmundson,Reilly Smith,[-89.  23.],3,00:59,CAR,VGK,VGK,54,CAR,12,5,5,8476441,8475191.0,2019020854,,2020-02-11,Joel Edmundson Holding against Reilly Smith
89,penalty,Boarding,Radek Faksa,Justin Williams,[-91. -31.],1,04:27,DAL,CAR,DAL,25,CAR,12,1,0,8476889,8468508.0,2019020873,,2020-02-12,Radek Faksa Boarding against Justin Williams
125,penalty,Holding the stick,Martin Necas,Stephen Johns,[-99. -10.],2,15:18,CAR,DAL,DAL,25,CAR,12,1,1,8480039,8475730.0,2019020873,,2020-02-12,Martin Necas Holding the stick against Stephen Johns
163,penalty,Hooking,Jordan Staal,Alexander Radulov,[84. -6.],2,09:19,CAR,DAL,DAL,25,CAR,12,1,1,8473533,8471228.0,2019020873,,2020-02-12,Jordan Staal Hooking against Alexander Radulov
180,penalty,Hooking,Brock McGinn,Roope Hintz,[35. 41.],2,06:05,CAR,DAL,DAL,25,CAR,12,2,1,8476934,8478449.0,2019020873,,2020-02-12,Brock McGinn Hooking against Roope Hintz
216,penalty,Tripping,Jake Gardiner,Denis Gurianov,[47.  3.],3,16:20,CAR,DAL,DAL,25,CAR,12,3,1,8474581,8478495.0,2019020873,,2020-02-12,Jake Gardiner Tripping against Denis Gurianov
6,penalty,Holding,Jordan Staal,Miles Wood,[ 48. -38.],1,18:47,CAR,NJD,CAR,12,NJD,1,0,0,8473533,8477425.0,2019020894,,2020-02-15,Jordan Staal Holding against Miles Wood
77,penalty,Holding,Blake Coleman,Martin Necas,[-21. -34.],2,18:45,NJD,CAR,CAR,12,NJD,1,2,1,8476399,8480039.0,2019020894,,2020-02-15,Blake Coleman Holding against Martin Necas
125,penalty,Tripping,Wayne Simmonds,Nino Niederreiter,[ 61. -27.],2,05:32,NJD,CAR,CAR,12,NJD,1,3,1,8474190,8475799.0,2019020894,,2020-02-15,Wayne Simmonds Tripping against Nino Niederreiter
196,penalty,Slashing,Joel Edmundson,Miles Wood,[78. -8.],3,07:32,CAR,NJD,CAR,12,NJD,1,4,1,8476441,8477425.0,2019020894,,2020-02-15,Joel Edmundson Slashing against Miles Wood
209,penalty,Tripping,Brett Pesce,Kevin Rooney,[30. 37.],3,04:43,CAR,NJD,CAR,12,NJD,1,5,2,8477488,8479291.0,2019020894,,2020-02-15,Brett Pesce Tripping against Kevin Rooney
212,penalty,Tripping,Jordan Staal,Pavel Zacha,[31. 38.],3,03:55,CAR,NJD,CAR,12,NJD,1,5,2,8473533,8478401.0,2019020894,,2020-02-15,Jordan Staal Tripping against Pavel Zacha
13,penalty,Hi-sticking,Andrei Svechnikov,Kailer Yamamoto,[-80. -39.],1,15:33,CAR,EDM,CAR,12,EDM,22,1,0,8480830,8479977.0,2019020908,,2020-02-16,Andrei Svechnikov Hi-sticking against Kailer Yamamoto
74,penalty,Slashing,Adam Larsson,Andrei Svechnikov,[-85.  -4.],1,00:46,EDM,CAR,CAR,12,EDM,22,1,1,8476457,8480830.0,2019020908,,2020-02-16,Adam Larsson Slashing against Andrei Svechnikov
106,penalty,Roughing,Josh Archibald,Nino Niederreiter,[-82.  -9.],2,13:42,EDM,CAR,CAR,12,EDM,22,2,1,8476326,8475799.0,2019020908,,2020-02-16,Josh Archibald Roughing against Nino Niederreiter
107,penalty,Roughing,Erik Haula,Josh Archibald,[-81.  -6.],2,13:42,CAR,EDM,CAR,12,EDM,22,2,1,8475287,8476326.0,2019020908,,2020-02-16,Erik Haula Roughing against Josh Archibald
108,penalty,Roughing,Nino Niederreiter,Josh Archibald,[-87.  -9.],2,13:42,CAR,EDM,CAR,12,EDM,22,2,1,8475799,8476326.0,2019020908,,2020-02-16,Nino Niederreiter Roughing against Josh Archibald
131,penalty,Hooking,Erik Haula,Matt Benning,[23. 28.],2,06:26,CAR,EDM,CAR,12,EDM,22,2,1,8475287,8476988.0,2019020908,,2020-02-16,Erik Haula Hooking against Matt Benning
165,penalty,Holding,Jujhar Khaira,Haydn Fleury,[89.  5.],3,14:30,EDM,CAR,CAR,12,EDM,22,2,3,8476915,8477938.0,2019020908,,2020-02-16,Jujhar Khaira Holding against Haydn Fleury
176,penalty,Tripping,Colby Cave,Lucas Wallmark,[51.  8.],3,09:17,EDM,CAR,CAR,12,EDM,22,2,3,8477529,8478027.0,2019020908,,2020-02-16,Colby Cave Tripping against Lucas Wallmark
21,penalty,Slashing,Sebastian Aho,Viktor Arvidsson,[79.  5.],1,15:53,CAR,NSH,NSH,18,CAR,12,0,1,8478427,8478042.0,2019020925,,2020-02-19,Sebastian Aho Slashing against Viktor Arvidsson
88,penalty,Missing key [PD_151],Martin Necas,,[11. 40.],2,19:12,CAR,NSH,NSH,18,CAR,12,1,1,8480039,,2019020925,,2020-02-19,Delaying Game - Unsucc. chlg served by Martin Necas
94,penalty,Slashing,Kyle Turris,Erik Haula,[-81.   8.],2,16:20,NSH,CAR,NSH,18,CAR,12,1,1,8474068,8475287.0,2019020925,,2020-02-19,Kyle Turris Slashing against Erik Haula
140,penalty,Holding,Joel Edmundson,Matt Duchene,[-67.  -3.],2,03:19,CAR,NSH,NSH,18,CAR,12,1,3,8476441,8475168.0,2019020925,,2020-02-19,Joel Edmundson Holding against Matt Duchene
177,penalty,Hooking,Lucas Wallmark,Roman Josi,[94. -9.],3,13:46,CAR,NSH,NSH,18,CAR,12,1,4,8478027,8474600.0,2019020925,,2020-02-19,Lucas Wallmark Hooking against Roman Josi
220,penalty,Hi stick - double minor,Yannick Weber,Lucas Wallmark,[ -3. -33.],3,01:29,NSH,CAR,NSH,18,CAR,12,1,4,8474134,8478027.0,2019020925,,2020-02-19,Yannick Weber Hi stick - double minor against Lucas Wallmark
65,penalty,Interference,Jacob Trouba,Martin Necas,[-89. -28.],1,08:04,NYR,CAR,CAR,12,NYR,3,0,0,8476885,8480039.0,2019020942,,2020-02-22,Jacob Trouba Interference against Martin Necas
96,penalty,Interference,Jacob Trouba,Lucas Wallmark,[-68. -40.],1,02:14,NYR,CAR,CAR,12,NYR,3,0,1,8476885,8478027.0,2019020942,,2020-02-22,Jacob Trouba Interference against Lucas Wallmark
109,penalty,Slashing,Jordan Staal,Mika Zibanejad,[-43.   7.],2,18:46,CAR,NYR,CAR,12,NYR,3,0,1,8473533,8476459.0,2019020942,,2020-02-22,Jordan Staal Slashing against Mika Zibanejad
119,penalty,Tripping,Jesper Fast,Martin Necas,[-71.  30.],2,15:37,NYR,CAR,CAR,12,NYR,3,1,1,8475855,8480039.0,2019020942,,2020-02-22,Jesper Fast Tripping against Martin Necas
154,penalty,Roughing,Andrei Svechnikov,Jacob Trouba,[67. 12.],2,07:09,CAR,NYR,CAR,12,NYR,3,1,2,8480830,8476885.0,2019020942,,2020-02-22,Andrei Svechnikov Roughing against Jacob Trouba
155,penalty,Roughing,Jacob Trouba,Andrei Svechnikov,[62. 12.],2,07:09,NYR,CAR,CAR,12,NYR,3,1,2,8476885,8480830.0,2019020942,,2020-02-22,Jacob Trouba Roughing against Andrei Svechnikov
186,penalty,Slashing,Justin Williams,Mika Zibanejad,[ 77. -37.],2,00:39,CAR,NYR,CAR,12,NYR,3,1,3,8468508,8476459.0,2019020942,,2020-02-22,Justin Williams Slashing against Mika Zibanejad
201,penalty,Delaying Game - Puck over glass,Julien Gauthier,,[-86. -21.],3,16:27,NYR,CAR,CAR,12,NYR,3,1,4,8479328,,2019020942,,2020-02-22,Julien Gauthier Delaying Game - Puck over glass
216,penalty,Tripping,Warren Foegele,Adam Fox,[-49.  23.],3,12:35,CAR,NYR,CAR,12,NYR,3,2,4,8477998,8479323.0,2019020942,,2020-02-22,Warren Foegele Tripping against Adam Fox
235,penalty,Tripping,Sebastian Aho,Brett Howden,[92. 26.],3,07:20,CAR,NYR,CAR,12,NYR,3,2,4,8478427,8479353.0,2019020942,,2020-02-22,Sebastian Aho Tripping against Brett Howden
247,penalty,Slashing,Tony DeAngelo,Nino Niederreiter,[-65. -37.],3,03:41,NYR,CAR,CAR,12,NYR,3,2,4,8477950,8475799.0,2019020942,,2020-02-22,Tony DeAngelo Slashing against Nino Niederreiter
248,penalty,Charging,Nino Niederreiter,Tony DeAngelo,[-57. -35.],3,03:41,CAR,NYR,CAR,12,NYR,3,2,4,8475799,8477950.0,2019020942,,2020-02-22,Nino Niederreiter Charging against Tony DeAngelo
15,penalty,Interference,Zach Hyman,Jaccob Slavin,[-84.   2.],1,16:53,TOR,CAR,TOR,10,CAR,12,0,0,8475786,8476958.0,2019020951,,2020-02-24,Zach Hyman Interference against Jaccob Slavin
36,penalty,Boarding,Andrei Svechnikov,Tyson Barrie,[94. 28.],1,13:50,CAR,TOR,TOR,10,CAR,12,0,0,8480830,8475197.0,2019020951,,2020-02-24,Andrei Svechnikov Boarding against Tyson Barrie
49,penalty,Roughing,Nino Niederreiter,Kasperi Kapanen,[-80. -37.],1,10:29,CAR,TOR,TOR,10,CAR,12,0,0,8475799,8477953.0,2019020951,,2020-02-24,Nino Niederreiter Roughing against Kasperi Kapanen
142,penalty,Hi-sticking,William Nylander,Brett Pesce,[23. 39.],2,11:16,TOR,CAR,TOR,10,CAR,12,1,1,8477939,8477488.0,2019020951,,2020-02-24,William Nylander Hi-sticking against Brett Pesce
155,penalty,Charging,Kyle Clifford,Petr Mrazek,[ 48. -26.],2,08:41,TOR,CAR,TOR,10,CAR,12,1,3,8475160,8475852.0,2019020951,,2020-02-24,Kyle Clifford Charging against Petr Mrazek
172,penalty,Slashing,Erik Haula,Auston Matthews,[36. 11.],2,04:21,CAR,TOR,TOR,10,CAR,12,3,4,8475287,8479318.0,2019020951,,2020-02-24,Erik Haula Slashing against Auston Matthews
181,penalty,Fighting,Joel Edmundson,Kyle Clifford,[70. 36.],2,01:21,CAR,TOR,TOR,10,CAR,12,3,4,8476441,8475160.0,2019020951,,2020-02-24,Joel Edmundson Fighting against Kyle Clifford
182,penalty,Fighting,Kyle Clifford,Joel Edmundson,[68. 36.],2,01:21,TOR,CAR,TOR,10,CAR,12,3,4,8475160,8476441.0,2019020951,,2020-02-24,Kyle Clifford Fighting against Joel Edmundson
224,penalty,Hooking,Warren Foegele,Denis Malgin,[ 32. -24.],3,14:05,CAR,TOR,TOR,10,CAR,12,3,6,8477998,8478843.0,2019020951,,2020-02-24,Warren Foegele Hooking against Denis Malgin
241,penalty,Hooking,Alexander Kerfoot,Trevor van Riemsdyk,[-69.  39.],3,10:29,TOR,CAR,TOR,10,CAR,12,3,6,8477021,8477845.0,2019020951,,2020-02-24,Alexander Kerfoot Hooking against Trevor van Riemsdyk
270,penalty,Roughing,Kasperi Kapanen,Jordan Staal,[ -5. -38.],3,01:23,TOR,CAR,TOR,10,CAR,12,3,6,8477953,8473533.0,2019020951,,2020-02-24,Kasperi Kapanen Roughing against Jordan Staal
271,penalty,Roughing,Jordan Staal,Kasperi Kapanen,[ -5. -37.],3,01:23,CAR,TOR,TOR,10,CAR,12,3,6,8473533,8477953.0,2019020951,,2020-02-24,Jordan Staal Roughing against Kasperi Kapanen
45,penalty,Tripping,Tyler Seguin,Martin Necas,[-94.   5.],1,09:04,DAL,CAR,CAR,12,DAL,25,0,1,8475794,8480039.0,2019020974,,2020-02-26,Tyler Seguin Tripping against Martin Necas
56,penalty,Tripping,Vincent Trocheck,Joe Pavelski,[-46. -38.],1,04:18,CAR,DAL,CAR,12,DAL,25,0,1,8476389,8470794.0,2019020974,,2020-02-26,Vincent Trocheck Tripping against Joe Pavelski
83,penalty,Roughing,Mattias Janmark,Martin Necas,[ 77. -22.],2,17:07,DAL,CAR,CAR,12,DAL,25,1,3,8477406,8480039.0,2019020974,,2020-02-26,Mattias Janmark Roughing against Martin Necas
90,penalty,Hooking,Sebastian Aho,Roope Hintz,[-64.   4.],2,14:59,CAR,DAL,CAR,12,DAL,25,1,3,8478427,8478449.0,2019020974,,2020-02-26,Sebastian Aho Hooking against Roope Hintz
