,event,penalty,penalty_on,drew_by,coords,period,period_time_remaining,penalty_team,drew_by_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,penalty_on_id,drew_by_id,description
16,penalty,Hi stick - double minor,Sam Steel,Mike Reilly,[-51.  17.],1,15:29,ANA,OTT,OTT,9,ANA,24,0,0,8479351,8476422.0,Sam Steel Hi stick - double minor against Mike Reilly
96,penalty,Tripping,Ryan Getzlaf,Jean-Gabriel Pageau,[-96.  -3.],2,16:56,ANA,OTT,OTT,9,ANA,24,0,1,8470612,8476419.0,Ryan Getzlaf Tripping against Jean-Gabriel Pageau
126,penalty,Slashing,Mark Borowiecki,Troy Terry,[ 62. -34.],2,11:20,OTT,ANA,OTT,9,ANA,24,1,1,8474697,8478873.0,Mark Borowiecki Slashing against Troy Terry
156,penalty,Tripping,Dylan DeMelo,Max Jones,[79. 10.],2,02:46,OTT,ANA,OTT,9,ANA,24,1,2,8476331,8479368.0,Dylan DeMelo Tripping against Max Jones
161,penalty,Too many men on the ice,Nicolas Deslauriers,,[ 6. 39.],2,01:21,ANA,OTT,OTT,9,ANA,24,1,2,8475235,,Too many men/ice served by Nicolas Deslauriers
172,penalty,Tripping,Erik Gudbranson,Tyler Ennis,[25. 30.],3,17:47,ANA,OTT,OTT,9,ANA,24,1,2,8475790,8474589.0,Erik Gudbranson Tripping against Tyler Ennis
215,penalty,Tripping,Thomas Chabot,Troy Terry,[-96. -10.],3,07:03,OTT,ANA,OTT,9,ANA,24,2,2,8478469,8478873.0,Thomas Chabot Tripping against Troy Terry
47,penalty,Tripping,Gabriel Landeskog,Scott Sabourin,[ 51. -36.],1,06:44,COL,OTT,OTT,9,COL,21,0,1,8476455,8477149.0,Gabriel Landeskog Tripping against Scott Sabourin
63,penalty,Holding the stick,Nikita Zadorov,Tyler Ennis,[ 49. -19.],1,03:05,COL,OTT,OTT,9,COL,21,0,1,8477507,8474589.0,Nikita Zadorov Holding the stick against Tyler Ennis
110,penalty,Hi-sticking,Mike Reilly,Matt Calvert,[78.  1.],2,13:34,OTT,COL,OTT,9,COL,21,1,2,8476422,8474685.0,Mike Reilly Hi-sticking against Matt Calvert
9,penalty,Fighting,Nick Paul,Nathan Beaulieu,[-10.  -4.],1,17:45,OTT,WPG,WPG,52,OTT,9,0,0,8477426,8476470.0,Nick Paul Fighting against Nathan Beaulieu
10,penalty,Fighting,Nathan Beaulieu,Nick Paul,[-9.  1.],1,17:45,WPG,OTT,WPG,52,OTT,9,0,0,8476470,8477426.0,Nathan Beaulieu Fighting against Nick Paul
13,penalty,Holding,Thomas Chabot,Jansen Harkins,[-73.   5.],1,17:13,OTT,WPG,WPG,52,OTT,9,0,0,8478469,8478424.0,Thomas Chabot Holding against Jansen Harkins
43,penalty,Interference - Goalkeeper,Patrik Laine,Craig Anderson,[-82.   2.],1,08:38,WPG,OTT,WPG,52,OTT,9,1,0,8479339,8467950.0,Patrik Laine Interference - Goalkeeper against Craig Anderson
48,penalty,Fighting,Brady Tkachuk,Blake Wheeler,[-4. 31.],1,05:50,OTT,WPG,WPG,52,OTT,9,1,0,8480801,8471218.0,Brady Tkachuk Fighting against Blake Wheeler
49,penalty,Fighting,Blake Wheeler,Brady Tkachuk,[-3. 26.],1,05:50,WPG,OTT,WPG,52,OTT,9,1,0,8471218,8480801.0,Blake Wheeler Fighting against Brady Tkachuk
100,penalty,Tripping,Nikolaj Ehlers,Cody Goloubef,[69. -1.],2,14:23,WPG,OTT,WPG,52,OTT,9,1,1,8477940,8474597.0,Nikolaj Ehlers Tripping against Cody Goloubef
145,penalty,Tripping,Nikolaj Ehlers,Colin White,[-13.  -9.],2,05:43,WPG,OTT,WPG,52,OTT,9,2,1,8477940,8478400.0,Nikolaj Ehlers Tripping against Colin White
155,penalty,Hooking,Mike Reilly,Mark Scheifele,[96. 22.],2,03:17,OTT,WPG,WPG,52,OTT,9,2,1,8476422,8476460.0,Mike Reilly Hooking against Mark Scheifele
170,penalty,Hooking,Thomas Chabot,Blake Wheeler,[71.  0.],2,01:00,OTT,WPG,WPG,52,OTT,9,3,2,8478469,8471218.0,Thomas Chabot Hooking against Blake Wheeler
209,penalty,Hooking,Dylan DeMelo,Nikolaj Ehlers,[-59. -25.],3,12:12,OTT,WPG,WPG,52,OTT,9,4,2,8476331,8477940.0,Dylan DeMelo Hooking against Nikolaj Ehlers
50,penalty,Roughing,Gabriel Landeskog,Dylan DeMelo,[-80.   1.],1,12:18,COL,OTT,COL,21,OTT,9,0,0,8476455,8476331.0,Gabriel Landeskog Roughing against Dylan DeMelo
67,penalty,Hooking,Connor Brown,Tyson Jost,[-82.  -4.],1,09:11,OTT,COL,COL,21,OTT,9,0,0,8477015,8479370.0,Connor Brown Hooking against Tyson Jost
108,penalty,Hi-sticking,Cale Makar,Connor Brown,[-68.   6.],2,19:30,COL,OTT,COL,21,OTT,9,1,0,8480069,8477015.0,Cale Makar Hi-sticking against Connor Brown
130,penalty,Hooking,Colin White,Samuel Girard,[16.  0.],2,14:46,OTT,COL,COL,21,OTT,9,1,0,8478400,8479398.0,Colin White Hooking against Samuel Girard
154,penalty,Too many men on the ice,Brady Tkachuk,,[-15.  42.],2,07:38,OTT,COL,COL,21,OTT,9,1,0,8480801,,Too many men/ice served by Brady Tkachuk
175,penalty,Unsportsmanlike conduct,Nick Paul,,[-13.  42.],2,01:12,OTT,COL,COL,21,OTT,9,1,0,8477426,,Nick Paul Unsportsmanlike conduct
214,penalty,Tripping,Cody Goloubef,Valeri Nichushkin,[-20. -20.],3,11:17,OTT,COL,COL,21,OTT,9,1,0,8474597,8477501.0,Cody Goloubef Tripping against Valeri Nichushkin
105,penalty,Tripping,Taylor Hall,Connor Brown,[63. 12.],2,19:09,ARI,OTT,OTT,9,ARI,53,2,0,8475791,8477015.0,Taylor Hall Tripping against Connor Brown
136,penalty,Tripping,Brady Tkachuk,Jordan Oesterle,[-32.  30.],2,11:16,OTT,ARI,OTT,9,ARI,53,2,0,8480801,8477851.0,Brady Tkachuk Tripping against Jordan Oesterle
160,penalty,Hi-sticking,Oliver Ekman-Larsson,Colin White,[-93.  25.],2,07:05,ARI,OTT,OTT,9,ARI,53,2,0,8475171,8478400.0,Oliver Ekman-Larsson Hi-sticking against Colin White
173,penalty,Hooking,Nikita Zaitsev,Phil Kessel,[81. -5.],2,03:29,OTT,ARI,OTT,9,ARI,53,2,0,8479458,8473548.0,Nikita Zaitsev Hooking against Phil Kessel
280,penalty,Too many men on the ice,Nick Schmaltz,,[ 8. 38.],3,01:53,ARI,OTT,OTT,9,ARI,53,3,2,8477951,,Too many men/ice served by Nick Schmaltz
31,penalty,Tripping,Auston Matthews,Jean-Gabriel Pageau,[66.  2.],1,11:27,TOR,OTT,OTT,9,TOR,10,0,1,8479318,8476419.0,Auston Matthews Tripping against Jean-Gabriel Pageau
48,penalty,Roughing,Kasperi Kapanen,Cody Goloubef,[-72. -40.],1,07:48,TOR,OTT,OTT,9,TOR,10,0,1,8477953,8474597.0,Kasperi Kapanen Roughing against Cody Goloubef
49,penalty,Roughing,Cody Goloubef,Kasperi Kapanen,[-68. -39.],1,07:48,OTT,TOR,OTT,9,TOR,10,0,1,8474597,8477953.0,Cody Goloubef Roughing against Kasperi Kapanen
111,penalty,Holding,Mike Reilly,Pierre Engvall,[ 54. -39.],2,13:01,OTT,TOR,OTT,9,TOR,10,0,2,8476422,8478115.0,Mike Reilly Holding against Pierre Engvall
137,penalty,Hooking,Justin Holl,Drake Batherson,[-82.  38.],2,06:51,TOR,OTT,OTT,9,TOR,10,0,3,8475718,8480208.0,Justin Holl Hooking against Drake Batherson
225,penalty,Holding,Travis Dermott,Thomas Chabot,[93. -6.],3,06:42,TOR,OTT,OTT,9,TOR,10,2,3,8478408,8478469.0,Travis Dermott Holding against Thomas Chabot
32,penalty,Interference - Goalkeeper,Jamie Benn,Craig Anderson,[-85.   3.],1,13:17,DAL,OTT,OTT,9,DAL,25,0,1,8473994,8467950.0,Jamie Benn Interference - Goalkeeper against Craig Anderson
105,penalty,Tripping,Corey Perry,Brady Tkachuk,[-65.  17.],2,19:15,DAL,OTT,OTT,9,DAL,25,2,2,8470621,8480801.0,Corey Perry Tripping against Brady Tkachuk
106,penalty,Embellishment,Brady Tkachuk,Corey Perry,[-71.  23.],2,19:15,OTT,DAL,OTT,9,DAL,25,2,2,8480801,8470621.0,Brady Tkachuk Embellishment against Corey Perry
195,penalty,Interference,Anton Khudobin,Denis Gurianov,[83.  9.],3,19:21,DAL,OTT,OTT,9,DAL,25,2,2,8471418,8478495.0,Anton Khudobin Interference against Brady Tkachuk served by Denis Gurianov
56,penalty,Hooking,Ron Hainsey,Marcus Johansson,[-64.   3.],1,07:55,OTT,BUF,OTT,9,BUF,7,0,2,8468493,8475149.0,Ron Hainsey Hooking against Marcus Johansson
74,penalty,Slashing,Jeff Skinner,Thomas Chabot,[-95.   9.],1,04:15,BUF,OTT,OTT,9,BUF,7,3,2,8475784,8478469.0,Jeff Skinner Slashing against Thomas Chabot
161,penalty,Too many men on the ice,Brady Tkachuk,,[-18.  40.],2,07:06,OTT,BUF,OTT,9,BUF,7,5,3,8480801,,Too many men/ice served by Brady Tkachuk
174,penalty,Hooking,Mike Reilly,Jeff Skinner,[39. 26.],2,03:55,OTT,BUF,OTT,9,BUF,7,5,4,8476422,8475784.0,Mike Reilly Hooking against Jeff Skinner
240,penalty,Hooking,Jake McCabe,Drake Batherson,[78. -3.],3,07:39,BUF,OTT,OTT,9,BUF,7,5,4,8476931,8480208.0,Jake McCabe Hooking against Drake Batherson
253,penalty,Tripping,Vladislav Namestnikov,Jeff Skinner,[-63.  27.],3,02:25,OTT,BUF,OTT,9,BUF,7,6,4,8476480,8475784.0,Vladislav Namestnikov Tripping against Jeff Skinner
77,penalty,Hooking,Chris Tierney,Dylan DeMelo,[95.  6.],1,04:28,OTT,WPG,OTT,9,WPG,52,1,0,8476919,8476331.0,Chris Tierney Hooking against Dylan DeMelo
87,penalty,Hi-sticking,Jayce Hawryluk,Mason Appleton,[-45. -19.],1,03:03,OTT,WPG,OTT,9,WPG,52,1,1,8477963,8478891.0,Jayce Hawryluk Hi-sticking against Mason Appleton
95,penalty,Fighting,Drake Batherson,Jansen Harkins,[ 2. -9.],1,02:09,OTT,WPG,OTT,9,WPG,52,1,2,8480208,8478424.0,Drake Batherson Fighting against Jansen Harkins
96,penalty,Fighting,Jansen Harkins,Drake Batherson,[ 3. -6.],1,02:09,WPG,OTT,OTT,9,WPG,52,1,2,8478424,8480208.0,Jansen Harkins Fighting against Drake Batherson
98,penalty,Slashing,Josh Morrissey,Jayce Hawryluk,[59. 37.],1,02:00,WPG,OTT,OTT,9,WPG,52,1,2,8477504,8477963.0,Josh Morrissey Slashing against Jayce Hawryluk
161,penalty,Hooking,Neal Pionk,Thomas Chabot,[-69.  19.],2,09:19,WPG,OTT,OTT,9,WPG,52,1,4,8480145,8478469.0,Neal Pionk Hooking against Thomas Chabot
191,penalty,Interference,Jean-Gabriel Pageau,Blake Wheeler,[-67. -18.],2,02:17,OTT,WPG,OTT,9,WPG,52,1,4,8476419,8471218.0,Jean-Gabriel Pageau Interference against Blake Wheeler
205,penalty,Holding,Dmitry Kulikov,Chris Tierney,[ 87. -19.],3,19:06,WPG,OTT,OTT,9,WPG,52,1,4,8475179,8476919.0,Dmitry Kulikov Holding against Chris Tierney
236,penalty,Hooking,Anthony Duclair,Josh Morrissey,[ 95. -20.],3,13:45,OTT,WPG,OTT,9,WPG,52,1,4,8477407,8477504.0,Anthony Duclair Hooking against Josh Morrissey
238,penalty,Tripping,Patrik Laine,Connor Brown,[-33. -33.],3,13:33,WPG,OTT,OTT,9,WPG,52,1,4,8479339,8477015.0,Patrik Laine Tripping against Connor Brown
260,penalty,Too many men on the ice,Brady Tkachuk,,[-12. -38.],3,08:37,OTT,WPG,OTT,9,WPG,52,1,4,8480801,,Too many men/ice served by Brady Tkachuk
261,penalty,Misconduct,Scott Sabourin,,[-17.  39.],3,08:37,OTT,WPG,OTT,9,WPG,52,1,4,8477149,,Scott Sabourin Misconduct
284,penalty,Roughing,Brady Tkachuk,Tucker Poolman,[52. 19.],3,02:32,OTT,WPG,OTT,9,WPG,52,1,4,8480801,8477359.0,Brady Tkachuk Roughing against Tucker Poolman
285,penalty,Roughing,Brady Tkachuk,Drake Batherson,[57. 18.],3,02:32,OTT,WPG,OTT,9,WPG,52,1,4,8480801,8480208.0,Brady Tkachuk Roughing against Tucker Poolman served by Drake Batherson
286,penalty,Misconduct,Brady Tkachuk,,[56. 24.],3,02:32,OTT,WPG,OTT,9,WPG,52,1,4,8480801,,Brady Tkachuk Misconduct
287,penalty,Roughing,Tucker Poolman,Brady Tkachuk,[53. 26.],3,02:32,WPG,OTT,OTT,9,WPG,52,1,4,8477359,8480801.0,Tucker Poolman Roughing against Brady Tkachuk
288,penalty,Misconduct,Tucker Poolman,,[54. 20.],3,02:32,WPG,OTT,OTT,9,WPG,52,1,4,8477359,,Tucker Poolman Misconduct
289,penalty,Misconduct,Jean-Gabriel Pageau,Mason Appleton,[59. 19.],3,02:32,OTT,WPG,OTT,9,WPG,52,1,4,8476419,8478891.0,Jean-Gabriel Pageau Misconduct against Mason Appleton
290,penalty,Misconduct,Mason Appleton,Jean-Gabriel Pageau,[68. 17.],3,02:32,WPG,OTT,OTT,9,WPG,52,1,4,8478891,8476419.0,Mason Appleton Misconduct against Jean-Gabriel Pageau
46,penalty,Fighting,Brady Tkachuk,Brendan Gallagher,[ -9. -23.],1,10:01,OTT,MTL,OTT,9,MTL,8,0,1,8480801,8475848.0,Brady Tkachuk Fighting against Brendan Gallagher
47,penalty,Fighting,Brendan Gallagher,Brady Tkachuk,[-12. -33.],1,10:01,MTL,OTT,OTT,9,MTL,8,0,1,8475848,8480801.0,Brendan Gallagher Fighting against Brady Tkachuk
71,penalty,Tripping,Jayce Hawryluk,Nick Suzuki,[22.  4.],1,04:22,OTT,MTL,OTT,9,MTL,8,0,2,8477963,8480018.0,Jayce Hawryluk Tripping against Nick Suzuki
139,penalty,Hooking,Mike Reilly,Brendan Gallagher,[77. -3.],2,11:41,OTT,MTL,OTT,9,MTL,8,0,2,8476422,8475848.0,Mike Reilly Hooking against Brendan Gallagher
150,penalty,Roughing,Ben Chiarot,Brady Tkachuk,[-80.   3.],2,08:51,MTL,OTT,OTT,9,MTL,8,0,2,8475279,8480801.0,Ben Chiarot Roughing against Brady Tkachuk
