,event,penalty,penalty_on,drew_by,coords,period,period_time_remaining,penalty_team,drew_by_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,penalty_on_id,drew_by_id,game_id,winning_team,date,description
20,penalty,Holding,Dylan Gambrell,Carter Verhaeghe,[-93.  25.],1,16:28,SJS,TBL,SJS,28,TBL,14,0,0,8479580,8477409.0,2019020805,TBL,2020-02-02,Dylan Gambrell Holding against Carter Verhaeghe
29,penalty,Roughing,Cedric Paquette,Melker Karlsson,[-87.  -5.],1,13:04,TBL,SJS,SJS,28,TBL,14,0,0,8476975,8477922.0,2019020805,TBL,2020-02-02,Cedric Paquette Roughing against Melker Karlsson
35,penalty,Hooking,Erik Karlsson,Ondrej Palat,[-92.  16.],1,11:09,SJS,TBL,SJS,28,TBL,14,0,0,8474578,8476292.0,2019020805,TBL,2020-02-02,Erik Karlsson Hooking against Ondrej Palat
59,penalty,Hi-sticking,Brenden Dillon,Kevin Labanc,[-88.  17.],1,04:04,SJS,TBL,SJS,28,TBL,14,0,0,8475455,8478099.0,2019020805,TBL,2020-02-02,Brenden Dillon Hi-sticking against Yanni Gourde served by Kevin Labanc
60,penalty,Roughing,Brenden Dillon,Yanni Gourde,[-87.  14.],1,04:04,SJS,TBL,SJS,28,TBL,14,0,0,8475455,8476826.0,2019020805,TBL,2020-02-02,Brenden Dillon Roughing against Yanni Gourde
61,penalty,Roughing,Yanni Gourde,Brenden Dillon,[-71.  41.],1,04:04,TBL,SJS,SJS,28,TBL,14,0,0,8476826,8475455.0,2019020805,TBL,2020-02-02,Yanni Gourde Roughing against Brenden Dillon
85,penalty,Tripping,Ondrej Palat,Erik Karlsson,[-56.  38.],2,19:07,TBL,SJS,SJS,28,TBL,14,0,0,8476292,8474578.0,2019020805,TBL,2020-02-02,Ondrej Palat Tripping against Erik Karlsson
131,penalty,Hi-sticking,Marc-Edouard Vlasic,Steven Stamkos,[82. 18.],2,11:31,SJS,TBL,SJS,28,TBL,14,0,1,8471709,8474564.0,2019020805,TBL,2020-02-02,Marc-Edouard Vlasic Hi-sticking against Steven Stamkos
151,penalty,Slashing,Tyler Johnson,Evander Kane,[ 53. -23.],2,06:30,TBL,SJS,SJS,28,TBL,14,0,1,8474870,8475169.0,2019020805,TBL,2020-02-02,Tyler Johnson Slashing against Evander Kane
57,penalty,Tripping,Brenden Dillon,Matthew Tkachuk,[-31.  30.],1,09:17,SJS,CGY,CGY,20,SJS,28,0,0,8475455,8479314.0,2019020823,,2020-02-05,Brenden Dillon Tripping against Matthew Tkachuk
91,penalty,Fighting,Barclay Goodrow,Milan Lucic,[-45.  17.],1,01:52,SJS,CGY,CGY,20,SJS,28,0,0,8476624,8473473.0,2019020823,,2020-02-05,Barclay Goodrow Fighting against Milan Lucic
