,event,penalty,penalty_on,drew_by,coords,period,period_time_remaining,penalty_team,drew_by_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,penalty_on_id,drew_by_id,game_id,winning_team,date,description
49,penalty,Hi-sticking,John Tavares,Dominic Toninato,[1. 2.],1,07:39,TOR,FLA,TOR,10,FLA,13,0,1,8475166,8476952.0,2019020809,,2020-02-04,John Tavares Hi-sticking against Dominic Toninato
95,penalty,Tripping,Mike Matheson,Pierre Engvall,[ 89. -32.],2,17:38,FLA,TOR,TOR,10,FLA,13,0,1,8476875,8478115.0,2019020809,,2020-02-04,Mike Matheson Tripping against Pierre Engvall
148,penalty,Slashing,Jayce Hawryluk,Jason Spezza,[69. 22.],2,02:57,FLA,TOR,TOR,10,FLA,13,1,1,8477963,8469455.0,2019020809,,2020-02-04,Jayce Hawryluk Slashing against Jason Spezza
177,penalty,Hooking,Mitchell Marner,Vincent Trocheck,[79. -8.],3,16:49,TOR,FLA,TOR,10,FLA,13,3,2,8478483,8476389.0,2019020809,,2020-02-04,Mitchell Marner Hooking against Vincent Trocheck
188,penalty,Tripping,Mike Hoffman,Auston Matthews,[-20.   9.],3,13:27,FLA,TOR,TOR,10,FLA,13,3,3,8474884,8479318.0,2019020809,,2020-02-04,Mike Hoffman Tripping against Auston Matthews
12,penalty,Hooking,Zach Hyman,Jacob Trouba,[ 86. -16.],1,16:49,TOR,NYR,NYR,3,TOR,10,0,0,8475786,8476885.0,2019020825,,2020-02-06,Zach Hyman Hooking against Jacob Trouba
96,penalty,Cross checking,Ryan Lindgren,Mitchell Marner,[-73.   0.],2,19:01,NYR,TOR,NYR,3,TOR,10,3,1,8479324,8478483.0,2019020825,,2020-02-06,Ryan Lindgren Cross checking against Mitchell Marner
116,penalty,Hi-sticking,Tyson Barrie,Mika Zibanejad,[-9. 39.],2,14:44,TOR,NYR,NYR,3,TOR,10,3,1,8475197,8476459.0,2019020825,,2020-02-06,Tyson Barrie Hi-sticking against Mika Zibanejad
252,penalty,Hooking,Greg McKegg,Pierre Engvall,[81.  2.],3,04:16,NYR,TOR,NYR,3,TOR,10,4,2,8475735,8478115.0,2019020825,,2020-02-06,Greg McKegg Hooking against Pierre Engvall
271,penalty,Fighting,Zach Hyman,Jacob Trouba,[91. -8.],3,00:58,TOR,NYR,NYR,3,TOR,10,5,3,8475786,8476885.0,2019020825,,2020-02-06,Zach Hyman Fighting against Jacob Trouba
272,penalty,Fighting,Jacob Trouba,Zach Hyman,[91. -8.],3,00:58,NYR,TOR,NYR,3,TOR,10,5,3,8476885,8475786.0,2019020825,,2020-02-06,Jacob Trouba Fighting against Zach Hyman
275,penalty,Roughing,John Tavares,Ryan Lindgren,[96. -2.],3,00:18,TOR,NYR,NYR,3,TOR,10,5,3,8475166,8479324.0,2019020825,,2020-02-06,John Tavares Roughing against Ryan Lindgren
276,penalty,Roughing,Ryan Lindgren,John Tavares,[95. -6.],3,00:18,NYR,TOR,NYR,3,TOR,10,5,3,8479324,8475166.0,2019020825,,2020-02-06,Ryan Lindgren Roughing against John Tavares
72,penalty,Hi-sticking,Max Jones,Tyson Barrie,[69. 29.],1,04:24,ANA,TOR,TOR,10,ANA,24,1,1,8479368,8475197.0,2019020839,,2020-02-08,Max Jones Hi-sticking against Tyson Barrie
