,event,penalty,penalty_on,drew_by,coords,period,period_time_remaining,penalty_team,drew_by_team,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals,penalty_on_id,drew_by_id,description
6,penalty,Slashing,Jonathan Marchessault,Yannick Weber,[ 29. -35.],1,18:51,VGK,NSH,NSH,18,VGK,54,0,0,8476539,8474134.0,Jonathan Marchessault Slashing against Yannick Weber
19,penalty,Slashing,Viktor Arvidsson,Brayden McNabb,[-32. -37.],1,14:35,NSH,VGK,NSH,18,VGK,54,0,0,8478042,8475188.0,Viktor Arvidsson Slashing against Brayden McNabb
46,penalty,Too many men on the ice,William Carrier,,[13. 38.],1,08:37,VGK,NSH,NSH,18,VGK,54,0,0,8477478,,Too many men/ice served by William Carrier
63,penalty,Tripping,Colton Sissons,Chandler Stephenson,[-97.   0.],1,04:27,NSH,VGK,NSH,18,VGK,54,0,0,8476925,8476905.0,Colton Sissons Tripping against Chandler Stephenson
75,penalty,Interference,William Carrier,Yannick Weber,[-89.  31.],1,01:03,VGK,NSH,NSH,18,VGK,54,0,0,8477478,8474134.0,William Carrier Interference against Yannick Weber
90,penalty,Hi-sticking,Jon Merrill,Colin Blackwell,[-91.  30.],2,17:29,VGK,NSH,NSH,18,VGK,54,0,0,8475750,8476278.0,Jon Merrill Hi-sticking against Colin Blackwell
108,penalty,Cross checking,Mattias Ekholm,Paul Stastny,[97.  4.],2,12:01,NSH,VGK,NSH,18,VGK,54,0,1,8475218,8471669.0,Mattias Ekholm Cross checking against Paul Stastny
146,penalty,Tripping,Dante Fabbro,Alex Tuch,[96. -3.],2,03:52,NSH,VGK,NSH,18,VGK,54,0,1,8479371,8477949.0,Dante Fabbro Tripping against Alex Tuch
234,penalty,Hi-sticking,Shea Theodore,Ryan Johansen,[ 94. -13.],3,03:42,VGK,NSH,NSH,18,VGK,54,0,2,8477447,8475793.0,Shea Theodore Hi-sticking against Ryan Johansen
103,penalty,Tripping,Ryan McDonagh,Jonathan Marchessault,[67. -1.],2,15:16,TBL,VGK,TBL,14,VGK,54,2,1,8474151,8476539.0,Ryan McDonagh Tripping against Jonathan Marchessault
138,penalty,Hooking,Ryan McDonagh,William Carrier,[ 51. -36.],2,06:58,TBL,VGK,TBL,14,VGK,54,2,1,8474151,8477478.0,Ryan McDonagh Hooking against William Carrier
156,penalty,Tripping,Steven Stamkos,Jonathan Marchessault,[-36.  19.],2,03:12,TBL,VGK,TBL,14,VGK,54,2,1,8474564,8476539.0,Steven Stamkos Tripping against Jonathan Marchessault
161,penalty,Interference,Jonathan Marchessault,Alex Killorn,[-70.  36.],2,02:05,VGK,TBL,TBL,14,VGK,54,2,1,8476539,8473986.0,Jonathan Marchessault Interference against Alex Killorn
230,penalty,Roughing,Victor Hedman,Max Pacioretty,[-68.  -2.],3,05:09,TBL,VGK,TBL,14,VGK,54,3,2,8475167,8474157.0,Victor Hedman Roughing against Max Pacioretty
231,penalty,Roughing,Max Pacioretty,Victor Hedman,[-66.   1.],3,05:09,VGK,TBL,TBL,14,VGK,54,3,2,8474157,8475167.0,Max Pacioretty Roughing against Victor Hedman
55,penalty,Hi-sticking,Dominic Toninato,Paul Stastny,[-72.  23.],1,07:01,FLA,VGK,FLA,13,VGK,54,0,1,8476952,8471669.0,Dominic Toninato Hi-sticking against Paul Stastny
70,penalty,Hooking,Mark Stone,Jonathan Huberdeau,[-33. -19.],1,04:53,VGK,FLA,FLA,13,VGK,54,0,1,8475913,8476456.0,Mark Stone Hooking against Jonathan Huberdeau
77,penalty,Missing key [PD_151],William Carrier,,[-84.   3.],1,03:38,VGK,FLA,FLA,13,VGK,54,1,1,8477478,,Delaying Game - Unsucc. chlg served by William Carrier
118,penalty,Cross checking,Brayden McNabb,Evgenii Dadonov,[84.  4.],2,15:35,VGK,FLA,FLA,13,VGK,54,1,2,8475188,8474149.0,Brayden McNabb Cross checking against Evgenii Dadonov
119,penalty,Interference - Goalkeeper,Evgenii Dadonov,Marc-Andre Fleury,[86.  0.],2,15:35,FLA,VGK,FLA,13,VGK,54,1,2,8474149,8470594.0,Evgenii Dadonov Interference - Goalkeeper against Marc-Andre Fleury
132,penalty,PS - Tripping on breakaway,William Carrier,Brett Connolly,[69. -1.],2,13:20,VGK,FLA,FLA,13,VGK,54,1,2,8477478,8475792.0,William Carrier PS - Tripping on breakaway against Brett Connolly
160,penalty,Tripping,Keith Yandle,Tomas Nosek,[-17.  42.],2,06:03,FLA,VGK,FLA,13,VGK,54,2,3,8471735,8477931.0,Keith Yandle Tripping against Tomas Nosek
170,penalty,Too many men on the ice,Brett Connolly,,[17. 37.],2,02:53,FLA,VGK,FLA,13,VGK,54,2,3,8475792,,Too many men/ice served by Brett Connolly
188,penalty,Holding,Josh Brown,William Carrier,[80. -1.],3,17:53,FLA,VGK,FLA,13,VGK,54,2,4,8477384,8477478.0,Josh Brown Holding against William Carrier
194,penalty,Hooking,Reilly Smith,Frank Vatrano,[-95. -22.],3,16:18,VGK,FLA,FLA,13,VGK,54,2,4,8475191,8478366.0,Reilly Smith Hooking against Frank Vatrano
209,penalty,Interference - Goalkeeper,Dominic Toninato,Marc-Andre Fleury,[-85.   1.],3,12:09,FLA,VGK,FLA,13,VGK,54,2,5,8476952,8470594.0,Dominic Toninato Interference - Goalkeeper against Marc-Andre Fleury
111,penalty,Roughing,Brayden McNabb,Warren Foegele,[-96.  18.],2,16:29,VGK,CAR,VGK,54,CAR,12,3,1,8475188,8477998.0,Brayden McNabb Roughing against Warren Foegele
201,penalty,Hi stick - double minor,Zach Whitecloud,Erik Haula,[-52.  40.],3,17:55,VGK,CAR,VGK,54,CAR,12,3,2,8480727,8475287.0,Zach Whitecloud Hi stick - double minor against Erik Haula
222,penalty,Holding,Brett Pesce,Ryan Reaves,[-80.   0.],3,14:11,CAR,VGK,VGK,54,CAR,12,4,3,8477488,8471817.0,Brett Pesce Holding against Ryan Reaves
254,penalty,Tripping,Tomas Nosek,Trevor van Riemsdyk,[-70.   3.],3,07:02,VGK,CAR,VGK,54,CAR,12,4,4,8477931,8477845.0,Tomas Nosek Tripping against Trevor van Riemsdyk
285,penalty,Holding,Joel Edmundson,Reilly Smith,[-89.  23.],3,00:59,CAR,VGK,VGK,54,CAR,12,5,5,8476441,8475191.0,Joel Edmundson Holding against Reilly Smith
4,penalty,Roughing,Ryan Hartman,Ryan Reaves,[97.  2.],1,19:30,MIN,VGK,MIN,30,VGK,54,0,0,8477451,8471817.0,Ryan Hartman Roughing against Ryan Reaves
5,penalty,Roughing,Ryan Hartman,Mats Zuccarello,[97.  3.],1,19:30,MIN,VGK,MIN,30,VGK,54,0,0,8477451,8475692.0,Ryan Hartman Roughing against Ryan Reaves served by Mats Zuccarello
6,penalty,Roughing,Ryan Reaves,Ryan Hartman,[95. 10.],1,19:30,VGK,MIN,MIN,30,VGK,54,0,0,8471817,8477451.0,Ryan Reaves Roughing against Ryan Hartman
15,penalty,Interference,Jon Merrill,Zach Parise,[-84.  -5.],1,16:23,VGK,MIN,MIN,30,VGK,54,0,0,8475750,8470610.0,Jon Merrill Interference against Zach Parise
39,penalty,Unsportsmanlike conduct,Jonathan Marchessault,Kevin Fiala,[36. 39.],1,08:24,VGK,MIN,MIN,30,VGK,54,1,0,8476539,8477942.0,Jonathan Marchessault Unsportsmanlike conduct against Kevin Fiala
50,penalty,Delaying Game - Puck over glass,Marcus Foligno,,[ 79. -32.],1,06:51,MIN,VGK,MIN,30,VGK,54,2,0,8475220,,Marcus Foligno Delaying Game - Puck over glass
68,penalty,Roughing,Jordan Greenway,Cody Eakin,[45. 37.],1,01:19,MIN,VGK,MIN,30,VGK,54,2,0,8478413,8475236.0,Jordan Greenway Roughing against Cody Eakin
77,penalty,Tripping,Mikko Koivu,Alex Tuch,[-96.  -5.],2,18:49,MIN,VGK,MIN,30,VGK,54,2,0,8469459,8477949.0,Mikko Koivu Tripping against Alex Tuch
86,penalty,Hi-sticking,Mark Stone,Joel Eriksson Ek,[ 4. 40.],2,16:35,VGK,MIN,MIN,30,VGK,54,2,0,8475913,8478493.0,Mark Stone Hi-sticking against Joel Eriksson Ek
135,penalty,Roughing,Jonathan Marchessault,Mats Zuccarello,[ 30. -25.],2,05:06,VGK,MIN,MIN,30,VGK,54,3,0,8476539,8475692.0,Jonathan Marchessault Roughing against Mats Zuccarello
193,penalty,Hi-sticking,Ryan Reaves,Carson Soucy,[83. -2.],3,10:29,VGK,MIN,MIN,30,VGK,54,4,0,8471817,8477369.0,Ryan Reaves Hi-sticking against Carson Soucy
15,penalty,Cross checking,Robert Bortuzzo,Max Pacioretty,[-98.   3.],1,18:10,STL,VGK,VGK,54,STL,19,0,1,8474145,8474157.0,Robert Bortuzzo Cross checking against Max Pacioretty
25,penalty,Tripping,Jordan Kyrou,Deryk Engelland,[93. 25.],1,17:24,STL,VGK,VGK,54,STL,19,1,1,8479385,8468674.0,Jordan Kyrou Tripping against Deryk Engelland
90,penalty,Tripping,Jonathan Marchessault,Brayden Schenn,[-72. -23.],1,03:26,VGK,STL,VGK,54,STL,19,2,3,8476539,8475170.0,Jonathan Marchessault Tripping against Brayden Schenn
193,penalty,Roughing,Ryan Reaves,David Perron,[69. 22.],2,05:05,VGK,STL,VGK,54,STL,19,2,4,8471817,8474102.0,Ryan Reaves Roughing against David Perron
194,penalty,Roughing,David Perron,Ryan Reaves,[69. 22.],2,05:05,STL,VGK,VGK,54,STL,19,2,4,8474102,8471817.0,David Perron Roughing against Ryan Reaves
206,penalty,Holding,Jordan Kyrou,Cody Eakin,[ 30. -39.],2,01:57,STL,VGK,VGK,54,STL,19,2,4,8479385,8475236.0,Jordan Kyrou Holding against Cody Eakin
242,penalty,Holding,Carl Gunnarsson,Jonathan Marchessault,[-91.   7.],3,14:58,STL,VGK,VGK,54,STL,19,3,4,8474125,8476539.0,Carl Gunnarsson Holding against Jonathan Marchessault
269,penalty,Tripping,Alex Tuch,Vince Dunn,[55. 40.],3,10:26,VGK,STL,VGK,54,STL,19,4,4,8477949,8478407.0,Alex Tuch Tripping against Vince Dunn
330,penalty,Hooking,Jaden Schwartz,Jonathan Marchessault,[77.  0.],4,03:34,STL,VGK,VGK,54,STL,19,5,5,8475768,8476539.0,Jaden Schwartz Hooking against Jonathan Marchessault
1,penalty,Fighting,Ryan Reaves,Ross Johnston,[-1. 15.],1,19:57,VGK,NYI,VGK,54,NYI,2,0,0,8471817,8477527.0,Ryan Reaves Fighting against Ross Johnston
2,penalty,Fighting,Ross Johnston,Ryan Reaves,[-1. 16.],1,19:57,NYI,VGK,VGK,54,NYI,2,0,0,8477527,8471817.0,Ross Johnston Fighting against Ryan Reaves
39,penalty,Fighting,Anders Lee,Nick Holden,[ 95. -13.],1,09:31,NYI,VGK,VGK,54,NYI,2,0,0,8475314,8474207.0,Anders Lee Fighting against Nick Holden
40,penalty,Fighting,Nick Holden,Anders Lee,[ 94. -14.],1,09:31,VGK,NYI,VGK,54,NYI,2,0,0,8474207,8475314.0,Nick Holden Fighting against Anders Lee
55,penalty,Delaying Game - Puck over glass,Ryan Pulock,,[-65. -36.],1,07:04,NYI,VGK,VGK,54,NYI,2,0,0,8477506,,Ryan Pulock Delaying Game - Puck over glass
58,penalty,Interference,Jonathan Marchessault,Leo Komarov,[-77.   0.],1,06:19,VGK,NYI,VGK,54,NYI,2,0,0,8476539,8473463.0,Jonathan Marchessault Interference against Leo Komarov
134,penalty,Too many men on the ice,Cody Glass,,[13. 42.],2,06:39,VGK,NYI,VGK,54,NYI,2,0,0,8479996,,Too many men/ice served by Cody Glass
141,penalty,Tripping,Noah Dobson,Nate Schmidt,[-70. -38.],2,05:26,NYI,VGK,VGK,54,NYI,2,0,0,8480865,8477220.0,Noah Dobson Tripping against Nate Schmidt
234,penalty,Hooking,Brock Nelson,Paul Stastny,[-90.   9.],3,04:55,NYI,VGK,VGK,54,NYI,2,1,0,8475754,8471669.0,Brock Nelson Hooking against Paul Stastny
