"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"ANA","2017-10-05","2017020011","20172018","ARI","1",45.52,71.43,60.78,58.57,53.33,60.11,5,2,31,20,41,29,48,42,2.74,1.82,3,11,12,6,0.92
"ANA","2017-10-07","2017020029","20172018","PHI","1",49.33,25,42.86,50,51.22,52.87,1,3,21,28,31,31,42,40,1.56,1.39,-2,-7,0,2,0.17
"ANA","2017-10-09","2017020038","20172018","CGY","1",43.7,0,55.77,49.37,47.57,52.59,0,1,29,23,39,40,49,54,2.44,2.2,-1,6,-1,-5,0.24
"ANA","2017-10-11","2017020049","20172018","NYI","1",40.57,60,44.9,43.28,40.66,37.16,3,2,22,27,29,38,37,54,1.49,2.51,1,-5,-9,-17,-1.03
"ANA","2017-10-13","2017020060","20172018","COL","0",40.82,0,34.21,37.93,33.73,34.53,0,0,13,25,22,36,28,55,0.81,1.53,0,-12,-14,-27,-0.72
"ANA","2017-10-15","2017020078","20172018","BUF","1",47,0,40.91,51.52,52.33,46.31,0,2,18,26,34,32,45,41,1.27,1.47,-2,-8,2,4,-0.2
"ANA","2017-10-20","2017020109","20172018","MTL","1",44.02,80,51.39,46.59,47.57,49.42,4,1,37,35,41,47,49,54,2.48,2.54,3,2,-6,-5,-0.06
"ANA","2017-10-24","2017020127","20172018","PHI","0",44.47,66.67,48.72,46,52.7,53.37,4,2,19,20,23,27,39,35,1.49,1.3,2,-1,-4,4,0.19
"ANA","2017-10-26","2017020145","20172018","FLA","0",48.38,25,61.54,57.69,59.68,44.61,2,6,24,15,30,22,37,25,1.47,1.82,-4,9,8,12,-0.35
"ANA","2017-10-28","2017020159","20172018","T.B","0",44.98,66.67,41.67,38,46.58,41.93,2,1,15,21,19,31,34,39,0.82,1.14,1,-6,-12,-5,-0.32
"ANA","2017-10-29","2017020167","20172018","CAR","0",59.28,60,42.86,40.66,38.14,33.58,3,2,24,32,37,54,45,73,2.05,4.05,1,-8,-17,-28,-2
"ANA","2017-11-01","2017020184","20172018","TOR","1",46.68,25,41.46,43.1,43.53,30.88,1,3,17,24,25,33,37,48,0.89,2,-2,-7,-8,-11,-1.11
"ANA","2017-11-03","2017020199","20172018","NSH","1",47.03,40,59.62,56.25,55.66,55.97,2,3,31,21,45,35,59,47,2.43,1.91,-1,10,10,12,0.52
"ANA","2017-11-04","2017020212","20172018","S.J","0",56.83,50,37.7,40,43.7,30.77,1,1,23,38,34,51,52,67,1.49,3.36,0,-15,-17,-15,-1.87
