"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"ANA","2017-10-05","2017020011","20172018","ARI","1",7.48,0,71.43,77.78,81.82,71.36,0,0,10,4,14,4,18,4,0.89,0.36,0,6,10,14,0.53
"ANA","2017-10-07","2017020029","20172018","PHI","1",2.55,0,0,80,66.67,95.27,0,0,0,1,4,1,4,2,0.18,0.01,0,-1,3,2,0.18
"ANA","2017-10-09","2017020038","20172018","CGY","1",6.58,0,87.5,91.67,93.75,68.54,0,0,7,1,11,1,15,1,0.74,0.34,0,6,10,14,0.4
"ANA","2017-10-11","2017020049","20172018","NYI","1",8,0,100,100,100,100,0,0,8,0,16,0,20,0,1.47,0,0,8,16,20,1.47
"ANA","2017-10-13","2017020060","20172018","COL","0",4,0,100,100,100,100,0,0,3,0,5,0,8,0,0.38,0,0,3,5,8,0.38
"ANA","2017-10-15","2017020078","20172018","BUF","1",7.03,0,83.33,71.43,80,97.44,0,0,5,1,5,2,8,2,0.64,0.02,0,4,3,6,0.63
"ANA","2017-10-20","2017020109","20172018","MTL","1",5.53,100,71.43,80,81.82,87.82,1,0,5,2,8,2,9,2,0.72,0.1,1,3,6,7,0.62
"ANA","2017-10-24","2017020127","20172018","PHI","0",4.78,100,66.67,77.78,81.82,77.41,1,0,4,2,7,2,9,2,0.58,0.17,1,2,5,7,0.41
"ANA","2017-10-26","2017020145","20172018","FLA","0",6,0,88.89,91.67,93.75,70.52,0,1,8,1,11,1,15,1,0.73,0.3,-1,7,10,14,0.42
"ANA","2017-10-28","2017020159","20172018","T.B","0",1.98,100,100,100,100,100,2,0,4,0,4,0,5,0,0.58,0,2,4,4,5,0.58
"ANA","2017-10-29","2017020167","20172018","CAR","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANA","2017-11-01","2017020184","20172018","TOR","1",8,0,91.67,94.12,94.12,90.57,0,0,11,1,16,1,16,1,1.49,0.16,0,10,15,15,1.34
"ANA","2017-11-03","2017020199","20172018","NSH","1",5.27,100,75,80,80,98.37,1,0,3,1,4,1,8,2,0.33,0.01,1,2,3,6,0.33
"ANA","2017-11-04","2017020212","20172018","S.J","0",2,0,0,0,50,0,0,0,0,1,0,1,1,1,0,0.12,0,-1,-1,0,-0.12
"ANA","2017-11-07","2017020231","20172018","L.A","1",11.85,0,66.67,70,76.92,89.91,0,0,10,5,14,6,20,6,1.39,0.16,0,5,8,14,1.24
"ANA","2017-11-09","2017020240","20172018","VAN","1",6.85,100,87.5,90,92.86,95.23,3,0,7,1,9,1,13,1,1,0.05,3,6,8,12,0.95
"ANA","2017-11-12","2017020263","20172018","T.B","1",2,0,100,100,100,100,0,0,3,0,5,0,7,0,0.41,0,0,3,5,7,0.41
"ANA","2017-11-15","2017020277","20172018","BOS","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANA","2017-11-19","2017020309","20172018","FLA","1",5.67,100,88.89,90,83.33,92.8,2,0,8,1,9,1,10,2,1.29,0.1,2,7,8,8,1.19
"ANA","2017-11-20","2017020315","20172018","S.J","0",4,0,100,100,100,100,0,0,8,0,9,0,9,0,1,0,0,8,9,9,1
"ANA","2017-11-22","2017020332","20172018","VGK","1",5.73,100,100,100,100,100,1,0,5,0,8,0,10,0,0.6,0,1,5,8,10,0.6
"ANA","2017-11-24","2017020337","20172018","WPG","1",4,0,100,100,100,100,0,0,6,0,10,0,12,0,0.73,0,0,6,10,12,0.73
