"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"ANA","2015-10-10","2015020030","20152016","S.J","0",2,0,0,0,0,0,0,0,0,2,0,4,0,5,0,0.35,0,-2,-4,-5,-0.35
"ANA","2015-10-12","2015020036","20152016","VAN","1",3.67,0,50,57.14,33.33,25.49,0,0,2,2,4,3,4,8,0.09,0.28,0,0,1,-4,-0.18
"ANA","2015-10-14","2015020049","20152016","ARI","1",11.12,0,20,18.75,13.64,10.85,0,1,2,8,3,13,3,19,0.16,1.3,-1,-6,-10,-16,-1.14
"ANA","2015-10-16","2015020063","20152016","COL","1",2.83,0,0,0,0,0,0,0,0,2,0,2,0,4,0,0.16,0,-2,-2,-4,-0.16
"ANA","2015-10-18","2015020077","20152016","MIN","1",2,0,0,0,0,0,0,0,0,2,0,5,0,5,0,0.46,0,-2,-5,-5,-0.46
"ANA","2015-10-22","2015020095","20152016","NSH","0",5.92,0,16.67,22.22,18.18,7.56,0,1,1,5,2,7,2,9,0.04,0.54,-1,-4,-5,-7,-0.5
"ANA","2015-10-24","2015020106","20152016","MIN","0",10,0,20,18.18,16.67,5.36,0,0,1,4,2,9,4,20,0.04,0.64,0,-3,-7,-16,-0.61
"ANA","2015-10-26","2015020123","20152016","CHI","0",4.52,0,0,0,0,0,0,0,0,3,0,4,0,5,0,0.53,0,-3,-4,-5,-0.53
"ANA","2015-10-27","2015020132","20152016","DAL","0",4.67,0,0,0,0,0,0,1,0,5,0,7,0,9,0,0.66,-1,-5,-7,-9,-0.66
"ANA","2015-10-29","2015020141","20152016","STL","0",7.63,0,20,25,20,47.3,0,0,1,4,2,6,2,8,0.24,0.26,0,-3,-4,-6,-0.03
"ANA","2015-11-01","2015020168","20152016","NSH","1",9.38,0,30,21.43,27.78,9.6,0,1,3,7,3,11,5,13,0.09,0.89,-1,-4,-8,-8,-0.79
