"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"ANA","2015-10-10","2015020030","20152016","S.J","0",55.12,11,2,22,31,1,1,0,0,0,32,22,10
"ANA","2015-10-12","2015020036","20152016","VAN","1",57.67,10,6,25,28,1,2,1,1,1,16,18,-2
"ANA","2015-10-14","2015020049","20152016","ARI","1",42.88,9,4,21,14,5,3,1,1,-2,23,19,4
"ANA","2015-10-16","2015020063","20152016","COL","1",47.32,12,2,16,18,4,5,0,0,1,28,25,3
"ANA","2015-10-18","2015020077","20152016","MIN","1",52.65,8,4,20,19,1,2,0,0,1,29,31,-2
"ANA","2015-10-22","2015020095","20152016","NSH","0",46.8,3,3,18,22,3,5,0,0,2,27,18,9
"ANA","2015-10-24","2015020106","20152016","MIN","0",48,5,3,19,10,4,1,0,0,-3,21,29,-8
"ANA","2015-10-26","2015020123","20152016","CHI","0",51.82,2,3,25,16,4,3,1,1,-1,28,21,7
"ANA","2015-10-27","2015020132","20152016","DAL","0",46.05,16,3,25,16,2,2,1,1,0,27,23,4
"ANA","2015-10-29","2015020141","20152016","STL","0",45.45,2,3,23,20,5,3,1,1,-2,20,29,-9
"ANA","2015-11-01","2015020168","20152016","NSH","1",45.78,12,6,15,34,5,2,0,0,-3,17,25,-8
"ANA","2015-11-04","2015020184","20152016","FLA","1",49.83,5,4,25,23,3,3,0,0,0,27,24,3
"ANA","2015-11-06","2015020199","20152016","CBJ","1",49.2,6,1,27,23,3,4,0,0,1,27,17,10
"ANA","2015-11-07","2015020210","20152016","S.J","0",51.08,10,4,27,34,4,0,2,2,-4,19,32,-13
"ANA","2015-11-09","2015020215","20152016","ARI","1",46.73,15,4,36,19,4,3,0,0,-1,15,21,-6
"ANA","2015-11-11","2015020229","20152016","EDM","1",54.35,14,4,31,23,2,2,1,1,0,30,23,7
"ANA","2015-11-13","2015020245","20152016","NYI","1",47.2,11,2,34,30,5,3,1,1,-2,22,22,0
"ANA","2015-11-16","2015020262","20152016","CAR","0",53.57,8,4,32,14,3,0,0,0,-3,20,28,-8
"ANA","2015-11-17","2015020273","20152016","NSH","0",37.47,7,4,13,19,6,4,1,1,-2,15,18,-3
"ANA","2015-11-19","2015020285","20152016","FLA","0",46.95,5,8,37,21,2,2,1,1,0,22,21,1
"ANA","2015-11-21","2015020295","20152016","T.B","0",52.4,1,2,32,21,7,4,0,0,-3,28,21,7
"ANA","2015-11-24","2015020316","20152016","CGY","1",54.28,14,3,27,30,2,2,1,1,0,30,20,10
"ANA","2015-11-25","2015020327","20152016","ARI","0",50.45,3,0,43,22,3,3,0,0,0,22,30,-8
"ANA","2015-11-27","2015020333","20152016","CHI","1",47.32,11,7,26,11,4,3,0,0,-1,35,26,9
"ANA","2015-11-30","2015020358","20152016","VAN","1",48.33,11,8,31,25,4,3,0,0,-1,29,20,9
"ANA","2015-12-02","2015020372","20152016","T.B","1",43.87,5,5,27,18,3,4,0,0,1,22,26,-4
"ANA","2015-12-04","2015020387","20152016","S.J","1",42.87,6,2,28,24,2,3,1,1,1,16,21,-5
"ANA","2015-12-06","2015020403","20152016","PIT","1",54.2,13,6,25,30,1,1,0,0,0,27,21,6
"ANA","2015-12-11","2015020434","20152016","CAR","1",54.13,14,4,18,17,1,1,2,1,-1,26,26,0
"ANA","2015-12-17","2015020466","20152016","BUF","0",44.97,4,4,15,18,4,3,0,0,-1,23,29,-6
"ANA","2015-12-19","2015020486","20152016","N.J","0",54.7,6,5,22,41,2,0,0,0,-2,16,23,-7
"ANA","2015-12-21","2015020499","20152016","NYI","0",54.35,6,5,29,16,3,2,1,1,-1,26,22,4
"ANA","2015-12-22","2015020508","20152016","NYR","0",44.82,7,4,16,24,5,3,2,2,-2,26,23,3
"ANA","2015-12-27","2015020533","20152016","PHI","1",45.62,7,0,24,17,5,3,1,1,-2,25,15,10
"ANA","2015-12-29","2015020548","20152016","CGY","0",51.93,2,10,13,24,1,0,0,0,-1,14,24,-10
"ANA","2015-12-31","2015020563","20152016","EDM","0",50.82,12,7,25,29,3,3,1,1,0,21,26,-5
"ANA","2016-01-01","2015020566","20152016","VAN","0",55.12,3,2,14,13,3,2,0,0,-1,26,15,11
"ANA","2016-01-03","2015020582","20152016","WPG","1",47.95,8,5,21,26,5,3,1,1,-2,31,20,11
"ANA","2016-01-06","2015020600","20152016","TOR","1",45.85,11,2,13,21,8,4,1,1,-4,25,26,-1
"ANA","2016-01-08","2015020613","20152016","STL","1",51.33,16,6,26,28,4,3,0,0,-1,26,37,-11
"ANA","2016-01-10","2015020628","20152016","DET","1",48.05,6,5,23,23,3,2,0,0,-1,14,21,-7
"ANA","2016-01-13","2015020645","20152016","OTT","1",51,13,5,24,22,1,3,2,2,2,34,14,20
"ANA","2016-01-15","2015020659","20152016","DAL","1",46.28,15,9,28,23,4,3,0,0,-1,23,25,-2
"ANA","2016-01-17","2015020676","20152016","L.A","1",51.78,15,3,37,27,2,3,2,2,1,30,28,2
"ANA","2016-01-20","2015020692","20152016","MIN","1",50.87,14,2,28,20,3,0,0,0,-3,21,23,-2
"ANA","2016-04-10","2015020704","20152016","WSH","0",46.58,9,6,15,9,2,1,1,1,-1,24,11,13
"ANA","2016-01-23","2015020713","20152016","DET","0",42.62,2,3,16,15,4,4,0,0,0,17,29,-12
"ANA","2016-01-26","2015020731","20152016","BOS","0",43.32,9,7,15,19,5,5,1,1,0,23,26,-3
"ANA","2016-02-02","2015020755","20152016","S.J","1",47.15,16,4,24,18,3,2,0,0,-1,23,22,1
"ANA","2016-02-04","2015020770","20152016","L.A","0",48.92,1,3,26,43,1,6,0,0,5,26,20,6
"ANA","2016-02-05","2015020774","20152016","ARI","1",37.32,7,6,25,18,5,6,0,0,1,24,20,4
"ANA","2016-02-08","2015020791","20152016","PIT","0",54,3,4,37,29,1,2,0,0,1,26,37,-11
"ANA","2016-02-09","2015020797","20152016","PHI","0",44.62,6,8,24,33,9,6,1,1,-3,16,22,-6
"ANA","2016-02-11","2015020811","20152016","CBJ","0",53.6,2,7,19,27,4,1,1,1,-3,21,15,6
"ANA","2016-02-13","2015020832","20152016","CHI","0",55.27,4,0,51,25,3,2,0,0,-1,30,22,8
"ANA","2016-02-15","2015020841","20152016","CGY","0",48.47,13,5,15,17,3,3,0,0,0,25,20,5
"ANA","2016-02-16","2015020854","20152016","EDM","0",47.4,9,4,30,21,3,3,0,0,0,22,23,-1
"ANA","2016-02-18","2015020868","20152016","VAN","0",48.3,5,5,22,23,5,4,0,0,-1,25,24,1
"ANA","2016-02-21","2015020887","20152016","CGY","1",45.35,11,3,18,25,6,6,0,0,0,23,21,2
"ANA","2016-02-24","2015020905","20152016","BUF","1",46.27,6,5,31,18,4,3,0,0,-1,28,20,8
"ANA","2016-02-26","2015020919","20152016","EDM","1",49.7,10,4,29,24,3,2,0,0,-1,11,20,-9
"ANA","2016-02-28","2015020935","20152016","L.A","1",46.68,8,3,37,31,4,3,0,0,-1,21,16,5
