"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"ANA","2015-10-10","2015020030","20152016","S.J","0",2,0,0,0,0,0,0,0,0,0,0,1,-1
"ANA","2015-10-12","2015020036","20152016","VAN","1",3.67,0,1,0,0,0,0,0,0,0,0,3,-3
"ANA","2015-10-14","2015020049","20152016","ARI","1",11.12,0,2,2,0,1,0,0,0,-1,6,7,-1
"ANA","2015-10-16","2015020063","20152016","COL","1",2.83,0,0,2,0,0,0,0,0,0,2,2,0
"ANA","2015-10-18","2015020077","20152016","MIN","1",2,2,0,0,1,0,0,0,0,0,2,2,0
"ANA","2015-10-22","2015020095","20152016","NSH","0",5.92,0,2,1,0,0,0,0,0,0,6,0,6
"ANA","2015-10-24","2015020106","20152016","MIN","0",10,2,1,2,0,0,0,0,0,0,2,7,-5
"ANA","2015-10-26","2015020123","20152016","CHI","0",4.52,0,1,1,1,1,2,0,0,1,3,2,1
"ANA","2015-10-27","2015020132","20152016","DAL","0",4.67,0,0,0,0,0,0,0,0,0,3,2,1
"ANA","2015-10-29","2015020141","20152016","STL","0",7.63,0,0,0,1,0,1,0,0,1,3,3,0
"ANA","2015-11-01","2015020168","20152016","NSH","1",9.38,0,1,3,0,0,1,0,0,1,9,3,6
"ANA","2015-11-04","2015020184","20152016","FLA","1",6,1,1,2,2,0,0,0,0,0,2,3,-1
"ANA","2015-11-06","2015020199","20152016","CBJ","1",3.9,0,0,1,0,1,0,0,0,-1,3,3,0
"ANA","2015-11-07","2015020210","20152016","S.J","0",5.02,0,0,0,0,0,1,0,0,1,2,5,-3
"ANA","2015-11-09","2015020215","20152016","ARI","1",8.52,1,3,3,0,0,0,0,0,0,2,7,-5
"ANA","2015-11-11","2015020229","20152016","EDM","1",3.9,0,0,0,0,0,0,0,0,0,1,3,-2
"ANA","2015-11-13","2015020245","20152016","NYI","1",8.12,0,0,2,0,1,0,0,0,-1,7,3,4
"ANA","2015-11-16","2015020262","20152016","CAR","0",6,0,1,2,0,0,0,0,0,0,2,2,0
"ANA","2015-11-17","2015020273","20152016","NSH","0",10.45,1,3,0,2,1,0,0,0,-1,5,4,1
"ANA","2015-11-19","2015020285","20152016","FLA","0",6,0,1,1,0,0,0,0,0,0,1,4,-3
"ANA","2015-11-21","2015020295","20152016","T.B","0",5.6,1,0,1,0,0,0,0,0,0,6,3,3
"ANA","2015-11-24","2015020316","20152016","CGY","1",3.17,0,1,1,0,0,0,0,0,0,2,1,1
"ANA","2015-11-25","2015020327","20152016","ARI","0",5.73,0,0,0,0,1,1,0,0,0,2,6,-4
"ANA","2015-11-27","2015020333","20152016","CHI","1",6,1,1,1,0,0,0,0,0,0,2,2,0
"ANA","2015-11-30","2015020358","20152016","VAN","1",6,0,0,4,1,0,0,0,0,0,3,1,2
"ANA","2015-12-02","2015020372","20152016","T.B","1",6.83,3,2,3,1,1,0,0,0,-1,4,2,2
"ANA","2015-12-04","2015020387","20152016","S.J","1",8,1,1,1,1,0,0,0,0,0,5,4,1
"ANA","2015-12-06","2015020403","20152016","PIT","1",2,0,0,0,1,0,0,0,0,0,1,0,1
"ANA","2015-12-11","2015020434","20152016","CAR","1",3.42,1,1,0,0,0,1,0,0,1,0,3,-3
"ANA","2015-12-17","2015020466","20152016","BUF","0",6,0,0,1,1,0,0,0,0,0,2,4,-2
"ANA","2015-12-19","2015020486","20152016","N.J","0",4,0,1,0,1,0,0,0,0,0,1,3,-2
"ANA","2015-12-21","2015020499","20152016","NYI","0",4.75,0,1,0,0,0,0,0,0,0,3,1,2
"ANA","2015-12-22","2015020508","20152016","NYR","0",9.5,0,0,2,0,0,0,0,0,0,4,3,1
"ANA","2015-12-27","2015020533","20152016","PHI","1",10.05,1,0,1,1,0,0,0,0,0,9,2,7
"ANA","2015-12-29","2015020548","20152016","CGY","0",4,0,0,0,0,0,0,0,0,0,2,1,1
"ANA","2015-12-31","2015020563","20152016","EDM","0",4,2,0,0,0,0,0,0,0,0,2,3,-1
"ANA","2016-01-01","2015020566","20152016","VAN","0",6,0,1,1,1,0,0,0,0,0,2,3,-1
"ANA","2016-01-03","2015020582","20152016","WPG","1",8,2,2,1,3,0,0,0,0,0,5,3,2
"ANA","2016-01-06","2015020600","20152016","TOR","1",10.15,2,2,1,0,0,0,0,0,0,4,4,0
"ANA","2016-01-08","2015020613","20152016","STL","1",6.22,1,0,3,1,0,1,1,1,1,3,3,0
"ANA","2016-01-10","2015020628","20152016","DET","1",6,0,0,1,0,0,0,0,0,0,3,2,1
"ANA","2016-01-13","2015020645","20152016","OTT","1",4,0,0,1,0,0,0,0,0,0,3,3,0
"ANA","2016-01-15","2015020659","20152016","DAL","1",6.15,2,1,0,1,0,0,0,0,0,3,4,-1
"ANA","2016-01-17","2015020676","20152016","L.A","1",1.87,0,0,1,0,0,0,0,0,0,1,3,-2
"ANA","2016-01-20","2015020692","20152016","MIN","1",6,0,2,0,1,0,0,0,0,0,4,5,-1
"ANA","2016-04-10","2015020704","20152016","WSH","0",5.52,0,0,0,0,1,2,0,0,1,2,4,-2
"ANA","2016-01-23","2015020713","20152016","DET","0",6,1,0,3,0,0,0,0,0,0,5,2,3
"ANA","2016-01-26","2015020731","20152016","BOS","0",8,0,1,0,0,0,0,0,0,0,2,4,-2
"ANA","2016-02-02","2015020755","20152016","S.J","1",4.3,0,0,0,1,0,0,0,0,0,2,4,-2
"ANA","2016-02-04","2015020770","20152016","L.A","0",2.08,0,0,0,0,0,0,0,0,0,0,2,-2
"ANA","2016-02-05","2015020774","20152016","ARI","1",9.28,0,1,4,2,0,0,0,0,0,5,3,2
"ANA","2016-02-08","2015020791","20152016","PIT","0",2,0,0,2,0,0,0,0,0,0,2,2,0
"ANA","2016-02-09","2015020797","20152016","PHI","0",8.5,1,1,0,0,0,2,0,0,2,3,5,-2
"ANA","2016-02-11","2015020811","20152016","CBJ","0",6.88,0,3,0,1,0,0,0,0,0,7,1,6
"ANA","2016-02-13","2015020832","20152016","CHI","0",2.3,0,0,0,1,0,0,0,0,0,1,2,-1
"ANA","2016-02-15","2015020841","20152016","CGY","0",5.82,0,1,2,0,0,1,0,0,1,2,5,-3
"ANA","2016-02-16","2015020854","20152016","EDM","0",6.22,1,0,1,2,0,0,0,0,0,2,3,-1
"ANA","2016-02-18","2015020868","20152016","VAN","0",6.7,1,1,0,0,0,0,0,0,0,6,2,4
"ANA","2016-02-21","2015020887","20152016","CGY","1",8.75,0,1,4,1,0,0,0,0,0,4,3,1
"ANA","2016-02-24","2015020905","20152016","BUF","1",8,2,3,0,1,0,0,0,0,0,3,2,1
"ANA","2016-02-26","2015020919","20152016","EDM","1",6,2,1,3,0,0,0,0,0,0,2,1,1
"ANA","2016-02-28","2015020935","20152016","L.A","1",5.47,2,0,0,1,0,1,0,0,1,5,2,3
"ANA","2016-03-02","2015020953","20152016","MTL","1",6,2,0,4,0,0,0,0,0,0,3,2,1
