"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"ANA","2017-10-05","2017020011","20172018","ARI","1",45.52,15,18,7,65,21,20,12,4,6
"ANA","2017-10-07","2017020029","20172018","PHI","1",49.33,12,11,8,75,18,12,12,3,4
"ANA","2017-10-09","2017020038","20172018","CGY","1",43.7,9,9,5,75,11,12,11,4,3
"ANA","2017-10-11","2017020049","20172018","NYI","1",40.57,6,14,8,66,11,17,11,3,2
"ANA","2017-10-13","2017020060","20172018","COL","0",40.82,10,12,11,82,12,19,14,2,1
"ANA","2017-10-15","2017020078","20172018","BUF","1",47,10,13,10,78,13,15,17,5,5
"ANA","2017-10-20","2017020109","20172018","MTL","1",44.02,12,17,11,70,18,22,17,6,4
"ANA","2017-10-24","2017020127","20172018","PHI","0",44.47,10,21,6,86,12,22,9,2,4
"ANA","2017-10-26","2017020145","20172018","FLA","0",48.38,13,17,4,92,14,19,7,2,3
"ANA","2017-10-28","2017020159","20172018","T.B","0",44.98,9,14,10,106,13,19,19,7,3
"ANA","2017-10-29","2017020167","20172018","CAR","0",59.28,5,17,13,130,6,21,20,5,3
"ANA","2017-11-01","2017020184","20172018","TOR","1",46.68,12,14,6,63,16,19,14,7,8
"ANA","2017-11-03","2017020199","20172018","NSH","1",47.03,13,19,7,72,18,21,10,2,4
"ANA","2017-11-04","2017020212","20172018","S.J","0",56.83,12,12,15,137,12,15,23,5,1
"ANA","2017-11-07","2017020231","20172018","L.A","1",40.53,7,14,10,64,10,14,17,7,4
"ANA","2017-11-09","2017020240","20172018","VAN","1",44.48,8,12,14,64,12,14,19,5,5
"ANA","2017-11-12","2017020263","20172018","T.B","1",52.52,15,15,18,71,22,19,25,8,3
"ANA","2017-11-15","2017020277","20172018","BOS","1",56,7,16,15,78,14,20,21,3,7
"ANA","2017-11-19","2017020309","20172018","FLA","1",41.65,4,14,11,70,5,17,16,2,1
"ANA","2017-11-20","2017020315","20172018","S.J","0",56.42,11,19,12,125,17,22,21,8,3
"ANA","2017-11-22","2017020332","20172018","VGK","1",50.25,6,14,14,68,10,20,27,6,0
"ANA","2017-11-24","2017020337","20172018","WPG","1",51.22,7,19,10,79,11,23,16,4,3
"ANA","2017-11-25","2017020358","20172018","L.A","0",52.83,12,16,11,106,15,20,20,6,2
"ANA","2017-11-27","2017020366","20172018","CHI","0",51.68,6,17,10,107,9,19,14,2,0
"ANA","2017-11-29","2017020379","20172018","STL","0",39.72,7,15,6,88,13,15,9,3,4
"ANA","2017-12-01","2017020391","20172018","CBJ","0",41.37,9,14,13,74,11,16,15,2,3
"ANA","2017-12-02","2017020404","20172018","NSH","0",54.62,15,17,15,110,19,19,17,2,3
"ANA","2017-12-05","2017020424","20172018","VGK","0",53.53,14,16,9,101,19,16,18,8,6
"ANA","2017-12-06","2017020429","20172018","OTT","1",48.73,14,13,15,71,16,15,21,4,8
"ANA","2017-12-08","2017020443","20172018","MIN","1",53.75,11,9,9,79,14,9,12,2,3
"ANA","2017-12-11","2017020465","20172018","CAR","1",48.52,9,14,11,61,12,17,20,9,4
"ANA","2017-12-14","2017020483","20172018","STL","0",48.97,6,9,13,90,10,12,22,8,2
"ANA","2017-12-16","2017020502","20172018","WSH","0",61.88,10,16,15,119,12,17,19,4,3
"ANA","2017-12-18","2017020512","20172018","N.J","0",50.5,15,16,16,75,18,16,19,2,8
"ANA","2017-12-19","2017020519","20172018","NYR","0",54,16,13,7,110,18,14,13,4,4
"ANA","2017-12-21","2017020531","20172018","NYI","0",57.67,23,18,16,100,27,22,19,2,3
"ANA","2017-12-23","2017020549","20172018","PIT","0",52.77,7,16,10,97,11,19,18,9,3
"ANA","2017-12-27","2017020568","20172018","VGK","1",49.7,12,16,7,73,15,20,11,4,5
"ANA","2017-12-29","2017020586","20172018","CGY","1",44.7,17,10,6,60,21,11,9,4,9
"ANA","2017-12-31","2017020598","20172018","ARI","1",53.32,13,15,6,71,17,19,13,4,7
"ANA","2018-01-02","2017020612","20172018","VAN","0",48.58,15,16,15,120,17,17,23,8,6
"ANA","2018-01-04","2017020626","20172018","EDM","0",53.13,16,11,9,114,17,14,16,7,6
"ANA","2018-01-06","2017020640","20172018","CGY","0",45.55,7,15,15,96,10,18,21,5,4
"ANA","2018-01-13","2017020677","20172018","L.A","0",51.93,15,15,6,84,16,16,9,3,3
"ANA","2018-01-15","2017020684","20172018","COL","0",42.47,10,12,4,108,12,16,6,2,4
"ANA","2018-01-17","2017020694","20172018","PIT","1",48.85,12,18,5,74,14,21,12,3,6
"ANA","2018-01-19","2017020707","20172018","L.A","1",51.07,11,10,10,72,13,15,19,7,2
"ANA","2018-01-21","2017020724","20172018","S.J","1",46.97,15,15,8,75,17,19,8,0,6
"ANA","2018-01-23","2017020742","20172018","NYR","1",44.58,11,14,11,71,14,15,17,4,1
"ANA","2018-01-25","2017020759","20172018","WPG","1",54.33,21,13,7,74,24,14,12,5,7
"ANA","2018-01-30","2017020761","20172018","BOS","0",48.43,10,12,16,101,12,13,22,4,2
"ANA","2018-02-01","2017020781","20172018","OTT","0",48.57,13,8,8,101,14,12,14,5,0
"ANA","2018-02-03","2017020792","20172018","MTL","0",43.68,11,15,6,83,13,16,6,0,3
"ANA","2018-02-05","2017020808","20172018","TOR","0",47.08,12,20,8,82,18,21,12,1,5
"ANA","2018-02-06","2017020812","20172018","BUF","0",51.2,11,16,13,100,14,18,19,6,2
"ANA","2018-02-09","2017020842","20172018","EDM","1",48.43,11,14,9,68,11,17,17,6,2
"ANA","2018-02-11","2017020860","20172018","S.J","1",57.8,19,16,15,76,23,16,22,6,6
"ANA","2018-02-13","2017020870","20172018","DET","0",47.17,11,14,9,85,14,17,12,2,5
"ANA","2018-02-15","2017020886","20172018","CHI","0",47.9,11,15,9,105,13,15,17,5,2
"ANA","2018-02-17","2017020896","20172018","MIN","0",54.55,13,15,14,111,14,16,15,1,6
"ANA","2018-02-19","2017020917","20172018","VGK","0",53.15,11,14,13,92,14,21,21,6,4
"ANA","2018-02-21","2017020928","20172018","DAL","1",46.32,12,10,8,70,13,12,13,2,2
"ANA","2018-02-24","2017020956","20172018","ARI","0",46.98,10,11,6,106,14,15,9,2,4
"ANA","2018-02-25","2017020962","20172018","EDM","1",52.33,16,17,10,58,20,19,18,5,6
"ANA","2018-03-02","2017020999","20172018","CBJ","1",46.02,13,15,11,73,17,17,14,1,6
"ANA","2018-03-04","2017021010","20172018","CHI","1",51.05,4,17,9,64,8,20,15,2,2
"ANA","2018-03-06","2017021028","20172018","WSH","1",51.93,6,14,14,85,8,16,19,3,0
"ANA","2018-03-08","2017021039","20172018","NSH","0",52.7,13,13,9,96,15,13,13,5,5
"ANA","2018-03-09","2017021046","20172018","DAL","0",51.6,5,13,11,104,9,13,20,6,5
"ANA","2018-03-12","2017021068","20172018","STL","1",53.37,11,13,6,93,16,14,9,3,9
"ANA","2018-03-14","2017021082","20172018","VAN","1",49.27,12,11,8,69,17,14,12,4,6
"ANA","2018-03-16","2017021096","20172018","DET","1",44.48,10,17,6,59,15,24,9,4,3
"ANA","2018-03-18","2017021115","20172018","N.J","1",51.7,20,14,3,89,24,16,6,1,10
"ANA","2018-03-21","2017021135","20172018","CGY","0",55.13,13,12,13,160,14,13,19,5,8
"ANA","2018-03-23","2017021149","20172018","WPG","0",55.5,10,14,19,99,13,16,26,4,1
"ANA","2018-03-25","2017021167","20172018","EDM","0",50.5,13,14,11,104,15,15,19,6,3
"ANA","2018-03-27","2017021185","20172018","VAN","0",52.78,18,14,7,141,18,14,13,4,8
"ANA","2018-03-30","2017021204","20172018","L.A","1",62.68,12,13,10,100,16,15,19,5,5
"ANA","2018-04-01","2017021222","20172018","COL","1",50.38,16,8,9,76,31,14,14,1,9
"ANA","2018-04-04","2017021240","20172018","MIN","1",51.95,11,12,9,63,13,14,16,6,3
"ANA","2018-04-06","2017021256","20172018","DAL","1",48.18,6,17,9,65,8,17,14,4,0
"ANA","2018-04-07","2017021267","20172018","ARI","0",47.77,12,7,11,97,15,11,16,4,5
"ANA","Total","-","20172018","-","-",49.73,938,1165,829,7171,1206,1367,1280,342,336
