"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"ARI","2018-10-04","2018020012","20182019","DAL","0",54.48,0,55.1,50.75,52.13,41.63,0,3,27,22,34,33,49,45,1.88,2.63,-3,5,1,4,-0.75
"ARI","2018-10-06","2018020027","20182019","ANA","1",50.87,0,64.15,62.67,67.71,65.8,0,1,34,19,47,28,65,31,2.54,1.32,-1,15,19,34,1.22
"ARI","2018-10-10","2018020044","20182019","ANA","0",53.88,0,55.77,57.89,58.82,54.53,0,2,29,23,44,32,60,42,2.49,2.08,-2,6,12,18,0.41
"ARI","2018-10-13","2018020069","20182019","BUF","1",48.62,0,60.42,57.35,59.57,57.23,0,2,29,19,39,29,56,38,2.33,1.74,-2,10,10,18,0.59
"ARI","2018-10-16","2018020083","20182019","MIN","0",50.85,0,50.94,53.52,54.74,38.91,0,2,27,26,38,33,52,43,1.3,2.04,-2,1,5,9,-0.74
"ARI","2018-10-18","2018020095","20182019","CHI","0",53.15,75,47.46,46.51,43.55,57.98,3,1,28,31,40,46,54,70,3.03,2.19,2,-3,-6,-16,0.83
"ARI","2018-10-20","2018020104","20182019","WPG","0",45.55,50,63.64,60.61,58.43,64.65,3,3,35,20,40,26,52,37,2.8,1.53,0,15,14,15,1.27
"ARI","2018-10-23","2018020123","20182019","CBJ","0",48.03,75,42.86,41.03,43.3,36.71,3,1,24,32,32,46,42,55,2.09,3.6,2,-8,-14,-13,-1.51
"ARI","2018-10-25","2018020143","20182019","VAN","1",47.93,66.67,47.92,49.32,48.24,57.62,2,1,23,25,36,37,41,44,1.75,1.29,1,-2,-1,-3,0.46
"ARI","2018-10-27","2018020157","20182019","T.B","1",43.73,100,42.55,45.71,44.32,42.46,5,0,20,27,32,38,39,49,1.56,2.11,5,-7,-6,-10,-0.55
"ARI","2018-10-30","2018020175","20182019","OTT","1",49.1,75,58.82,50.63,51.49,51.12,3,1,30,21,40,39,52,49,2.27,2.17,2,9,1,3,0.1
"ARI","2018-11-02","2018020194","20182019","CAR","1",47.28,40,31.15,32.93,31.82,34.02,2,3,19,42,27,55,35,75,1.57,3.05,-1,-23,-28,-40,-1.48
"ARI","2018-11-05","2018020214","20182019","PHI","1",47.23,25,57.41,62.86,63.11,58.33,1,3,31,23,44,26,65,38,2.49,1.78,-2,8,18,27,0.71
"ARI","2018-11-08","2018020229","20182019","PHI","0",50.15,16.67,49.12,42.11,40.57,29.61,1,5,28,29,32,44,43,63,1.37,3.26,-4,-1,-12,-20,-1.89
"ARI","2018-11-10","2018020249","20182019","PIT","0",49.73,0,53.85,58.02,60.71,58.62,0,4,35,30,47,34,68,44,2.67,1.88,-4,5,13,24,0.78
"ARI","2018-11-11","2018020255","20182019","WSH","0",45.15,50,30.23,37.5,42.68,43.8,1,1,13,30,24,40,35,47,1.49,1.91,0,-17,-16,-12,-0.42
"ARI","2018-11-13","2018020268","20182019","DET","0",46.18,16.67,40.54,55,55.95,47.59,1,5,15,22,33,27,47,37,1.31,1.44,-4,-7,6,10,-0.13
"ARI","2018-11-15","2018020284","20182019","NSH","1",43.68,50,39.62,40.26,39.18,43.17,1,1,21,32,31,46,38,59,1.44,1.89,0,-11,-15,-21,-0.46
"ARI","2018-11-17","2018020300","20182019","BOS","1",50.1,33.33,51.16,53.33,53.57,42.94,1,2,22,21,32,28,45,39,1.66,2.21,-1,1,4,6,-0.55
"ARI","2018-11-21","2018020328","20182019","VGK","1",54.85,25,42.5,45.9,42.7,45.1,1,3,17,23,28,33,38,51,1.11,1.35,-2,-6,-5,-13,-0.24
"ARI","2018-11-23","2018020345","20182019","COL","1",45.63,0,50,48.15,46.79,37.7,0,2,27,27,39,42,51,58,1.32,2.18,-2,0,-3,-7,-0.86
"ARI","2018-11-25","2018020358","20182019","CGY","1",43.63,33.33,60.47,58.06,55.95,53.15,1,2,26,17,36,26,47,37,1.76,1.55,-1,9,10,10,0.21
"ARI","2018-11-27","2018020372","20182019","MIN","0",53.67,66.67,32.35,33.96,40.54,30.38,4,2,11,23,18,35,30,44,0.96,2.2,2,-12,-17,-14,-1.24
"ARI","2018-11-29","2018020386","20182019","NSH","0",47.17,100,46.81,43.28,47.06,53.22,2,0,22,25,29,38,48,54,2.17,1.91,2,-3,-9,-6,0.26
"ARI","2018-12-01","2018020405","20182019","STL","1",44.23,83.33,54.72,57.75,54.17,63.68,5,1,29,24,41,30,52,44,2.81,1.6,4,5,11,8,1.21
"ARI","2018-12-04","2018020425","20182019","L.A","0",46.7,0,38.24,40.35,42.86,34.45,0,1,13,21,23,34,36,48,1.47,2.8,-1,-8,-11,-12,-1.33
"ARI","2018-12-06","2018020436","20182019","WSH","1",52.87,40,50,49.37,49.54,59.66,2,3,27,27,39,40,54,55,2.15,1.45,-1,0,-1,-1,0.7
"ARI","2018-12-08","2018020452","20182019","S.J","1",56.75,33.33,38.78,43.48,40.78,44.57,2,4,19,30,30,39,42,61,1.37,1.7,-2,-11,-9,-19,-0.33
"ARI","2018-12-11","2018020465","20182019","BOS","0",48.92,33.33,56.6,53.95,56.38,61.65,2,4,30,23,41,35,53,41,1.91,1.19,-2,7,6,12,0.72
"ARI","2018-12-13","2018020479","20182019","BUF","0",55.12,25,43.1,42.68,45.95,44.44,1,3,25,33,35,47,51,60,1.64,2.05,-2,-8,-12,-9,-0.41
"ARI","2018-12-14","2018020488","20182019","NYR","0",47.08,100,62.86,61.54,61.64,54.04,3,0,22,13,32,20,45,28,1.94,1.65,3,9,12,17,0.29
"ARI","2018-12-16","2018020506","20182019","CAR","0",47.8,0,47.62,45.31,48.75,34.96,0,3,20,22,29,35,39,41,1.59,2.95,-3,-2,-6,-2,-1.37
"ARI","2018-12-18","2018020525","20182019","NYI","1",48.85,25,52.63,50.59,52.68,44.67,1,3,30,27,43,42,59,53,2.45,3.04,-2,3,1,6,-0.59
"ARI","2018-12-20","2018020538","20182019","MTL","1",48.45,0,54,58.82,53.26,60.07,0,1,27,23,40,28,49,43,1.97,1.31,-1,4,12,6,0.66
"ARI","2018-12-22","2018020555","20182019","COL","1",46.82,71.43,57.14,51.9,55.77,59,5,2,32,24,41,38,58,46,3.07,2.13,3,8,3,12,0.94
"ARI","2018-12-23","2018020566","20182019","S.J","0",50.68,50,44.68,44.83,37.78,26.11,2,2,21,26,26,32,34,56,0.86,2.42,0,-5,-6,-22,-1.57
"ARI","2018-12-27","2018020578","20182019","L.A","0",48.93,0,47.5,46.3,45.33,43.21,0,2,19,21,25,29,34,41,1.04,1.37,-2,-2,-4,-7,-0.33
"ARI","2018-12-29","2018020597","20182019","ANA","0",48.95,57.14,45.45,45.21,46.74,49.04,4,3,25,30,33,40,43,49,2.62,2.72,1,-5,-7,-6,-0.1
"ARI","2018-12-30","2018020598","20182019","VGK","1",43.43,0,41.67,44.44,48.31,47.76,0,4,20,28,28,35,43,46,1.65,1.81,-4,-8,-7,-3,-0.15
"ARI","2019-01-02","2018020620","20182019","EDM","1",52.13,33.33,60.42,63.08,58.43,60.82,1,2,29,19,41,24,52,37,2.31,1.49,-1,10,17,15,0.82
"ARI","2019-01-04","2018020634","20182019","N.J","1",50.5,50,38,40.91,45.45,40.84,2,2,19,31,27,39,40,48,1.53,2.21,0,-12,-12,-8,-0.68
"ARI","2019-01-06","2018020645","20182019","NYR","1",53.3,100,59.26,60.56,58,69.42,4,0,32,22,43,28,58,42,2.56,1.13,4,10,15,16,1.43
"ARI","2019-01-10","2018020680","20182019","VAN","0",56.15,57.14,44.44,39.68,40.7,53.92,4,3,20,25,25,38,35,51,2.3,1.96,1,-5,-13,-16,0.33
"ARI","2019-01-12","2018020696","20182019","EDM","0",54.65,33.33,48.98,49.25,47.25,38.53,1,2,24,25,33,34,43,48,1.38,2.21,-1,-1,-1,-5,-0.82
"ARI","2019-01-13","2018020704","20182019","CGY","0",52.2,0,41.46,47.62,49.37,44.9,0,7,17,24,30,33,39,40,1.69,2.08,-7,-7,-3,-1,-0.38
"ARI","2019-01-16","2018020725","20182019","S.J","1",52.1,60,58.18,55.84,50,45.73,3,2,32,23,43,34,53,53,1.91,2.26,1,9,9,0,-0.36
"ARI","2019-01-18","2018020738","20182019","PIT","1",52.63,50,47.17,46.58,48.6,33.68,1,1,25,28,34,39,52,55,1.22,2.4,0,-3,-5,-3,-1.18
"ARI","2019-01-20","2018020754","20182019","TOR","0",48.55,60,53.19,44.59,36.7,56.28,3,2,25,22,33,41,40,69,2.44,1.9,1,3,-8,-29,0.55
"ARI","2019-01-22","2018020761","20182019","OTT","0",52.98,60,54.55,50,47.83,64.24,3,2,30,25,39,39,55,60,3.17,1.77,1,5,0,-5,1.41
"ARI","2019-01-23","2018020766","20182019","MTL","0",50.88,0,56.82,54.24,50,48.94,0,1,25,19,32,27,46,46,1.07,1.12,-1,6,5,0,-0.05
"ARI","2019-02-02","2018020801","20182019","S.J","0",49.38,40,51.92,57.58,51.69,55.16,2,3,27,25,38,28,46,43,2.4,1.95,-1,2,10,3,0.45
"ARI","2019-02-04","2018020808","20182019","DAL","0",45.7,66.67,58.93,57.35,49.46,74.14,4,2,33,23,39,29,46,47,4.07,1.42,2,10,10,-1,2.65
"ARI","2019-02-05","2018020817","20182019","NSH","0",45.97,40,36.36,37.33,34.02,36.02,2,3,20,35,28,47,33,64,2.04,3.63,-1,-15,-19,-31,-1.59
"ARI","2019-02-07","2018020836","20182019","CBJ","1",49.87,40,48.21,55.17,55.24,50.95,2,3,27,29,48,39,58,47,2.09,2.01,-1,-2,9,11,0.08
"ARI","2019-02-09","2018020845","20182019","DAL","1",49.38,33.33,55.56,47.89,47.31,47.98,1,2,30,24,34,37,44,49,1.54,1.66,-1,6,-3,-5,-0.13
"ARI","2019-02-12","2018020874","20182019","VGK","0",52.08,60,35.59,38.57,44.9,38.66,3,2,21,38,27,43,44,54,1.25,1.99,1,-17,-16,-10,-0.74
"ARI","2019-02-14","2018020884","20182019","STL","1",49.42,0,47.22,47.54,50.54,41.12,0,3,17,19,29,32,47,46,1.19,1.71,-3,-2,-3,1,-0.52
"ARI","2019-02-16","2018020898","20182019","TOR","1",46.53,100,75,63.46,55.81,74.34,2,0,27,9,33,19,48,38,1.59,0.55,2,18,14,10,1.04
"ARI","2019-02-18","2018020910","20182019","CGY","0",49.37,20,45.83,47.14,44.44,36.93,1,4,22,26,33,37,44,55,1.53,2.61,-3,-4,-4,-11,-1.08
"ARI","2019-02-19","2018020924","20182019","EDM","0",51.98,66.67,47.46,42.5,45.71,43.31,2,1,28,31,34,46,48,57,2.96,3.87,1,-3,-12,-9,-0.91
"ARI","2019-02-21","2018020939","20182019","VAN","0",53.32,50,53.33,50.57,52.68,51.81,2,2,32,28,44,43,59,53,1.72,1.6,0,4,1,6,0.12
"ARI","2019-02-24","2018020961","20182019","WPG","1",47.82,100,47.5,47.69,46.74,55.43,3,0,19,21,31,34,43,49,1.78,1.43,3,-2,-3,-6,0.35
"ARI","2019-02-26","2018020977","20182019","FLA","1",55.17,25,53.45,52.87,50.43,55.08,1,3,31,27,46,41,58,57,2.92,2.38,-2,4,5,1,0.54
"ARI","2019-02-28","2018020988","20182019","VAN","1",46.88,66.67,40,40.48,39.25,44.79,4,2,22,33,34,50,42,65,1.48,1.82,2,-11,-16,-23,-0.34
