"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"ARI","2015-10-09","2015020016","20152016","L.A","0",6,50,66.67,71.43,81.82,49.76,1,1,4,2,5,2,9,2,0.39,0.39,0,2,3,7,0
"ARI","2015-10-10","2015020029","20152016","PIT","1",8,0,100,100,100,100,0,0,11,0,15,0,19,0,0.99,0,0,11,15,19,0.99
"ARI","2015-10-14","2015020049","20152016","ANA","0",11.12,100,80,81.25,86.36,89.15,1,0,8,2,13,3,19,3,1.3,0.16,1,6,10,16,1.14
"ARI","2015-10-15","2015020057","20152016","MIN","1",12.02,0,70,81.25,87.5,83.11,0,1,7,3,13,3,21,3,0.82,0.17,-1,4,10,18,0.65
"ARI","2015-10-17","2015020074","20152016","BOS","1",7.15,50,57.14,66.67,78.57,67.9,1,1,4,3,6,3,11,3,0.53,0.25,0,1,3,8,0.28
"ARI","2015-10-20","2015020081","20152016","N.J","0",9.53,50,87.5,90,92.86,82.61,1,1,7,1,9,1,13,1,1.01,0.21,0,6,8,12,0.79
"ARI","2015-10-22","2015020092","20152016","NYR","0",6,0,100,100,100,100,0,0,5,0,7,0,8,0,0.75,0,0,5,7,8,0.75
"ARI","2015-10-24","2015020109","20152016","OTT","0",3.88,0,75,80,66.67,98.38,0,0,3,1,4,1,4,2,0.26,0,0,2,3,2,0.25
"ARI","2015-10-26","2015020122","20152016","TOR","0",5.15,100,62.5,62.5,66.67,58.42,2,0,5,3,5,3,6,3,0.54,0.38,2,2,2,3,0.15
"ARI","2015-10-27","2015020124","20152016","BOS","0",4.08,0,100,100,100,100,0,0,1,0,3,0,5,0,0.27,0,0,1,3,5,0.27
"ARI","2015-10-30","2015020153","20152016","VAN","1",4,0,100,100,100,100,0,0,4,0,5,0,9,0,0.32,0,0,4,5,9,0.32
"ARI","2015-11-05","2015020191","20152016","COL","1",9.65,0,81.82,85.71,87.5,91.74,0,0,9,2,12,2,14,2,0.99,0.09,0,7,10,12,0.9
"ARI","2015-11-07","2015020208","20152016","NYR","1",7.02,100,100,100,100,100,1,0,13,0,15,0,20,0,1.79,0,1,13,15,20,1.79
"ARI","2015-11-09","2015020215","20152016","ANA","0",8.52,100,85.71,81.82,80,87.05,1,0,6,1,9,2,12,3,0.6,0.09,1,5,7,9,0.51
"ARI","2015-11-10","2015020226","20152016","L.A","0",6,0,100,100,100,100,0,0,6,0,7,0,12,0,0.74,0,0,6,7,12,0.74
"ARI","2015-11-12","2015020240","20152016","EDM","1",5.15,100,100,88.89,90,93.94,1,0,4,0,8,1,9,1,0.61,0.04,1,4,7,8,0.57
"ARI","2015-11-14","2015020254","20152016","CBJ","0",8.15,0,62.5,66.67,76.92,79.58,0,0,5,3,6,3,10,3,0.68,0.18,0,2,3,7,0.51
"ARI","2015-11-16","2015020261","20152016","NYI","0",4,0,75,75,83.33,76.12,0,0,3,1,3,1,5,1,0.3,0.09,0,2,2,4,0.2
"ARI","2015-11-19","2015020282","20152016","MTL","0",2.33,100,66.67,75,75,98.79,1,0,2,1,3,1,3,1,0.3,0,1,1,2,2,0.29
"ARI","2015-11-21","2015020299","20152016","WPG","0",10.55,66.67,66.67,66.67,75,64.29,2,1,6,3,6,3,9,3,0.45,0.25,1,3,3,6,0.2
"ARI","2015-11-25","2015020327","20152016","ANA","1",5.73,100,77.78,80,86.67,96.11,1,0,7,2,8,2,13,2,0.9,0.04,1,5,6,11,0.87
"ARI","2015-11-27","2015020341","20152016","CGY","1",3.77,0,100,85.71,91.67,96.24,0,0,4,0,6,1,11,1,0.91,0.04,0,4,5,10,0.88
