"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"ARI","2017-10-05","2017020011","20172018","ANA","0",7.48,0,28.57,22.22,18.18,28.64,0,0,4,10,4,14,4,18,0.36,0.89,0,-6,-10,-14,-0.53
"ARI","2017-10-07","2017020026","20172018","VGK","1",6.78,0,0,7.14,5,1.59,0,0,0,9,1,13,1,19,0.03,1.75,0,-9,-12,-18,-1.72
"ARI","2017-10-10","2017020045","20172018","VGK","0",5.02,0,25,25,18.18,10.37,0,1,1,3,2,6,2,9,0.09,0.81,-1,-2,-4,-7,-0.72
"ARI","2017-10-12","2017020056","20172018","DET","1",3.42,0,0,0,0,0,0,1,0,1,0,4,0,6,0,0.32,-1,-1,-4,-6,-0.32
"ARI","2017-10-14","2017020072","20172018","BOS","1",3.8,0,20,20,16.67,1.1,0,2,1,4,1,4,1,5,0,0.27,-2,-3,-3,-4,-0.27
"ARI","2017-10-17","2017020088","20172018","DAL","0",2,0,0,0,0,0,0,0,0,1,0,2,0,4,0,0.2,0,-1,-2,-4,-0.2
"ARI","2017-10-19","2017020103","20172018","DAL","1",2.13,0,0,0,0,0,0,1,0,2,0,4,0,5,0,0.65,-1,-2,-4,-5,-0.65
"ARI","2017-10-21","2017020119","20172018","CHI","1",0.68,0,0,0,0,0,0,1,0,2,0,2,0,3,0,0.36,-1,-2,-2,-3,-0.36
"ARI","2017-10-24","2017020126","20172018","NYI","0",5.03,0,0,0,16.67,0,0,1,0,3,0,5,1,5,0,0.25,-1,-3,-5,-4,-0.25
"ARI","2017-10-26","2017020140","20172018","NYR","0",4,0,0,20,14.29,15.92,0,0,0,1,1,4,1,6,0.05,0.24,0,-1,-3,-5,-0.2
"ARI","2017-10-28","2017020161","20172018","N.J","0",0.53,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0.19,-2,-2,-2,-2,-0.19
"ARI","2017-10-30","2017020171","20172018","PHI","0",0.47,0,0,0,0,0,0,1,0,2,0,3,0,3,0,0.15,-1,-2,-3,-3,-0.15
"ARI","2017-10-31","2017020179","20172018","DET","0",2,0,100,33.33,33.33,33.56,0,0,1,0,1,2,1,2,0.03,0.06,0,1,-1,-1,-0.03
"ARI","2017-11-02","2017020196","20172018","BUF","1",3.05,0,0,0,50,0,0,0,0,0,0,2,3,3,0,0.21,0,0,-2,0,-0.21
"ARI","2017-11-04","2017020209","20172018","CAR","1",5.05,0,50,25,16.67,1.68,0,0,1,1,1,3,1,5,0,0.21,0,0,-2,-4,-0.21
"ARI","2017-11-06","2017020220","20172018","WSH","0",10.9,0,16.67,13.33,10,5.29,0,1,2,10,2,13,2,18,0.05,0.93,-1,-8,-11,-16,-0.88
"ARI","2017-11-07","2017020226","20172018","PIT","0",11.2,0,9.09,7.14,11.11,1.16,0,1,1,10,1,13,2,16,0.02,1.39,-1,-9,-12,-14,-1.38
"ARI","2017-11-09","2017020238","20172018","STL","0",4.92,0,16.67,16.67,12.5,11.26,0,0,1,5,1,5,1,7,0.09,0.68,0,-4,-4,-6,-0.6
"ARI","2017-11-11","2017020259","20172018","WPG","1",3.05,0,0,0,20,0,0,1,0,4,0,4,1,4,0,0.32,-1,-4,-4,-3,-0.32
"ARI","2017-11-14","2017020272","20172018","WPG","0",5.2,0,20,12.5,12.5,3.14,0,0,1,4,1,7,1,7,0.02,0.61,0,-3,-6,-6,-0.59
"ARI","2017-11-16","2017020280","20172018","MTL","0",6.78,0,16.67,18.18,21.43,24.2,0,0,1,5,2,9,3,11,0.16,0.49,0,-4,-7,-8,-0.33
"ARI","2017-11-18","2017020293","20172018","OTT","0",10,0,14.29,8.33,6.25,1.06,0,0,1,6,1,11,1,15,0.01,0.76,0,-5,-10,-14,-0.75
"ARI","2017-11-20","2017020311","20172018","TOR","0",0.68,0,0,0,0,0,0,1,0,3,0,3,0,4,0,0.47,-1,-3,-3,-4,-0.47
"ARI","2017-11-22","2017020331","20172018","S.J","1",2,0,100,50,33.33,77.49,0,0,1,0,1,1,1,2,0.12,0.03,0,1,0,-1,0.09
"ARI","2017-11-24","2017020346","20172018","L.A","1",2,0,50,50,33.33,87.56,0,0,1,1,1,1,1,2,0.16,0.02,0,0,0,-1,0.14
"ARI","2017-11-25","2017020355","20172018","VGK","1",7.57,0,0,8.33,6.67,3.36,0,1,0,7,1,11,1,14,0.02,0.68,-1,-7,-10,-13,-0.66
"ARI","2017-11-28","2017020375","20172018","EDM","0",6,0,0,0,0,0,0,0,0,4,0,8,0,12,0,0.7,0,-4,-8,-12,-0.7
"ARI","2017-11-30","2017020386","20172018","CGY","0",2,0,20,20,20,1.02,0,0,1,4,1,4,1,4,0.01,0.56,0,-3,-3,-3,-0.55
"ARI","2017-12-02","2017020405","20172018","N.J","1",6,0,0,0,0,0,0,0,0,4,0,6,0,9,0,0.47,0,-4,-6,-9,-0.47
"ARI","2017-12-03","2017020411","20172018","VGK","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARI","2017-12-07","2017020430","20172018","BOS","0",6.57,0,25,12.5,22.22,0.32,0,1,1,3,1,7,2,7,0,0.84,-1,-2,-6,-5,-0.84
"ARI","2017-12-09","2017020451","20172018","CBJ","0",4,0,25,20,20,20.01,0,0,1,3,1,4,1,4,0.15,0.6,0,-2,-3,-3,-0.45
"ARI","2017-12-10","2017020457","20172018","CHI","0",4,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0.11,0,-1,-2,-2,-0.11
"ARI","2017-12-14","2017020489","20172018","T.B","1",3.75,0,0,0,0,0,0,1,0,6,0,8,0,9,0,0.77,-1,-6,-8,-9,-0.77
"ARI","2017-12-16","2017020504","20172018","PIT","1",7.98,0,0,0,8.33,0,0,0,0,4,0,8,1,11,0,0.6,0,-4,-8,-10,-0.6
"ARI","2017-12-19","2017020523","20172018","FLA","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARI","2017-12-22","2017020542","20172018","WSH","1",4,0,66.67,33.33,28.57,72.74,0,0,2,1,2,4,2,5,0.58,0.22,0,1,-2,-3,0.36
"ARI","2017-12-23","2017020554","20172018","COL","1",8.25,40,50,42.86,40,29.76,2,3,3,3,3,4,4,6,0.13,0.31,-1,0,-1,-2,-0.18
"ARI","2017-12-27","2017020567","20172018","COL","0",3.92,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0.26,0,-4,-4,-4,-0.26
"ARI","2017-12-28","2017020572","20172018","TOR","1",0.85,0,0,0,0,0,0,1,0,2,0,3,0,3,0,0.18,-1,-2,-3,-3,-0.18
"ARI","2017-12-31","2017020598","20172018","ANA","0",2,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0.06,0,-2,-2,-2,-0.06
"ARI","2018-01-04","2017020627","20172018","NSH","1",4,0,0,0,20,0,0,0,0,2,0,3,1,4,0,0.23,0,-2,-3,-3,-0.23
"ARI","2018-01-06","2017020639","20172018","NYR","1",2,0,0,50,50,40.69,0,0,0,0,2,2,2,2,0.15,0.22,0,0,0,0,-0.07
"ARI","2018-01-12","2017020669","20172018","EDM","1",2,0,0,0,0,0,0,0,0,4,0,5,0,6,0,0.48,0,-4,-5,-6,-0.48
"ARI","2018-01-13","2017020678","20172018","S.J","0",0.13,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.04,-1,-1,-1,-1,-0.04
"ARI","2018-01-16","2017020692","20172018","S.J","1",3.27,0,0,0,0,0,0,1,0,4,0,4,0,7,0,0.23,-1,-4,-4,-7,-0.23
"ARI","2018-01-18","2017020702","20172018","NSH","0",6,0,0,0,0,0,0,0,0,5,0,7,0,9,0,0.41,0,-5,-7,-9,-0.41
"ARI","2018-01-20","2017020715","20172018","STL","0",4.83,0,14.29,10,7.69,0.35,0,2,1,6,1,9,1,12,0,1,-2,-5,-8,-11,-0.99
"ARI","2018-01-22","2017020731","20172018","NYI","1",4,0,0,0,0,0,0,0,0,5,0,5,0,6,0,0.82,0,-5,-5,-6,-0.82
"ARI","2018-01-25","2017020756","20172018","CBJ","1",1.03,0,33.33,33.33,33.33,7.52,0,1,1,2,1,2,1,2,0.01,0.09,-1,-1,-1,-1,-0.08
"ARI","2018-02-01","2017020786","20172018","DAL","1",8.5,0,25,10,12.5,2.27,0,1,1,3,1,9,2,14,0.02,0.95,-1,-2,-8,-12,-0.93
"ARI","2018-02-03","2017020804","20172018","L.A","0",0.35,0,0,0,0,0,0,1,0,1,0,1,0,2,0,0.04,-1,-1,-1,-2,-0.04
