"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"ARI","2019-10-03","2019020012","20192020","ANA","0",53.97,13,5,15,26,1,0,0,0,-1,23,23,0
"ARI","2019-10-05","2019020027","20192020","BOS","1",52.93,11,9,27,24,3,3,0,0,0,27,10,17
"ARI","2019-10-10","2019020057","20192020","VGK","1",47.97,9,6,15,20,3,2,0,0,-1,21,20,1
"ARI","2019-10-12","2019020072","20192020","COL","0",50.48,2,10,15,20,2,2,0,0,0,25,24,1
"ARI","2019-10-15","2019020087","20192020","WPG","0",45.18,9,2,13,18,6,2,0,0,-4,19,23,-4
"ARI","2019-10-17","2019020104","20192020","NSH","1",43.63,5,3,10,14,4,6,0,0,2,29,23,6
"ARI","2019-10-19","2019020120","20192020","OTT","1",46.83,7,8,15,28,1,5,0,0,4,26,23,3
"ARI","2019-10-22","2019020136","20192020","NYR","0",49.78,11,7,11,25,1,3,0,0,2,17,21,-4
"ARI","2019-10-24","2019020146","20192020","NYI","0",53.2,19,11,16,30,1,2,0,0,1,21,27,-6
"ARI","2019-10-25","2019020157","20192020","N.J","0",51.53,3,6,21,13,4,2,0,0,-2,26,30,-4
"ARI","2019-10-28","2019020177","20192020","BUF","0",59.33,4,1,20,9,1,2,0,0,1,23,22,1
"ARI","2019-10-30","2019020192","20192020","MTL","1",49.97,12,7,18,32,1,2,0,0,1,26,33,-7
"ARI","2019-11-02","2019020214","20192020","COL","1",48.2,4,8,27,15,3,2,1,1,-1,22,26,-4
"ARI","2019-11-04","2019020223","20192020","EDM","0",52.78,13,9,19,28,2,2,0,0,0,21,24,-3
"ARI","2019-11-05","2019020231","20192020","CGY","0",46.5,12,5,7,9,5,5,0,0,0,20,30,-10
"ARI","2019-11-07","2019020246","20192020","CBJ","1",47.02,3,1,19,24,4,3,0,0,-1,21,21,0
"ARI","2019-11-09","2019020259","20192020","MIN","1",52.88,6,4,26,18,1,2,0,0,1,26,16,10
"ARI","2019-11-11","2019020270","20192020","WSH","0",53.98,5,11,18,24,2,2,0,0,0,24,24,0
"ARI","2019-11-12","2019020275","20192020","STL","0",53.32,8,10,10,22,2,1,0,0,-1,20,31,-11
"ARI","2019-11-14","2019020289","20192020","MIN","0",47.33,3,2,13,8,3,2,0,0,-1,20,33,-13
"ARI","2019-11-16","2019020302","20192020","CGY","1",44.17,9,3,15,24,7,7,0,0,0,17,18,-1
"ARI","2019-11-18","2019020317","20192020","L.A","1",45.92,5,8,19,19,4,4,0,0,0,21,16,5
"ARI","2019-11-21","2019020343","20192020","TOR","1",53.92,11,3,27,16,0,2,0,0,2,22,35,-13
"ARI","2019-11-23","2019020350","20192020","L.A","0",51.98,10,1,22,16,3,1,0,0,-2,19,27,-8
"ARI","2019-11-24","2019020364","20192020","EDM","1",60.47,7,10,18,18,0,2,0,0,2,25,25,0
"ARI","2019-11-27","2019020386","20192020","ANA","1",55.68,14,7,26,25,4,3,0,0,-1,15,26,-11
"ARI","2019-11-29","2019020399","20192020","VGK","0",55.2,4,5,18,44,5,1,0,0,-4,20,26,-6
"ARI","2019-11-30","2019020412","20192020","S.J","1",50.65,3,3,25,22,0,2,0,0,2,18,20,-2
"ARI","2019-12-03","2019020429","20192020","CBJ","0",51.88,3,3,11,12,2,1,0,0,-1,24,21,3
"ARI","2019-12-05","2019020442","20192020","PHI","0",46.83,12,5,17,20,2,3,0,0,1,19,25,-6
"ARI","2019-12-06","2019020449","20192020","PIT","0",47.83,5,3,38,50,1,4,0,0,3,20,15,5
"ARI","2019-12-08","2019020465","20192020","CHI","0",52.58,11,10,28,28,1,5,1,1,4,21,20,1
"ARI","2019-12-10","2019020480","20192020","CGY","1",54.25,9,2,19,17,2,0,0,0,-2,33,26,7
"ARI","2019-12-12","2019020495","20192020","CHI","1",48.5,2,6,16,17,2,3,0,0,1,21,17,4
"ARI","2019-12-14","2019020513","20192020","N.J","1",45.83,10,5,10,16,1,2,0,0,1,29,21,8
"ARI","2019-12-17","2019020534","20192020","S.J","0",48.63,3,10,17,19,1,2,0,0,1,21,15,6
"ARI","2019-12-19","2019020546","20192020","MIN","1",47.68,3,5,20,22,3,3,0,0,0,36,22,14
"ARI","2019-12-22","2019020566","20192020","DET","0",53.45,16,11,14,29,3,0,0,0,-3,31,24,7
"ARI","2019-12-23","2019020576","20192020","NSH","0",52.57,1,3,16,10,1,1,0,0,0,20,26,-6
"ARI","2019-12-28","2019020600","20192020","VGK","0",47.82,1,4,16,32,2,4,1,1,2,20,22,-2
"ARI","2019-12-29","2019020609","20192020","DAL","1",46.08,13,3,26,32,3,3,0,0,0,20,20,0
"ARI","2019-12-31","2019020624","20192020","STL","1",44.73,6,9,18,23,3,3,0,0,0,15,18,-3
"ARI","2020-01-02","2019020636","20192020","ANA","1",51.47,8,9,19,31,0,2,0,0,2,24,20,4
"ARI","2020-01-04","2019020650","20192020","PHI","1",43.78,11,4,19,24,4,5,0,0,1,21,31,-10
"ARI","2020-01-07","2019020664","20192020","FLA","0",53.62,6,6,23,24,1,3,0,0,2,28,34,-6
"ARI","2020-01-09","2019020680","20192020","T.B","0",53.83,3,3,17,21,2,2,0,0,0,20,35,-15
"ARI","2020-01-10","2019020690","20192020","CAR","0",48,8,9,15,8,3,3,0,0,0,23,24,-1
"ARI","2020-01-12","2019020706","20192020","PIT","1",51,11,4,28,29,2,2,0,0,0,21,19,2
"ARI","2020-01-14","2019020724","20192020","S.J","1",51.1,7,7,15,25,3,2,0,0,-1,21,28,-7
