"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"ARI","2017-10-05","2017020011","20172018","ANA","0",7.48,1,0,2,1,0,0,0,0,0,3,6,-3
"ARI","2017-10-07","2017020026","20172018","VGK","1",6.78,0,0,1,0,1,0,0,0,-1,4,6,-2
"ARI","2017-10-10","2017020045","20172018","VGK","0",5.02,0,0,1,1,1,0,0,0,-1,2,4,-2
"ARI","2017-10-12","2017020056","20172018","DET","1",3.42,0,1,1,0,0,0,0,0,0,3,1,2
"ARI","2017-10-14","2017020072","20172018","BOS","1",3.8,0,0,3,0,0,0,0,0,0,1,4,-3
"ARI","2017-10-17","2017020088","20172018","DAL","0",2,0,0,0,1,0,0,0,0,0,1,1,0
"ARI","2017-10-19","2017020103","20172018","DAL","1",2.13,1,0,0,0,0,0,0,0,0,2,2,0
"ARI","2017-10-21","2017020119","20172018","CHI","1",0.68,0,0,0,0,0,0,0,0,0,1,1,0
"ARI","2017-10-24","2017020126","20172018","NYI","0",5.03,0,1,0,0,0,0,0,0,0,0,3,-3
"ARI","2017-10-26","2017020140","20172018","NYR","0",4,0,0,0,0,0,0,0,0,0,2,3,-1
"ARI","2017-10-28","2017020161","20172018","N.J","0",0.53,0,0,0,0,0,0,0,0,0,0,2,-2
"ARI","2017-10-30","2017020171","20172018","PHI","0",0.47,1,0,0,0,0,0,0,0,0,1,0,1
"ARI","2017-10-31","2017020179","20172018","DET","0",2,0,1,0,0,0,0,0,0,0,0,2,-2
"ARI","2017-11-02","2017020196","20172018","BUF","1",3.05,0,0,0,0,0,0,0,0,0,0,1,-1
"ARI","2017-11-04","2017020209","20172018","CAR","1",5.05,0,1,0,0,0,1,0,0,1,0,4,-4
"ARI","2017-11-06","2017020220","20172018","WSH","0",10.9,1,1,1,2,0,1,0,0,1,5,4,1
"ARI","2017-11-07","2017020226","20172018","PIT","0",11.2,0,2,2,0,0,0,0,0,0,4,6,-2
"ARI","2017-11-09","2017020238","20172018","STL","0",4.92,1,1,1,0,0,1,0,0,1,3,3,0
"ARI","2017-11-11","2017020259","20172018","WPG","1",3.05,1,0,1,0,0,0,0,0,0,1,6,-5
"ARI","2017-11-14","2017020272","20172018","WPG","0",5.2,0,0,1,0,0,0,0,0,0,5,5,0
"ARI","2017-11-16","2017020280","20172018","MTL","0",6.78,0,2,3,2,0,0,0,0,0,4,2,2
"ARI","2017-11-18","2017020293","20172018","OTT","0",10,0,2,4,1,0,0,0,0,0,5,6,-1
"ARI","2017-11-20","2017020311","20172018","TOR","0",0.68,0,0,0,0,0,0,0,0,0,1,1,0
"ARI","2017-11-22","2017020331","20172018","S.J","1",2,0,0,0,0,0,0,0,0,0,1,0,1
"ARI","2017-11-24","2017020346","20172018","L.A","1",2,0,0,1,0,0,0,0,0,0,2,0,2
"ARI","2017-11-25","2017020355","20172018","VGK","1",7.57,0,0,3,1,0,1,0,0,1,3,3,0
"ARI","2017-11-28","2017020375","20172018","EDM","0",6,0,1,1,1,0,0,0,0,0,4,4,0
"ARI","2017-11-30","2017020386","20172018","CGY","0",2,0,1,0,0,0,0,0,0,0,1,1,0
"ARI","2017-12-02","2017020405","20172018","N.J","1",6,0,0,1,1,0,0,0,0,0,3,2,1
"ARI","2017-12-03","2017020411","20172018","VGK","0",0,0,0,0,0,0,0,0,0,0,0,0,0
"ARI","2017-12-07","2017020430","20172018","BOS","0",6.57,0,2,2,0,1,0,0,0,-1,5,7,-2
"ARI","2017-12-09","2017020451","20172018","CBJ","0",4,0,1,0,0,0,0,0,0,0,0,2,-2
"ARI","2017-12-10","2017020457","20172018","CHI","0",4,1,0,2,0,0,0,0,0,0,2,2,0
"ARI","2017-12-14","2017020489","20172018","T.B","1",3.75,0,1,0,0,0,1,0,0,1,2,2,0
"ARI","2017-12-16","2017020504","20172018","PIT","1",7.98,0,1,1,0,0,0,0,0,0,4,5,-1
