"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"ARI","2018-10-04","2018020012","20182019","DAL","0",54.48,24,16,9,99,26,17,16,6,5
"ARI","2018-10-06","2018020027","20182019","ANA","1",50.87,15,11,12,145,21,12,15,3,2
"ARI","2018-10-10","2018020044","20182019","ANA","0",53.88,12,13,6,87,16,14,13,2,2
"ARI","2018-10-13","2018020069","20182019","BUF","1",48.62,15,14,9,106,19,17,19,9,4
"ARI","2018-10-16","2018020083","20182019","MIN","0",50.85,15,12,15,114,16,14,23,3,4
"ARI","2018-10-18","2018020095","20182019","CHI","0",53.15,16,14,11,105,20,17,19,8,7
"ARI","2018-10-20","2018020104","20182019","WPG","0",45.55,8,18,12,88,15,24,16,3,3
"ARI","2018-10-23","2018020123","20182019","CBJ","0",48.03,10,13,14,85,15,16,18,5,3
"ARI","2018-10-25","2018020143","20182019","VAN","1",47.93,11,9,11,125,17,10,16,4,5
"ARI","2018-10-27","2018020157","20182019","T.B","1",43.73,11,13,11,98,13,15,14,1,4
"ARI","2018-10-30","2018020175","20182019","OTT","1",49.1,12,14,10,116,14,14,13,3,4
"ARI","2018-11-02","2018020194","20182019","CAR","1",47.28,12,17,8,108,15,20,15,2,5
"ARI","2018-11-05","2018020214","20182019","PHI","1",47.23,14,16,5,85,21,16,8,2,6
"ARI","2018-11-08","2018020229","20182019","PHI","0",50.15,9,13,9,106,15,13,12,2,3
"ARI","2018-11-10","2018020249","20182019","PIT","0",49.73,18,10,14,95,21,12,23,9,5
"ARI","2018-11-11","2018020255","20182019","WSH","0",45.15,10,10,15,72,12,14,24,8,5
"ARI","2018-11-13","2018020268","20182019","DET","0",46.18,17,16,6,74,20,22,12,2,7
"ARI","2018-11-15","2018020284","20182019","NSH","1",43.68,9,10,11,90,12,11,25,10,4
"ARI","2018-11-17","2018020300","20182019","BOS","1",50.1,12,13,10,128,13,13,14,3,6
"ARI","2018-11-21","2018020328","20182019","VGK","1",54.85,14,15,8,109,17,16,16,8,5
"ARI","2018-11-23","2018020345","20182019","COL","1",45.63,14,11,9,91,20,13,19,6,3
"ARI","2018-11-25","2018020358","20182019","CGY","1",43.63,12,12,9,93,19,16,11,1,4
"ARI","2018-11-27","2018020372","20182019","MIN","0",53.67,9,15,11,115,9,20,20,9,4
"ARI","2018-11-29","2018020386","20182019","NSH","0",47.17,10,9,14,75,13,13,23,8,4
"ARI","2018-12-01","2018020405","20182019","STL","1",44.23,12,13,7,80,16,16,13,5,2
"ARI","2018-12-04","2018020425","20182019","L.A","0",46.7,13,11,8,81,14,16,14,4,4
"ARI","2018-12-06","2018020436","20182019","WSH","1",52.87,9,13,10,118,14,17,13,1,4
"ARI","2018-12-08","2018020452","20182019","S.J","1",56.75,9,23,9,131,10,26,15,5,5
"ARI","2018-12-11","2018020465","20182019","BOS","0",48.92,17,19,8,95,21,23,11,2,3
"ARI","2018-12-13","2018020479","20182019","BUF","0",55.12,14,17,13,94,21,22,20,6,5
"ARI","2018-12-14","2018020488","20182019","NYR","0",47.08,6,16,3,98,7,19,8,4,2
"ARI","2018-12-16","2018020506","20182019","CAR","0",47.8,9,13,10,116,15,15,14,2,2
"ARI","2018-12-18","2018020525","20182019","NYI","1",48.85,16,10,12,98,18,13,15,3,4
"ARI","2018-12-20","2018020538","20182019","MTL","1",48.45,13,10,11,126,21,10,14,3,5
"ARI","2018-12-22","2018020555","20182019","COL","1",46.82,13,13,6,104,16,20,15,4,7
"ARI","2018-12-23","2018020566","20182019","S.J","0",50.68,7,13,13,104,9,13,18,7,2
"ARI","2018-12-27","2018020578","20182019","L.A","0",48.93,10,14,8,97,16,16,15,6,3
"ARI","2018-12-29","2018020597","20182019","ANA","0",48.95,6,18,5,78,12,20,13,4,3
"ARI","2018-12-30","2018020598","20182019","VGK","1",43.43,10,10,10,98,14,11,16,2,2
"ARI","2019-01-02","2018020620","20182019","EDM","1",52.13,11,17,11,142,16,18,22,10,5
"ARI","2019-01-04","2018020634","20182019","N.J","1",50.5,10,16,10,107,14,20,15,4,4
"ARI","2019-01-06","2018020645","20182019","NYR","1",53.3,10,11,6,121,16,12,13,5,5
"ARI","2019-01-10","2018020680","20182019","VAN","0",56.15,7,17,13,173,13,20,18,5,5
"ARI","2019-01-12","2018020696","20182019","EDM","0",54.65,10,15,9,103,14,19,13,4,4
"ARI","2019-01-13","2018020704","20182019","CGY","0",52.2,14,18,8,144,18,23,15,6,8
"ARI","2019-01-16","2018020725","20182019","S.J","1",52.1,10,15,7,134,17,16,9,2,3
