"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"ARI","2019-10-03","2019020012","20192020","ANA","0",2,0,0,0,1,1,0,0,0,0
"ARI","2019-10-05","2019020027","20192020","BOS","1",4.13,3,2,0,3,4,2,0,0,0
"ARI","2019-10-10","2019020057","20192020","VGK","1",4,2,0,1,5,2,0,1,0,0
"ARI","2019-10-12","2019020072","20192020","COL","0",5.8,5,0,0,5,6,0,0,0,0
"ARI","2019-10-15","2019020087","20192020","WPG","0",2.45,2,0,0,4,3,0,0,0,0
"ARI","2019-10-17","2019020104","20192020","NSH","1",9.55,8,1,0,9,8,1,0,0,0
"ARI","2019-10-19","2019020120","20192020","OTT","1",9.65,6,2,1,7,9,3,1,0,0
"ARI","2019-10-22","2019020136","20192020","NYR","0",8.48,7,0,0,6,9,0,0,0,0
"ARI","2019-10-24","2019020146","20192020","NYI","0",4.68,2,0,0,8,2,0,0,0,0
"ARI","2019-10-25","2019020157","20192020","N.J","0",2.57,2,0,0,6,2,0,0,0,0
"ARI","2019-10-28","2019020177","20192020","BUF","0",3.48,4,0,0,2,4,0,0,0,0
"ARI","2019-10-30","2019020192","20192020","MTL","1",5.93,2,0,0,8,4,0,0,0,0
"ARI","2019-11-02","2019020214","20192020","COL","1",2.67,2,0,0,1,2,0,0,0,0
"ARI","2019-11-04","2019020223","20192020","EDM","0",5.4,3,0,1,6,4,1,1,0,0
"ARI","2019-11-05","2019020231","20192020","CGY","0",8.8,7,2,0,5,8,2,0,0,0
"ARI","2019-11-07","2019020246","20192020","CBJ","1",4,3,0,0,3,3,1,0,0,0
"ARI","2019-11-09","2019020259","20192020","MIN","1",4,4,1,0,1,4,2,0,0,0
"ARI","2019-11-11","2019020270","20192020","WSH","0",4,2,1,0,2,2,1,0,0,0
"ARI","2019-11-12","2019020275","20192020","STL","0",4.68,3,0,0,7,3,0,0,0,0
"ARI","2019-11-14","2019020289","20192020","MIN","0",6.03,3,0,0,3,4,0,0,0,0
"ARI","2019-11-16","2019020302","20192020","CGY","1",7.93,4,1,0,9,6,1,1,1,0
"ARI","2019-11-18","2019020317","20192020","L.A","1",6.08,4,0,0,12,4,0,0,0,0
"ARI","2019-11-21","2019020343","20192020","TOR","1",6,4,2,0,2,7,3,0,0,0
"ARI","2019-11-23","2019020350","20192020","L.A","0",0.8,1,0,0,0,1,0,0,0,0
"ARI","2019-11-24","2019020364","20192020","EDM","1",3.93,3,0,0,2,6,0,0,0,0
"ARI","2019-11-27","2019020386","20192020","ANA","1",2.75,3,0,0,2,3,0,0,0,0
"ARI","2019-11-29","2019020399","20192020","VGK","0",2,3,0,0,0,3,0,0,0,0
"ARI","2019-11-30","2019020412","20192020","S.J","1",6,3,0,0,7,3,0,0,0,0
"ARI","2019-12-03","2019020429","20192020","CBJ","0",1.42,1,0,0,0,1,0,0,0,0
"ARI","2019-12-05","2019020442","20192020","PHI","0",5.02,4,0,1,4,5,1,2,1,0
"ARI","2019-12-06","2019020449","20192020","PIT","0",8.03,7,1,0,4,10,1,0,0,0
"ARI","2019-12-08","2019020465","20192020","CHI","0",10.13,7,1,0,11,9,2,0,0,0
"ARI","2019-12-10","2019020480","20192020","CGY","1",0.52,1,0,0,0,1,0,0,0,0
"ARI","2019-12-12","2019020495","20192020","CHI","1",7.47,4,0,0,12,4,0,0,0,0
"ARI","2019-12-14","2019020513","20192020","N.J","1",6.22,6,2,0,10,6,2,0,0,0
"ARI","2019-12-17","2019020534","20192020","S.J","0",6,5,0,0,6,6,1,1,1,0
"ARI","2019-12-19","2019020546","20192020","MIN","1",6.15,4,1,0,4,6,1,0,0,0
"ARI","2019-12-22","2019020566","20192020","DET","0",0,0,0,0,0,0,0,0,0,0
"ARI","2019-12-23","2019020576","20192020","NSH","0",2.87,1,2,0,5,1,2,0,0,0
"ARI","2019-12-28","2019020600","20192020","VGK","0",8.32,6,1,0,9,6,3,0,0,0
"ARI","2019-12-29","2019020609","20192020","DAL","1",6.18,5,1,0,8,7,3,0,0,0
"ARI","2019-12-31","2019020624","20192020","STL","1",6.85,3,1,0,5,4,2,0,0,0
"ARI","2020-01-02","2019020636","20192020","ANA","1",5.08,4,0,0,8,5,0,0,0,0
"ARI","2020-01-04","2019020650","20192020","PHI","1",8.43,4,2,0,13,5,3,0,0,0
"ARI","2020-01-07","2019020664","20192020","FLA","0",1.32,2,0,0,0,2,0,0,0,0
"ARI","2020-01-09","2019020680","20192020","T.B","0",4,2,0,0,5,2,0,0,0,0
"ARI","2020-01-10","2019020690","20192020","CAR","0",6,3,0,0,6,3,0,0,0,0
"ARI","2020-01-12","2019020706","20192020","PIT","1",8,5,1,0,11,5,2,0,0,0
"ARI","2020-01-14","2019020724","20192020","S.J","1",3.3,2,0,0,4,2,0,0,0,0
"ARI","2020-01-16","2019020739","20192020","VAN","0",4,2,1,0,4,2,1,0,0,0
"ARI","2020-01-18","2019020745","20192020","EDM","0",4.92,4,1,0,1,6,1,0,0,0
"ARI","2020-01-29","2019020779","20192020","ANA","0",8.95,5,3,0,11,6,3,1,1,0
"ARI","2020-01-30","2019020784","20192020","L.A","1",4,3,0,0,2,5,1,0,0,0
"ARI","2020-02-01","2019020802","20192020","CHI","1",5.2,2,0,0,4,4,0,0,0,0
"ARI","2020-02-04","2019020824","20192020","EDM","1",6,3,0,0,6,3,0,0,0,0
"ARI","2020-02-06","2019020838","20192020","CAR","1",9.43,5,0,0,8,5,1,0,0,0
"ARI","2020-02-08","2019020844","20192020","BOS","0",9.12,5,2,0,7,5,2,1,0,0
"ARI","2020-02-10","2019020860","20192020","MTL","0",9.3,9,0,0,12,10,0,0,0,0
"ARI","2020-02-11","2019020867","20192020","TOR","0",6,3,1,1,3,6,1,1,0,0
"ARI","2020-02-13","2019020885","20192020","OTT","0",2.15,2,0,1,1,2,0,1,0,0
"ARI","2020-02-15","2019020904","20192020","WSH","1",5.95,2,0,0,6,3,0,0,0,0
"ARI","2020-02-17","2019020916","20192020","NYI","1",4,3,0,0,4,3,0,0,0,0
"ARI","2020-02-19","2019020928","20192020","DAL","0",5.75,3,1,1,5,3,1,1,0,0
"ARI","2020-02-20","2019020938","20192020","STL","0",5.12,4,0,0,4,4,1,0,0,0
"ARI","2020-02-22","2019020955","20192020","T.B","1",6.75,4,2,0,9,4,2,0,0,0
"ARI","2020-02-25","2019020979","20192020","FLA","1",0,0,0,0,0,0,0,0,0,0
"ARI","2020-02-29","2019021008","20192020","BUF","1",4,3,0,0,1,3,0,0,0,0
"ARI","2020-03-04","2019021032","20192020","VAN","0",5.8,4,1,0,5,7,1,0,0,0
"ARI","2020-03-06","2019021046","20192020","CGY","0",4.07,5,0,0,2,5,1,0,0,0
"ARI","2020-03-09","2019021067","20192020","WPG","0",2.25,1,0,1,1,1,0,1,0,0
"ARI","Total","-","20192020","-","-",5.17,243,37,8,347,294,56,13,4,0
