"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"ARI","2018-10-04","2018020012","20182019","DAL","0",2.73,0,0,4,4,0,0,5,0,0
"ARI","2018-10-06","2018020027","20182019","ANA","1",3.55,0,0,1,9,1,0,1,0,0
"ARI","2018-10-10","2018020044","20182019","ANA","0",5.77,0,1,4,10,0,1,4,0,0
"ARI","2018-10-13","2018020069","20182019","BUF","1",5.18,0,1,3,9,0,1,3,0,0
"ARI","2018-10-16","2018020083","20182019","MIN","0",2.15,0,1,2,3,0,1,2,0,0
"ARI","2018-10-18","2018020095","20182019","CHI","0",4,0,1,3,7,0,2,3,0,0
"ARI","2018-10-20","2018020104","20182019","WPG","0",4.78,0,0,4,1,0,0,4,0,0
"ARI","2018-10-23","2018020123","20182019","CBJ","0",6,0,1,5,10,0,1,5,0,0
"ARI","2018-10-25","2018020143","20182019","VAN","1",5.95,0,2,3,11,0,2,3,0,0
"ARI","2018-10-27","2018020157","20182019","T.B","1",8.27,2,3,4,12,2,3,4,0,0
"ARI","2018-10-30","2018020175","20182019","OTT","1",8,0,2,5,15,0,2,5,0,0
"ARI","2018-11-02","2018020194","20182019","CAR","1",10.3,1,2,9,13,1,2,9,0,1
"ARI","2018-11-05","2018020214","20182019","PHI","1",4.98,0,0,5,6,0,0,5,0,0
"ARI","2018-11-08","2018020229","20182019","PHI","0",8,0,4,4,7,0,4,5,0,0
"ARI","2018-11-10","2018020249","20182019","PIT","0",3.13,0,0,2,5,0,0,2,0,0
"ARI","2018-11-11","2018020255","20182019","WSH","0",4,0,0,4,2,0,0,5,0,0
"ARI","2018-11-13","2018020268","20182019","DET","0",5.63,0,1,5,6,0,1,6,0,0
"ARI","2018-11-15","2018020284","20182019","NSH","1",10,0,1,6,14,0,2,6,0,0
"ARI","2018-11-17","2018020300","20182019","BOS","1",3.07,1,0,1,5,1,0,1,0,1
"ARI","2018-11-21","2018020328","20182019","VGK","1",4,0,0,2,11,0,0,2,0,0
