"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"BOS","2019-10-03","2019020010","20192020","DAL","0",48.4,50,44.74,46.43,50,50.68,1,1,17,21,26,30,40,40,1.23,1.19,0,-4,-4,0,0.03
"BOS","2019-10-05","2019020027","20192020","ARI","0",52.93,100,42.59,46.05,49.53,44.91,1,0,23,31,35,41,53,54,1.92,2.35,1,-8,-6,-1,-0.44
"BOS","2019-10-08","2019020043","20192020","VGK","0",49.27,75,54.55,53.25,53.54,52.49,3,1,30,25,41,36,53,46,2.51,2.27,2,5,5,7,0.24
"BOS","2019-10-10","2019020056","20192020","COL","0",53.83,50,52.24,50,49.04,44.6,2,2,35,32,42,42,51,53,1.83,2.27,0,3,0,-2,-0.44
"BOS","2019-10-12","2019020064","20192020","N.J","1",47.38,100,52.94,55.56,54.22,53.51,2,0,27,24,35,28,45,38,2.23,1.94,2,3,7,7,0.29
"BOS","2019-10-14","2019020078","20192020","ANA","1",45.55,50,41.03,46.67,45.33,29.69,2,2,16,23,28,32,34,41,1.16,2.74,0,-7,-4,-7,-1.58
"BOS","2019-10-17","2019020098","20192020","T.B","1",52.65,0,50,49.37,47.92,43,0,3,31,31,39,40,46,50,1.61,2.14,-3,0,-1,-4,-0.53
"BOS","2019-10-19","2019020115","20192020","TOR","0",57.73,33.33,55.38,52.81,54.46,47.04,2,4,36,29,47,42,61,51,2.51,2.82,-2,7,5,10,-0.32
"BOS","2019-10-22","2019020133","20192020","TOR","1",46.03,75,59.26,59.38,58.23,73.08,3,1,32,22,38,26,46,33,2.55,0.94,2,10,12,13,1.61
"BOS","2019-10-26","2019020162","20192020","STL","1",42.52,100,46.88,52.27,53.45,52.6,1,0,15,17,23,21,31,27,0.79,0.71,1,-2,2,4,0.08
"BOS","2019-10-27","2019020174","20192020","NYR","0",47.08,66.67,65.45,60.81,61.46,57.98,6,3,36,19,45,29,59,37,2.8,2.03,3,17,16,22,0.77
"BOS","2019-10-29","2019020179","20192020","S.J","1",43.78,100,70.97,66.67,65,75.54,3,0,22,9,30,15,39,21,2.21,0.72,3,13,15,18,1.5
"BOS","2019-11-02","2019020206","20192020","OTT","1",45.58,60,52.17,55.17,51.95,57.75,3,2,24,22,32,26,40,37,1.67,1.22,1,2,6,3,0.45
"BOS","2019-11-04","2019020220","20192020","PIT","1",50.98,55.56,35.48,39.74,39.58,31.71,5,4,22,40,31,47,38,58,1.42,3.06,1,-18,-16,-20,-1.64
"BOS","2019-11-05","2019020224","20192020","MTL","0",52.85,37.5,43.14,41.67,49.02,48.45,3,5,22,29,30,42,50,52,1.96,2.09,-2,-7,-12,-2,-0.13
"BOS","2019-11-08","2019020248","20192020","DET","0",47.3,50,48.72,50,49.3,43.62,1,1,19,20,25,25,35,36,0.95,1.23,0,-1,0,-1,-0.28
"BOS","2019-11-10","2019020267","20192020","PHI","1",58.48,50,46,52.86,51.58,50.6,2,2,23,27,37,33,49,46,1.74,1.69,0,-4,4,3,0.04
"BOS","2019-11-12","2019020272","20192020","FLA","1",53.6,75,62,60.61,63.1,61.42,3,1,31,19,40,26,53,31,1.97,1.24,2,12,14,22,0.73
"BOS","2019-11-15","2019020294","20192020","TOR","0",51.55,60,52.54,48.91,43.7,56.6,3,2,31,28,45,47,52,67,2.35,1.8,1,3,-2,-15,0.55
"BOS","2019-11-16","2019020303","20192020","WSH","1",54.33,66.67,36.54,44.16,41.57,42.11,2,1,19,33,34,43,37,52,2.09,2.87,1,-14,-9,-15,-0.78
"BOS","2019-11-19","2019020320","20192020","N.J","0",53.3,80,51.92,52.05,47.87,54.23,4,1,27,25,38,35,45,49,1.85,1.56,3,2,3,-4,0.29
"BOS","2019-11-21","2019020333","20192020","BUF","1",49.15,50,39.13,36.51,37.78,47.06,1,1,18,28,23,40,34,56,1.49,1.67,0,-10,-17,-22,-0.19
"BOS","2019-11-23","2019020351","20192020","MIN","1",44.85,60,57.69,57.14,61.18,44.64,3,2,30,22,36,27,52,33,1.39,1.73,1,8,9,19,-0.33
"BOS","2019-11-26","2019020374","20192020","MTL","0",53.65,85.71,34.55,36.25,38.68,40.61,6,1,19,36,29,51,41,65,1.83,2.68,5,-17,-22,-24,-0.85
"BOS","2019-11-27","2019020378","20192020","OTT","0",50.37,66.67,36.36,38.46,40.62,29.01,2,1,16,28,25,40,39,57,0.9,2.2,1,-12,-15,-18,-1.3
"BOS","2019-11-29","2019020391","20192020","NYR","1",48.22,60,50,49.21,53.95,46.44,3,2,22,22,31,32,41,35,1.5,1.72,1,0,-1,6,-0.23
"BOS","2019-12-01","2019020417","20192020","MTL","1",50.88,66.67,56.86,52.31,49.45,50.21,2,1,29,22,34,31,45,46,1.52,1.51,1,7,3,-1,0.01
"BOS","2019-12-03","2019020424","20192020","CAR","1",51.08,100,60,46.88,48.78,52.24,2,0,30,20,30,34,40,42,1.37,1.25,2,10,-4,-2,0.12
"BOS","2019-12-05","2019020438","20192020","CHI","1",48.68,50,58,52.78,55.67,49.26,2,2,29,21,38,34,54,43,1.55,1.6,0,8,4,11,-0.05
"BOS","2019-12-07","2019020454","20192020","COL","1",54.37,25,47.06,51.79,54.32,50.36,1,3,16,18,29,27,44,37,1.14,1.12,-2,-2,2,7,0.02
"BOS","2019-12-09","2019020470","20192020","OTT","0",46.73,25,54.55,53.97,62.79,41.58,1,3,24,20,34,29,54,32,1.29,1.81,-2,4,5,22,-0.52
"BOS","2019-12-11","2019020484","20192020","WSH","0",43.13,50,50,46.03,44.32,49.8,2,2,23,23,29,34,39,49,1.33,1.34,0,0,-5,-10,-0.01
"BOS","2019-12-12","2019020488","20192020","T.B","0",50.5,66.67,46.67,43.66,42.86,52.89,2,1,21,24,31,40,39,52,1.93,1.72,1,-3,-9,-13,0.21
"BOS","2019-12-14","2019020508","20192020","FLA","0",49.75,50,50,46.91,45.45,56.52,2,2,28,28,38,43,50,60,2,1.54,0,0,-5,-10,0.46
"BOS","2019-12-17","2019020524","20192020","L.A","1",57.1,66.67,59.65,60.49,58.33,72.36,2,1,34,23,49,32,56,40,2.37,0.91,1,11,17,16,1.47
"BOS","2019-12-19","2019020538","20192020","NYI","1",52.18,33.33,55,50,53.66,48.29,1,2,22,18,32,32,44,38,1.73,1.86,-1,4,0,6,-0.12
"BOS","2019-12-21","2019020555","20192020","NSH","1",51.03,25,54.55,58.46,55.68,62.96,1,3,24,20,38,27,49,39,2.39,1.41,-2,4,11,10,0.99
"BOS","2019-12-23","2019020571","20192020","WSH","1",39.23,40,25,30.43,30,34.79,2,3,9,27,14,32,18,42,0.87,1.64,-1,-18,-18,-24,-0.76
"BOS","2019-12-27","2019020582","20192020","BUF","0",50.82,100,47.73,45.83,43.02,44.23,1,0,21,23,33,39,37,49,1.65,2.08,1,-2,-6,-12,-0.43
"BOS","2019-12-29","2019020606","20192020","BUF","1",42.9,50,43.75,44.68,45.16,41.62,1,1,14,18,21,26,28,34,0.84,1.17,0,-4,-5,-6,-0.34
"BOS","2019-12-31","2019020613","20192020","N.J","0",56.65,33.33,41.94,43.01,44.63,45.68,1,2,26,36,40,53,54,67,2.44,2.9,-1,-10,-13,-13,-0.46
"BOS","2020-01-02","2019020627","20192020","CBJ","1",54.78,0,45.28,48.61,55.68,46.59,0,2,24,29,35,37,49,39,1.8,2.06,-2,-5,-2,10,-0.26
"BOS","2020-01-04","2019020641","20192020","EDM","1",49.13,0,54,53.52,52.69,50.48,0,3,27,23,38,33,49,44,1.45,1.43,-3,4,5,5,0.03
"BOS","2020-01-07","2019020671","20192020","NSH","0",44.45,100,57.45,54.29,50,60.74,4,0,27,20,38,32,43,43,2.49,1.61,4,7,6,0,0.88
"BOS","2020-01-09","2019020678","20192020","WPG","1",50.03,66.67,61.7,60.34,59.42,79.23,4,2,29,18,35,23,41,28,2.99,0.78,2,11,12,13,2.21
"BOS","2020-01-11","2019020694","20192020","NYI","0",56.67,50,43.75,44.44,45.9,39.95,2,2,28,36,40,50,56,66,1.81,2.73,0,-8,-10,-10,-0.91
"BOS","2020-01-13","2019020711","20192020","PHI","0",57.07,50,47.54,46.43,43.12,44.99,4,4,29,32,39,45,47,62,2.34,2.86,0,-3,-6,-15,-0.52
"BOS","2020-01-14","2019020719","20192020","CBJ","0",48.82,0,54.9,57.58,60.23,62.01,0,2,28,23,38,28,53,35,2.09,1.28,-2,5,10,18,0.81
"BOS","2020-01-16","2019020727","20192020","PIT","1",44.3,75,56.41,52.73,53.42,56.13,3,1,22,17,29,26,39,34,1.05,0.82,2,5,3,5,0.23
"BOS","2020-01-19","2019020755","20192020","PIT","0",51.52,50,64.58,60.56,64.29,55.12,3,3,31,17,43,28,63,35,2.38,1.94,0,14,15,28,0.44
"BOS","2020-01-21","2019020761","20192020","VGK","1",44.57,75,57.89,58.82,57.14,66.55,3,1,33,24,40,28,44,33,1.78,0.9,2,9,12,11,0.89
"BOS","2020-01-31","2019020789","20192020","WPG","0",42.57,0,45.24,41.67,38.36,45.64,0,1,19,23,25,35,28,45,1,1.19,-1,-4,-10,-17,-0.19
"BOS","2020-02-01","2019020801","20192020","MIN","0",47.6,75,53.49,52.38,52.94,54.08,3,1,23,20,33,30,45,40,1.36,1.16,2,3,3,5,0.21
"BOS","2020-02-04","2019020812","20192020","VAN","1",46.45,100,54.72,55.22,55.42,69.38,3,0,29,24,37,30,46,37,1.84,0.81,3,5,7,9,1.03
"BOS","2020-02-05","2019020826","20192020","CHI","0",49.55,100,64.71,58.33,60,65.47,2,0,33,18,42,30,60,40,4.02,2.12,2,15,12,20,1.9
"BOS","2020-02-08","2019020844","20192020","ARI","1",44.03,50,55.56,51.43,51.09,58.15,1,1,25,20,36,34,47,45,1.81,1.31,0,5,2,2,0.51
"BOS","2020-02-09","2019020855","20192020","DET","0",46.97,50,63.04,62.32,60,64.27,1,1,29,17,43,26,54,36,1.75,0.97,0,12,17,18,0.78
"BOS","2020-02-12","2019020877","20192020","MTL","1",46.98,66.67,56.6,52.94,47.62,55.57,2,1,30,23,36,32,40,44,1.77,1.42,1,7,4,-4,0.36
"BOS","2020-02-15","2019020895","20192020","DET","1",49.33,100,62.71,58.9,55.29,65.58,3,0,37,22,43,30,47,38,2.95,1.55,3,15,13,9,1.4
"BOS","2020-02-16","2019020907","20192020","NYR","0",45.97,100,51.16,46.88,49.44,51.47,1,0,22,21,30,34,44,45,1.95,1.84,1,1,-4,-1,0.11
"BOS","2020-02-19","2019020929","20192020","EDM","0",39.58,100,57.14,58,57.97,61.95,2,0,20,15,29,21,40,29,2.88,1.77,2,5,8,11,1.11
"BOS","2020-02-21","2019020945","20192020","CGY","0",55.13,57.14,56.1,53.33,47.67,57.92,4,3,23,18,32,28,41,45,1.89,1.38,1,5,4,-4,0.52
"BOS","2020-02-22","2019020956","20192020","VAN","0",52.63,20,53.85,51.61,55.65,36.65,2,8,35,30,48,45,64,51,1.97,3.41,-6,5,3,13,-1.44
"BOS","2020-02-25","2019020968","20192020","CGY","1",53.68,25,48,52.78,55.43,50.39,1,3,24,26,38,34,51,41,1.76,1.73,-2,-2,4,10,0.03
"BOS","2020-02-27","2019020984","20192020","DAL","1",51.23,75,43.75,48.53,44.19,45.88,3,1,21,27,33,35,38,48,1.56,1.84,2,-6,-2,-10,-0.28
"BOS","2020-02-29","2019020999","20192020","NYI","0",45.17,100,55,50,47.44,47.48,3,0,22,18,26,26,37,41,1.53,1.7,3,4,0,-4,-0.16
"BOS","2020-03-03","2019021019","20192020","T.B","0",49.1,66.67,63.27,59.68,51.69,71.19,2,1,31,18,37,25,46,43,2.76,1.12,1,13,12,3,1.64
"BOS","2020-03-05","2019021035","20192020","FLA","0",53.4,50,42,36.11,39.58,31.99,1,1,21,29,26,46,38,58,1.5,3.19,0,-8,-20,-20,-1.69
"BOS","2020-03-07","2019021053","20192020","T.B","1",46.72,66.67,62.5,65.52,55.95,68.62,2,1,30,18,38,20,47,37,2,0.91,1,12,18,10,1.08
"BOS","2020-03-10","2019021073","20192020","PHI","0",45.52,100,46.94,50.77,51.76,55.59,1,0,23,26,33,32,44,41,1.8,1.44,1,-3,1,3,0.36
