"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"BOS","2019-10-03","2019020010","20192020","DAL","0",6.8,100,60,77.78,78.57,88.14,1,0,3,2,7,2,11,3,0.51,0.07,1,1,5,8,0.44
"BOS","2019-10-05","2019020027","20192020","ARI","0",2.13,0,60,60,66.67,60.61,0,0,3,2,3,2,4,2,0.23,0.15,0,1,1,2,0.08
"BOS","2019-10-08","2019020043","20192020","VGK","0",5.33,100,83.33,90.91,85.71,96.32,1,0,5,1,10,1,12,2,0.74,0.03,1,4,9,10,0.71
"BOS","2019-10-10","2019020056","20192020","COL","0",2,0,66.67,66.67,75,98.82,0,0,2,1,2,1,3,1,0.24,0,0,1,1,2,0.24
"BOS","2019-10-12","2019020064","20192020","N.J","1",4.38,100,80,80,72.73,91.65,1,0,4,1,8,2,8,3,0.76,0.07,1,3,6,5,0.69
"BOS","2019-10-14","2019020078","20192020","ANA","1",3.08,100,50,66.67,77.78,96.37,2,0,2,2,4,2,7,2,0.62,0.02,2,0,2,5,0.6
"BOS","2019-10-17","2019020098","20192020","T.B","1",5.95,100,66.67,71.43,76.47,69.63,3,0,6,3,10,4,13,4,1.11,0.49,3,3,6,9,0.63
"BOS","2019-10-19","2019020115","20192020","TOR","0",5.98,100,100,92.31,92.31,97.01,1,0,10,0,12,1,12,1,1.11,0.03,1,10,11,11,1.07
"BOS","2019-10-22","2019020133","20192020","TOR","1",6.82,100,71.43,72.73,72.73,90.07,1,0,5,2,8,3,8,3,0.59,0.07,1,3,5,5,0.53
"BOS","2019-10-26","2019020162","20192020","STL","1",6.92,100,66.67,69.23,69.23,91.32,1,0,6,3,9,4,9,4,0.54,0.05,1,3,5,5,0.48
"BOS","2019-10-27","2019020174","20192020","NYR","0",4,0,80,83.33,85.71,99.44,0,0,4,1,5,1,6,1,0.68,0,0,3,4,5,0.67
"BOS","2019-10-29","2019020179","20192020","S.J","1",13.3,100,82.61,80,82.14,80.41,2,0,19,4,20,5,23,5,1.88,0.46,2,15,15,18,1.42
"BOS","2019-11-02","2019020206","20192020","OTT","1",5.28,100,85.71,87.5,90,99.1,2,0,6,1,7,1,9,1,0.66,0.01,2,5,6,8,0.65
"BOS","2019-11-04","2019020220","20192020","PIT","1",6,0,50,57.14,66.67,50.21,0,0,3,3,4,3,6,3,0.28,0.27,0,0,1,3,0
"BOS","2019-11-05","2019020224","20192020","MTL","0",2.1,100,100,100,100,100,1,0,2,0,4,0,7,0,0.27,0,1,2,4,7,0.27
"BOS","2019-11-08","2019020248","20192020","DET","0",6.27,100,81.82,84.62,88.89,94.25,1,0,9,2,11,2,16,2,1.06,0.06,1,7,9,14,1
"BOS","2019-11-10","2019020267","20192020","PHI","1",4.15,0,100,100,100,100,0,0,4,0,5,0,6,0,0.38,0,0,4,5,6,0.38
"BOS","2019-11-12","2019020272","20192020","FLA","1",4.95,100,100,100,100,100,1,0,6,0,12,0,12,0,1.1,0,1,6,12,12,1.1
"BOS","2019-11-15","2019020294","20192020","TOR","0",4,0,50,66.67,77.78,97.24,0,0,1,1,4,2,7,2,0.37,0.01,0,0,2,5,0.36
"BOS","2019-11-16","2019020303","20192020","WSH","1",6,0,28.57,33.33,41.67,33.16,0,0,2,5,3,6,5,7,0.21,0.42,0,-3,-3,-2,-0.21
"BOS","2019-11-19","2019020320","20192020","N.J","0",2.62,100,100,50,50,34.69,1,0,1,0,1,1,1,1,0.06,0.11,1,1,0,0,-0.05
"BOS","2019-11-21","2019020333","20192020","BUF","1",2.9,100,100,100,100,100,2,0,6,0,7,0,7,0,0.83,0,2,6,7,7,0.83
"BOS","2019-11-23","2019020351","20192020","MIN","1",4,0,100,100,100,100,0,0,4,0,7,0,7,0,0.4,0,0,4,7,7,0.4
