"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"BOS","2015-10-08","2015020005","20152016","WPG","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOS","2015-10-10","2015020018","20152016","MTL","1",11.75,0,12.5,30,33.33,17.89,0,1,1,7,3,7,5,10,0.14,0.64,-1,-6,-4,-5,-0.5
"BOS","2015-10-12","2015020032","20152016","T.B","1",5.95,0,0,0,8.33,0,0,2,0,4,0,10,1,11,0,0.67,-2,-4,-10,-10,-0.67
"BOS","2015-10-14","2015020048","20152016","COL","0",6.35,0,0,0,0,0,0,1,0,4,0,7,0,9,0,0.33,-1,-4,-7,-9,-0.33
"BOS","2015-10-17","2015020074","20152016","ARI","0",7.15,50,42.86,33.33,21.43,32.1,1,1,3,4,3,6,3,11,0.25,0.53,0,-1,-3,-8,-0.28
"BOS","2015-10-21","2015020089","20152016","PHI","1",5.55,50,66.67,60,66.67,54.64,1,1,2,1,3,2,4,2,0.31,0.26,0,1,1,2,0.05
"BOS","2015-10-23","2015020101","20152016","NYI","0",3.3,0,16.67,14.29,14.29,15.55,0,1,1,5,1,6,1,6,0.13,0.68,-1,-4,-5,-5,-0.56
"BOS","2015-10-27","2015020124","20152016","ARI","1",4.08,0,0,0,0,0,0,0,0,1,0,3,0,5,0,0.27,0,-1,-3,-5,-0.27
"BOS","2015-10-30","2015020150","20152016","FLA","0",6.93,0,16.67,12.5,7.14,7.48,0,1,1,5,1,7,1,13,0.09,1.07,-1,-4,-6,-12,-0.99
"BOS","2015-10-31","2015020159","20152016","T.B","0",8.13,0,16.67,10,8.33,12,0,1,1,5,1,9,1,11,0.1,0.71,-1,-4,-8,-10,-0.62
"BOS","2015-11-03","2015020172","20152016","DAL","1",3.3,0,16.67,25,25,24.25,0,3,1,5,2,6,2,6,0.22,0.69,-3,-4,-4,-4,-0.47
"BOS","2015-11-05","2015020186","20152016","WSH","0",6.58,0,12.5,18.18,16.67,4.31,0,1,1,7,2,9,2,10,0.04,0.95,-1,-6,-7,-8,-0.91
"BOS","2015-11-07","2015020202","20152016","MTL","0",3.75,0,0,0,0,0,0,2,0,5,0,7,0,10,0,0.56,-2,-5,-7,-10,-0.56
"BOS","2015-11-08","2015020213","20152016","NYI","0",9.02,0,0,0,0,0,0,1,0,3,0,3,0,5,0,0.26,-1,-3,-3,-5,-0.26
"BOS","2015-11-12","2015020230","20152016","COL","1",5.98,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0.03,0,-1,-1,-3,-0.03
"BOS","2015-11-14","2015020247","20152016","DET","1",3.8,0,0,0,16.67,0,0,1,0,2,0,3,1,5,0,0.15,-1,-2,-3,-4,-0.15
"BOS","2015-11-17","2015020267","20152016","S.J","1",6.7,0,0,28.57,30.77,9.99,0,2,0,4,2,5,4,9,0.07,0.6,-2,-4,-3,-5,-0.54
"BOS","2015-11-19","2015020278","20152016","MIN","1",4.95,0,0,0,0,0,0,0,0,2,0,3,0,6,0,0.33,0,-2,-3,-6,-0.33
"BOS","2015-11-21","2015020293","20152016","TOR","1",2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,-2,0
"BOS","2015-11-23","2015020312","20152016","TOR","0",11.7,100,14.29,10,7.41,15.61,1,0,2,12,2,18,2,25,0.33,1.76,1,-10,-16,-23,-1.44
"BOS","2015-11-25","2015020325","20152016","DET","0",4.68,0,25,25,25,7.13,0,0,1,3,1,3,1,3,0.02,0.29,0,-2,-2,-2,-0.27
"BOS","2015-11-27","2015020330","20152016","NYR","1",5.48,0,0,0,0,0,0,1,0,6,0,8,0,10,0,0.51,-1,-6,-8,-10,-0.51
"BOS","2015-12-02","2015020371","20152016","EDM","0",9.1,0,36.36,26.67,22.22,18.52,0,0,4,7,4,11,4,14,0.19,0.83,0,-3,-7,-10,-0.65
"BOS","2015-12-04","2015020385","20152016","CGY","0",7.32,0,60,30,33.33,35.11,0,0,3,2,3,7,4,8,0.25,0.46,0,1,-4,-4,-0.21
"BOS","2015-12-05","2015020396","20152016","VAN","0",6,0,0,0,0,0,0,0,0,3,0,6,0,8,0,0.33,0,-3,-6,-8,-0.33
"BOS","2015-12-07","2015020405","20152016","NSH","1",9.5,0,0,9.09,5.88,9.89,0,2,0,3,1,10,1,16,0.09,0.82,-2,-3,-9,-15,-0.73
"BOS","2015-12-09","2015020417","20152016","MTL","0",6,100,25,25,12.5,65.46,1,0,1,3,1,3,1,7,0.35,0.18,1,-2,-2,-6,0.16
"BOS","2015-12-12","2015020435","20152016","FLA","1",2,0,100,66.67,66.67,74.33,0,0,1,0,2,1,2,1,0.1,0.03,0,1,1,1,0.07
"BOS","2015-12-14","2015020448","20152016","EDM","1",4.38,0,0,25,14.29,18.39,0,0,0,3,1,3,1,6,0.05,0.23,0,-3,-2,-5,-0.18
"BOS","2015-12-16","2015020465","20152016","PIT","1",6,0,33.33,22.22,20,28.37,0,0,1,2,2,7,2,8,0.24,0.6,0,-1,-5,-6,-0.36
"BOS","2015-12-18","2015020477","20152016","PIT","0",8.3,100,25,12.5,7.69,12.3,1,0,1,3,1,7,1,12,0.09,0.65,1,-2,-6,-11,-0.56
"BOS","2015-12-20","2015020494","20152016","N.J","1",4,0,50,33.33,33.33,37.49,0,0,1,1,1,2,1,2,0.06,0.1,0,0,-1,-1,-0.04
"BOS","2015-12-22","2015020507","20152016","STL","1",2,0,33.33,33.33,14.29,4.42,0,0,1,2,1,2,1,6,0,0.07,0,-1,-1,-5,-0.06
"BOS","2015-12-26","2015020517","20152016","BUF","1",6,0,0,0,0,0,0,0,0,7,0,10,0,12,0,0.74,0,-7,-10,-12,-0.74
"BOS","2015-12-27","2015020526","20152016","OTT","0",3.07,0,33.33,33.33,25,3.45,0,1,1,2,1,2,1,3,0.01,0.42,-1,-1,-1,-2,-0.4
"BOS","2015-12-29","2015020541","20152016","OTT","1",6.62,0,57.14,44.44,40,19.22,0,0,4,3,4,5,4,6,0.11,0.44,0,1,-1,-2,-0.34
"BOS","2016-01-01","2015020565","20152016","MTL","1",7.62,0,14.29,10,7.69,0.72,0,0,1,6,1,9,1,12,0,0.5,0,-5,-8,-11,-0.5
"BOS","2016-01-05","2015020588","20152016","WSH","1",3.87,0,0,16.67,12.5,3.46,0,1,0,3,1,5,1,7,0.02,0.58,-1,-3,-4,-6,-0.56
"BOS","2016-01-08","2015020608","20152016","N.J","0",4,0,0,0,0,0,0,0,0,1,0,2,0,4,0,0.26,0,-1,-2,-4,-0.26
"BOS","2016-01-09","2015020617","20152016","OTT","0",4,0,0,20,16.67,24.85,0,0,0,2,1,4,1,5,0.06,0.19,0,-2,-3,-4,-0.13
"BOS","2016-01-11","2015020630","20152016","NYR","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOS","2016-01-13","2015020643","20152016","PHI","0",6,0,50,42.86,30,57.35,0,0,2,2,3,4,3,7,0.3,0.22,0,0,-1,-4,0.08
"BOS","2016-01-15","2015020654","20152016","BUF","0",8,0,12.5,8.33,6.25,2.47,0,0,1,7,1,11,1,15,0.01,0.59,0,-6,-10,-14,-0.57
"BOS","2016-01-16","2015020662","20152016","TOR","1",10,0,18.18,17.65,16.67,6.47,0,0,2,9,3,14,4,20,0.1,1.48,0,-7,-11,-16,-1.38
"BOS","2016-01-19","2015020686","20152016","MTL","0",8.12,0,14.29,10,6.25,0.87,0,0,1,6,1,9,1,15,0.01,0.69,0,-5,-8,-14,-0.68
"BOS","2016-01-21","2015020693","20152016","VAN","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOS","2016-01-23","2015020711","20152016","CBJ","1",7.48,0,25,11.11,8.33,9.5,0,0,1,3,1,8,1,11,0.1,0.92,0,-2,-7,-10,-0.82
"BOS","2016-01-25","2015020727","20152016","PHI","0",6.12,0,11.11,11.11,7.14,3.74,0,1,1,8,1,8,1,13,0.04,1.02,-1,-7,-7,-12,-0.98
"BOS","2016-01-26","2015020731","20152016","ANA","1",7.87,0,18.18,13.33,10.53,5.04,0,1,2,9,2,13,2,17,0.04,0.68,-1,-7,-11,-15,-0.65
