"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"BOS","2017-10-05","2017020005","20172018","NSH","1",40.27,5,9,21,24,2,4,1,1,2,28,18,10
"BOS","2017-10-09","2017020032","20172018","COL","1",49.7,7,8,20,17,1,3,0,0,2,33,9,24
"BOS","2017-10-11","2017020048","20172018","COL","0",43.63,2,5,14,14,5,3,2,2,-2,27,22,5
"BOS","2017-10-14","2017020072","20172018","ARI","0",50.52,2,2,33,30,3,1,0,0,-2,29,29,0
"BOS","2017-10-15","2017020077","20172018","VGK","0",46.7,9,9,20,16,5,3,0,0,-2,10,32,-22
"BOS","2017-10-19","2017020095","20172018","VAN","1",37.65,3,10,20,18,4,3,2,3,0,19,21,-2
"BOS","2017-10-21","2017020112","20172018","BUF","1",55.13,5,7,32,25,2,1,0,0,-1,33,26,7
"BOS","2017-10-26","2017020138","20172018","S.J","1",46.13,10,10,22,22,5,2,0,0,-3,21,27,-6
"BOS","2017-10-28","2017020156","20172018","L.A","1",58.22,4,11,33,33,3,2,0,0,-1,32,32,0
"BOS","2017-10-30","2017020172","20172018","CBJ","0",52.83,5,8,29,24,3,4,2,2,1,23,28,-5
"BOS","2017-11-02","2017020186","20172018","VGK","1",51.28,10,11,28,27,3,1,0,0,-2,27,28,-1
"BOS","2017-11-04","2017020201","20172018","WSH","1",47.38,11,4,23,23,1,4,0,0,3,25,24,1
"BOS","2017-11-06","2017020217","20172018","MIN","1",48.28,7,7,22,35,1,4,1,1,3,23,28,-5
"BOS","2017-11-08","2017020233","20172018","NYR","0",51.28,9,9,15,22,0,2,0,0,2,22,25,-3
"BOS","2017-11-10","2017020243","20172018","TOR","0",43.43,14,4,21,23,5,4,0,0,-1,23,27,-4
"BOS","2017-11-11","2017020250","20172018","TOR","1",47.83,6,15,28,28,3,3,1,1,0,29,22,7
"BOS","2017-11-15","2017020277","20172018","ANA","0",56,14,8,33,30,0,2,0,0,2,28,27,1
"BOS","2017-11-16","2017020288","20172018","L.A","0",47.1,10,2,28,39,4,3,0,0,-1,26,27,-1
"BOS","2017-11-18","2017020304","20172018","S.J","0",51.52,11,13,27,22,4,3,0,0,-1,30,32,-2
"BOS","2017-11-22","2017020322","20172018","N.J","0",52.62,3,7,14,22,4,5,0,0,1,24,21,3
"BOS","2017-11-24","2017020334","20172018","PIT","1",52.63,3,9,23,36,1,2,0,0,1,23,24,-1
"BOS","2017-11-26","2017020361","20172018","EDM","1",51.8,9,9,26,30,1,1,0,0,0,18,24,-6
"BOS","2017-11-29","2017020377","20172018","T.B","1",53.83,11,15,14,26,4,5,0,0,1,36,26,10
"BOS","2017-12-02","2017020396","20172018","PHI","0",44.82,5,7,11,18,5,1,1,1,-4,14,15,-1
"BOS","2017-12-04","2017020414","20172018","NSH","0",48.5,2,6,15,15,2,2,0,0,0,26,31,-5
"BOS","2017-12-07","2017020430","20172018","ARI","1",53.37,4,14,23,24,0,2,0,0,2,30,29,1
"BOS","2017-12-09","2017020444","20172018","NYI","1",50.1,6,13,17,28,2,3,3,1,-1,34,22,12
"BOS","2017-12-13","2017020477","20172018","DET","0",48.68,4,3,24,23,2,2,0,0,0,27,25,2
"BOS","2017-12-14","2017020479","20172018","WSH","1",45.85,10,9,31,19,4,4,0,0,0,28,19,9
"BOS","2017-12-16","2017020497","20172018","NYR","1",44.63,15,12,18,20,2,5,0,0,3,28,18,10
"BOS","2017-12-18","2017020511","20172018","CBJ","1",47.07,4,11,21,19,7,5,1,1,-2,26,32,-6
"BOS","2017-12-19","2017020517","20172018","BUF","0",52.4,4,2,13,25,0,1,1,1,1,20,28,-8
"BOS","2017-12-21","2017020529","20172018","WPG","1",53.07,7,8,25,26,2,3,0,0,1,26,29,-3
"BOS","2017-12-23","2017020543","20172018","DET","1",52.58,6,13,20,23,2,1,0,0,-1,31,22,9
"BOS","2017-12-27","2017020558","20172018","OTT","1",53,4,11,14,18,2,1,1,1,-1,20,25,-5
"BOS","2017-12-28","2017020569","20172018","WSH","0",47.78,9,8,13,31,4,5,1,1,1,25,24,1
"BOS","2017-12-30","2017020587","20172018","OTT","0",51.62,5,2,26,44,2,4,0,0,2,22,27,-5
"BOS","2018-01-02","2017020603","20172018","NYI","0",48.5,10,7,16,24,4,4,0,0,0,24,14,10
"BOS","2018-04-08","2017020616","20172018","FLA","1",44.63,6,6,18,14,3,3,0,0,0,26,14,12
"BOS","2018-01-06","2017020636","20172018","CAR","1",52.57,9,7,17,18,3,1,0,0,-2,29,19,10
"BOS","2018-01-07","2017020650","20172018","PIT","0",54.13,9,2,28,33,2,3,0,0,1,30,26,4
"BOS","2018-01-13","2017020672","20172018","MTL","0",57.75,8,6,35,38,5,1,0,0,-4,38,27,11
"BOS","2018-01-15","2017020683","20172018","DAL","1",49.93,7,5,30,28,2,2,0,0,0,29,28,1
"BOS","2018-01-17","2017020693","20172018","MTL","1",51.85,11,7,31,30,1,3,0,0,2,34,26,8
"BOS","2018-01-18","2017020696","20172018","NYI","0",54.58,13,5,26,18,2,0,0,0,-2,24,27,-3
"BOS","2018-01-20","2017020712","20172018","MTL","0",51.02,14,6,31,41,1,3,0,0,2,25,15,10
"BOS","2018-01-23","2017020732","20172018","N.J","1",49.68,6,9,29,29,2,1,0,0,-1,25,14,11
"BOS","2018-01-25","2017020750","20172018","OTT","0",51.85,12,3,22,38,4,0,0,0,-4,27,30,-3
"BOS","2018-01-30","2017020761","20172018","ANA","1",48.43,10,4,23,30,3,4,0,0,1,20,27,-7
"BOS","2018-02-01","2017020776","20172018","STL","1",55.43,9,7,28,37,2,2,0,0,0,28,29,-1
"BOS","2018-02-03","2017020794","20172018","TOR","1",48.72,6,4,26,26,4,2,0,0,-2,21,28,-7
"BOS","2018-02-06","2017020817","20172018","DET","0",50.7,6,2,15,28,2,3,0,0,1,20,23,-3
"BOS","2018-02-07","2017020824","20172018","NYR","0",51.58,13,10,10,21,2,1,2,2,-1,14,26,-12
"BOS","2018-02-10","2017020843","20172018","BUF","1",52.65,18,12,22,32,1,3,0,0,2,28,26,2
"BOS","2018-02-11","2017020857","20172018","N.J","0",40.4,8,6,11,25,5,4,0,0,-1,23,14,9
"BOS","2018-02-13","2017020864","20172018","CGY","1",44.78,6,9,25,34,4,4,0,0,0,22,17,5
"BOS","2018-02-17","2017020904","20172018","VAN","0",50,2,2,17,26,0,4,1,1,4,24,17,7
"BOS","2018-02-19","2017020914","20172018","CGY","0",54.38,10,7,15,23,3,2,1,1,-1,28,26,2
"BOS","2018-02-20","2017020925","20172018","EDM","0",53.18,12,6,18,35,2,3,0,0,1,36,18,18
"BOS","2018-02-24","2017020948","20172018","TOR","0",52.77,16,5,28,22,1,2,0,0,1,25,26,-1
"BOS","2018-02-25","2017020958","20172018","BUF","0",45.75,7,1,19,14,4,3,0,0,-1,20,27,-7
"BOS","2018-02-27","2017020969","20172018","CAR","1",54.6,5,10,30,24,2,2,0,0,0,25,28,-3
"BOS","2018-03-01","2017020983","20172018","PIT","1",44.2,6,8,28,24,6,7,1,1,1,33,30,3
"BOS","2018-03-03","2017021003","20172018","MTL","1",42.75,10,8,21,23,3,4,0,0,1,27,16,11
"BOS","2018-03-06","2017021020","20172018","DET","1",46.55,5,8,21,27,6,5,1,1,-1,14,35,-21
"BOS","2018-03-08","2017021032","20172018","PHI","1",45.6,10,6,28,21,5,3,0,0,-2,15,27,-12
"BOS","2018-03-10","2017021048","20172018","CHI","1",46.45,13,14,22,14,2,5,1,1,3,23,25,-2
"BOS","2018-03-11","2017021059","20172018","CHI","0",49.72,3,1,17,12,5,0,0,0,-5,19,30,-11
"BOS","2018-03-13","2017021071","20172018","CAR","0",47.35,3,6,23,27,4,3,0,0,-1,24,42,-18
