"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"BOS","2018-10-03","2018020002","20182019","WSH","0",7.57,0,0,2,0,1,0,0,0,-1,5,3,2
"BOS","2018-10-04","2018020005","20182019","BUF","0",2.2,1,0,1,1,0,0,0,0,0,3,0,3
"BOS","2018-10-08","2018020032","20182019","OTT","1",4.73,0,2,1,0,1,0,0,0,-1,3,2,1
"BOS","2018-10-11","2018020045","20182019","EDM","1",2.57,0,1,1,1,0,1,0,0,1,3,3,0
"BOS","2018-10-13","2018020061","20182019","DET","1",4.07,0,0,0,0,1,0,0,0,-1,3,2,1
"BOS","2018-10-17","2018020088","20182019","CGY","0",6.75,1,2,0,0,1,0,0,0,-1,5,1,4
"BOS","2018-10-18","2018020096","20182019","EDM","0",3.03,1,0,0,0,0,0,0,0,0,1,4,-3
"BOS","2018-10-20","2018020112","20182019","VAN","0",2,0,0,0,0,0,0,0,0,0,1,0,1
"BOS","2018-10-23","2018020125","20182019","OTT","0",9.53,1,1,3,0,0,0,0,0,0,3,10,-7
"BOS","2018-10-25","2018020134","20182019","PHI","1",5.93,2,1,0,1,1,0,0,0,-1,5,3,2
"BOS","2018-10-27","2018020152","20182019","MTL","1",4.83,0,0,0,0,0,0,0,0,0,3,0,3
"BOS","2018-10-30","2018020169","20182019","CAR","0",5.35,0,0,1,0,0,0,0,0,0,4,6,-2
"BOS","2018-11-03","2018020202","20182019","NSH","0",9.97,2,1,0,0,0,0,0,0,0,5,6,-1
"BOS","2018-11-05","2018020210","20182019","DAL","1",1.97,1,1,0,0,0,0,0,0,0,1,0,1
"BOS","2018-11-08","2018020227","20182019","VAN","1",7.18,1,1,1,0,0,0,0,0,0,3,4,-1
"BOS","2018-11-10","2018020245","20182019","TOR","1",6,1,0,0,1,0,0,0,0,0,5,5,0
"BOS","2018-11-11","2018020256","20182019","VGK","1",8,0,2,1,2,0,0,0,0,0,5,2,3
"BOS","2018-11-14","2018020275","20182019","COL","0",3.7,0,0,1,0,0,0,0,0,0,1,4,-3
"BOS","2018-11-16","2018020286","20182019","DAL","0",7.67,2,0,2,2,0,1,0,0,1,0,4,-4
"BOS","2018-11-17","2018020300","20182019","ARI","0",5.37,1,1,1,0,0,1,0,0,1,1,3,-2
