"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"BOS","2018-10-03","2018020002","20182019","WSH","0",48.37,8,15,13,66,11,20,17,3,5
"BOS","2018-10-04","2018020005","20182019","BUF","0",51.35,11,14,15,83,15,15,25,9,6
"BOS","2018-10-08","2018020032","20182019","OTT","1",51.33,11,19,9,92,17,23,14,5,4
"BOS","2018-10-11","2018020045","20182019","EDM","1",51.28,9,15,6,105,11,18,12,5,1
"BOS","2018-10-13","2018020061","20182019","DET","1",51.6,19,15,8,89,27,19,12,2,6
"BOS","2018-10-17","2018020088","20182019","CGY","0",44.88,6,11,9,112,11,14,13,2,4
"BOS","2018-10-18","2018020096","20182019","EDM","0",51.57,12,13,3,99,17,14,11,6,2
"BOS","2018-10-20","2018020112","20182019","VAN","0",55.07,14,15,6,135,16,17,13,7,6
"BOS","2018-10-23","2018020125","20182019","OTT","0",48.57,14,15,5,93,17,17,12,6,4
"BOS","2018-10-25","2018020134","20182019","PHI","1",44.63,10,8,6,90,14,11,11,3,5
"BOS","2018-10-27","2018020152","20182019","MTL","1",47.72,17,13,10,95,23,20,13,1,8
"BOS","2018-10-30","2018020169","20182019","CAR","0",44,9,12,11,75,14,14,18,5,7
"BOS","2018-11-03","2018020202","20182019","NSH","0",39.72,12,9,12,70,14,11,18,3,4
"BOS","2018-11-05","2018020210","20182019","DAL","1",59.53,16,16,6,123,21,19,11,2,4
"BOS","2018-11-08","2018020227","20182019","VAN","1",45.62,14,21,11,67,16,24,16,3,3
"BOS","2018-11-10","2018020245","20182019","TOR","1",47.65,14,18,8,75,16,23,13,3,5
"BOS","2018-11-11","2018020256","20182019","VGK","1",42.2,16,11,3,78,20,15,10,4,6
"BOS","2018-11-14","2018020275","20182019","COL","0",47.9,7,16,5,113,9,16,14,6,2
"BOS","2018-11-16","2018020286","20182019","DAL","0",50.23,8,16,14,84,9,18,18,4,2
"BOS","2018-11-17","2018020300","20182019","ARI","0",50.1,10,13,6,139,14,13,13,6,3
"BOS","2018-11-21","2018020324","20182019","DET","0",58.82,14,16,13,133,17,18,21,6,4
