"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"BUF","2016-10-13","2016020005","20162017","MTL","1",47.73,0,52.27,49.15,50,42.15,0,4,23,21,29,30,36,36,1.16,1.59,-4,2,-1,0,-0.43
"BUF","2016-10-16","2016020031","20162017","EDM","0",50.48,66.67,38.1,38.6,39.24,35.13,4,2,16,26,22,35,31,48,1.4,2.59,2,-10,-13,-17,-1.19
"BUF","2016-10-18","2016020046","20162017","CGY","0",47.62,33.33,37.78,33.33,37.18,43.01,2,4,17,28,20,40,29,49,2.09,2.77,-2,-11,-20,-20,-0.68
"BUF","2016-10-20","2016020061","20162017","VAN","0",45.23,50,58.97,61.22,60.94,66.83,1,1,23,16,30,19,39,25,2.6,1.29,0,7,11,14,1.31
"BUF","2016-10-25","2016020085","20162017","PHI","0",54.63,100,36.73,37.33,37.86,36.45,1,0,18,31,28,47,39,64,1.55,2.71,1,-13,-19,-25,-1.16
"BUF","2016-10-27","2016020098","20162017","MIN","1",51.5,0,64,64.18,60.71,69.95,0,3,32,18,43,24,51,33,2.32,0.99,-3,14,19,18,1.32
"BUF","2016-10-29","2016020113","20162017","FLA","1",47.42,100,42.11,35.59,37.14,40.55,1,0,16,22,21,38,26,44,0.86,1.27,1,-6,-17,-18,-0.4
"BUF","2016-10-30","2016020123","20162017","WPG","0",46.08,75,50,48.39,49.41,62.68,3,1,23,23,30,32,42,43,2.03,1.21,2,0,-2,-1,0.82
"BUF","2016-11-01","2016020137","20162017","MIN","0",55.12,100,45.83,42.86,41.94,53.17,2,0,22,26,30,40,39,54,1.75,1.54,2,-4,-10,-15,0.21
"BUF","2016-11-03","2016020146","20162017","TOR","1",54.53,33.33,56.25,55.56,57.69,62.29,1,2,36,28,45,36,60,44,3.05,1.85,-1,8,9,16,1.2
"BUF","2016-11-05","2016020165","20162017","OTT","0",50.2,100,54.39,57.53,58.82,56.29,2,0,31,26,42,31,60,42,2.03,1.58,2,5,11,18,0.45
"BUF","2016-11-07","2016020180","20162017","BOS","0",41.87,0,53.06,52.86,53.26,52.21,0,1,26,23,37,33,49,43,1.67,1.53,-1,3,4,6,0.14
