"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"BUF","2017-10-05","2017020006","20172018","MTL","1",8.53,50,72.73,84.21,86.96,90.52,1,1,8,3,16,3,20,3,1.22,0.13,0,5,13,17,1.09
"BUF","2017-10-07","2017020020","20172018","NYI","0",6.72,0,60,64.29,68.75,61.93,0,2,6,4,9,5,11,5,0.94,0.58,-2,2,4,6,0.36
"BUF","2017-10-09","2017020034","20172018","N.J","1",7.1,50,71.43,77.78,83.33,80.41,1,1,5,2,7,2,10,2,0.62,0.15,0,3,5,8,0.47
"BUF","2017-10-12","2017020057","20172018","S.J","0",5.22,0,85.71,75,80,89.91,0,0,6,1,6,2,8,2,0.51,0.06,0,5,4,6,0.46
"BUF","2017-10-14","2017020075","20172018","L.A","0",6,0,87.5,88.89,90.91,99.67,0,0,7,1,8,1,10,1,0.85,0,0,6,7,9,0.85
"BUF","2017-10-15","2017020078","20172018","ANA","0",5.03,0,50,66.67,81.82,45.09,0,1,2,2,4,2,9,2,0.18,0.22,-1,0,2,7,-0.04
"BUF","2017-10-17","2017020090","20172018","VGK","0",6.95,100,100,100,100,100,2,0,9,0,12,0,14,0,0.79,0,2,9,12,14,0.79
"BUF","2017-10-20","2017020104","20172018","VAN","1",6,0,33.33,42.86,55.56,53.23,0,1,2,4,3,4,5,4,0.29,0.26,-1,-2,-1,1,0.04
"BUF","2017-10-21","2017020112","20172018","BOS","0",3.78,0,50,80,83.33,98.8,0,0,1,1,4,1,5,1,0.2,0,0,0,3,4,0.2
"BUF","2017-10-24","2017020125","20172018","DET","1",5.88,0,62.5,70,72.73,94.59,0,0,5,3,7,3,8,3,0.51,0.03,0,2,4,5,0.48
"BUF","2017-10-25","2017020136","20172018","CBJ","0",2,0,100,100,100,100,0,0,3,0,4,0,6,0,0.22,0,0,3,4,6,0.22
"BUF","2017-10-28","2017020155","20172018","S.J","1",9.42,100,91.67,92.31,95.24,99.65,1,0,11,1,12,1,20,1,1.07,0,1,10,11,19,1.06
"BUF","2017-11-02","2017020196","20172018","ARI","0",3.05,0,0,100,50,100,0,0,0,0,2,0,3,3,0.21,0,0,0,2,0,0.21
"BUF","2017-11-04","2017020207","20172018","DAL","0",8.13,0,90,85.71,88.24,96.26,0,0,9,1,12,2,15,2,0.87,0.03,0,8,10,13,0.83
"BUF","2017-11-07","2017020223","20172018","WSH","1",8,0,83.33,90,90.91,99.07,0,0,5,1,9,1,10,1,0.55,0.01,0,4,8,9,0.54
"BUF","2017-11-10","2017020242","20172018","FLA","1",3.03,100,100,100,100,100,1,0,2,0,2,0,3,0,0.16,0,1,2,2,3,0.16
"BUF","2017-11-11","2017020251","20172018","MTL","0",5.35,100,75,77.78,70,90.29,1,0,6,2,7,2,7,3,1.37,0.15,1,4,5,4,1.23
"BUF","2017-11-14","2017020267","20172018","PIT","0",3.82,100,91.67,92.86,93.75,97.8,2,0,11,1,13,1,15,1,1.71,0.04,2,10,12,14,1.67
"BUF","2017-11-17","2017020291","20172018","DET","0",4,0,100,100,100,100,0,0,1,0,3,0,3,0,0.2,0,0,1,3,3,0.2
"BUF","2017-11-18","2017020297","20172018","CAR","1",4,0,100,100,100,100,0,0,4,0,7,0,9,0,0.63,0,0,4,7,9,0.63
"BUF","2017-11-20","2017020310","20172018","CBJ","1",4.57,0,85.71,77.78,81.82,79.33,0,0,6,1,7,2,9,2,1.07,0.28,0,5,5,7,0.79
"BUF","2017-11-22","2017020319","20172018","MIN","1",6,0,75,83.33,88.89,93.48,0,0,3,1,5,1,8,1,0.32,0.02,0,2,4,7,0.3
"BUF","2017-11-24","2017020339","20172018","EDM","1",6,0,75,80,75,95.6,0,0,3,1,4,1,6,2,0.51,0.02,0,2,3,4,0.49
"BUF","2017-11-25","2017020349","20172018","MTL","0",4,0,50,66.67,66.67,21.39,0,1,1,1,2,1,4,2,0.12,0.43,-1,0,1,2,-0.31
"BUF","2017-11-28","2017020367","20172018","T.B","1",6,0,100,93.33,88.24,97.19,0,0,11,0,14,1,15,2,0.92,0.03,0,11,13,13,0.9
"BUF","2017-12-01","2017020388","20172018","PIT","1",8,0,25,33.33,55.56,30.25,0,0,1,3,2,4,5,4,0.05,0.11,0,-2,-2,1,-0.06
"BUF","2017-12-02","2017020400","20172018","PIT","0",8,0,100,100,100,100,0,0,6,0,12,0,16,0,0.84,0,0,6,12,16,0.84
