"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"BUF","2015-10-08","2015020006","20152016","OTT","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BUF","2015-10-10","2015020017","20152016","T.B","1",6,0,0,14.29,8.33,1.09,0,1,0,3,1,6,1,11,0.01,0.51,-1,-3,-5,-10,-0.51
"BUF","2015-10-12","2015020034","20152016","CBJ","1",3.85,0,0,0,0,0,0,2,0,7,0,7,0,8,0,1.1,-2,-7,-7,-8,-1.1
"BUF","2015-10-15","2015020055","20152016","FLA","0",6.38,0,0,0,0,0,0,2,0,9,0,14,0,15,0,2.17,-2,-9,-14,-15,-2.17
"BUF","2015-10-17","2015020067","20152016","T.B","0",7.65,0,14.29,16.67,12.5,1.42,0,1,1,6,2,10,2,14,0.01,0.84,-1,-5,-8,-12,-0.83
"BUF","2015-10-21","2015020088","20152016","TOR","1",2,0,0,0,25,0,0,0,0,3,0,3,1,3,0,0.3,0,-3,-3,-2,-0.3
"BUF","2015-10-23","2015020100","20152016","MTL","1",3.33,0,25,20,16.67,2.62,0,2,1,3,1,4,1,5,0.03,0.93,-2,-2,-3,-4,-0.91
"BUF","2015-10-24","2015020107","20152016","N.J","1",2.92,0,25,33.33,28.57,43.94,0,0,1,3,2,4,2,5,0.11,0.14,0,-2,-2,-3,-0.03
"BUF","2015-10-27","2015020126","20152016","PHI","0",4,0,0,0,0,0,0,0,0,8,0,8,0,9,0,0.71,0,-8,-8,-9,-0.71
"BUF","2015-10-29","2015020139","20152016","PIT","0",0.82,0,0,0,0,0,0,1,0,2,0,2,0,2,0,0.35,-1,-2,-2,-2,-0.35
"BUF","2015-10-30","2015020145","20152016","PHI","1",6.05,0,0,0,0,0,0,0,0,4,0,6,0,11,0,0.29,0,-4,-6,-11,-0.29
"BUF","2015-11-01","2015020167","20152016","NYI","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BUF","2015-11-05","2015020185","20152016","T.B","1",6,0,50,60,66.67,71.69,0,0,2,2,3,2,4,2,0.43,0.17,0,0,1,2,0.26
"BUF","2015-11-07","2015020200","20152016","VAN","1",4,0,0,0,0,0,0,0,0,3,0,8,0,9,0,0.48,0,-3,-8,-9,-0.48
"BUF","2015-11-10","2015020221","20152016","T.B","0",7.5,0,0,0,0,0,0,1,0,4,0,10,0,13,0,0.53,-1,-4,-10,-13,-0.53
"BUF","2015-11-12","2015020236","20152016","FLA","0",5.65,0,0,0,0,0,0,1,0,7,0,9,0,13,0,0.52,-1,-7,-9,-13,-0.52
"BUF","2015-11-14","2015020248","20152016","S.J","1",5.18,0,0,11.11,9.09,2.21,0,1,0,7,1,8,1,10,0.02,0.7,-1,-7,-7,-9,-0.68
"BUF","2015-11-17","2015020268","20152016","DAL","1",2,0,0,0,0,0,0,0,0,3,0,4,0,6,0,0.42,0,-3,-4,-6,-0.42
"BUF","2015-11-19","2015020286","20152016","STL","0",6.03,0,33.33,33.33,33.33,39.34,0,2,2,4,2,4,2,4,0.17,0.26,-2,-2,-2,-2,-0.09
"BUF","2015-11-21","2015020301","20152016","DAL","0",8.68,0,0,6.25,5.56,1.91,0,1,0,8,1,15,1,17,0.03,1.76,-1,-8,-14,-16,-1.73
"BUF","2015-11-23","2015020308","20152016","STL","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BUF","2015-11-25","2015020317","20152016","NSH","1",5.22,0,33.33,40,28.57,33.12,0,0,1,2,2,3,2,5,0.13,0.27,0,-1,-1,-3,-0.14
