"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"BUF","2015-10-08","2015020006","20152016","OTT","1",53.55,7,5,11,21,0,3,0,0,3,27,39,-12
"BUF","2015-10-10","2015020017","20152016","T.B","1",49.78,2,7,28,11,2,1,0,0,-1,27,20,7
"BUF","2015-10-12","2015020034","20152016","CBJ","1",40.93,9,3,10,14,2,6,1,1,4,15,19,-4
"BUF","2015-10-15","2015020055","20152016","FLA","0",42.97,1,4,24,27,3,6,0,0,3,22,23,-1
"BUF","2015-10-17","2015020067","20152016","T.B","0",43.1,5,7,26,24,3,1,0,0,-2,18,18,0
"BUF","2015-10-21","2015020088","20152016","TOR","1",55,6,7,28,19,1,4,0,0,3,33,21,12
"BUF","2015-10-23","2015020100","20152016","MTL","1",50.35,8,1,19,11,2,3,0,0,1,22,32,-10
"BUF","2015-10-24","2015020107","20152016","N.J","1",49.75,9,5,20,20,1,5,0,0,4,25,21,4
"BUF","2015-10-27","2015020126","20152016","PHI","0",54.68,7,5,25,34,2,1,0,0,-1,25,24,1
"BUF","2015-10-29","2015020139","20152016","PIT","0",55.05,3,2,39,34,1,2,0,0,1,30,28,2
"BUF","2015-10-30","2015020145","20152016","PHI","1",42.47,4,6,18,18,3,6,1,1,3,25,21,4
"BUF","2015-11-01","2015020167","20152016","NYI","0",58.83,10,6,29,44,0,0,0,0,0,23,20,3
"BUF","2015-11-05","2015020185","20152016","T.B","1",49.13,5,7,22,12,3,2,0,0,-1,13,23,-10
"BUF","2015-11-07","2015020200","20152016","VAN","1",51.98,6,3,30,9,3,3,1,1,0,27,19,8
"BUF","2015-11-10","2015020221","20152016","T.B","0",44.73,4,5,21,20,5,2,0,0,-3,19,17,2
"BUF","2015-11-12","2015020236","20152016","FLA","0",51.03,0,2,31,33,3,0,0,0,-3,20,26,-6
"BUF","2015-11-14","2015020248","20152016","S.J","1",53.22,7,2,27,16,3,1,0,0,-2,23,24,-1
"BUF","2015-11-17","2015020268","20152016","DAL","1",52.32,7,9,25,11,1,3,0,0,2,25,39,-14
"BUF","2015-11-19","2015020286","20152016","STL","0",53.55,4,5,20,30,1,2,1,0,0,25,15,10
"BUF","2015-11-21","2015020301","20152016","DAL","0",46.37,4,3,21,12,4,2,1,1,-2,21,20,1
"BUF","2015-11-23","2015020308","20152016","STL","1",54.87,2,1,22,15,0,2,1,1,2,23,25,-2
"BUF","2015-11-25","2015020317","20152016","NSH","1",49.13,5,4,24,26,1,2,0,0,1,26,22,4
"BUF","2015-11-27","2015020335","20152016","CAR","1",53.85,8,7,17,10,2,2,0,0,0,20,28,-8
"BUF","2015-11-28","2015020348","20152016","NSH","0",46.95,5,0,19,12,3,1,0,1,-1,24,28,-4
"BUF","2015-12-01","2015020362","20152016","DET","0",58.07,4,2,23,20,2,5,1,1,3,26,30,-4
"BUF","2015-12-04","2015020381","20152016","ARI","1",49.4,7,6,22,20,3,2,0,0,-1,27,23,4
"BUF","2015-12-06","2015020402","20152016","EDM","0",49.82,5,6,25,24,2,5,0,0,3,25,31,-6
"BUF","2015-12-07","2015020407","20152016","VAN","0",48.35,6,2,32,21,4,1,0,0,-3,26,21,5
"BUF","2015-12-10","2015020427","20152016","CGY","0",51.08,7,4,14,13,2,3,0,0,1,28,31,-3
"BUF","2015-12-12","2015020436","20152016","L.A","1",60.95,3,3,24,20,0,1,0,0,1,27,24,3
"BUF","2015-12-14","2015020452","20152016","DET","0",47.92,2,3,26,26,3,3,0,0,0,24,16,8
"BUF","2015-12-15","2015020453","20152016","N.J","1",49.63,5,1,28,10,1,3,0,0,2,22,21,1
"BUF","2015-12-17","2015020466","20152016","ANA","1",44.97,5,1,18,15,3,4,0,0,1,29,23,6
"BUF","2015-12-19","2015020483","20152016","CHI","1",57,8,7,27,8,2,2,0,0,0,24,23,1
"BUF","2015-12-26","2015020517","20152016","BOS","0",48.33,6,6,22,27,2,3,0,0,1,23,20,3
"BUF","2015-12-28","2015020535","20152016","WSH","1",50.28,6,9,21,19,1,3,1,1,2,27,21,6
"BUF","2015-12-30","2015020552","20152016","WSH","0",47.62,5,6,12,24,3,4,0,0,1,26,24,2
"BUF","2015-12-31","2015020556","20152016","NYI","1",48.25,5,1,13,10,1,2,0,0,1,23,25,-2
"BUF","2016-01-02","2015020567","20152016","DET","1",45.02,3,1,23,10,1,5,0,0,4,28,21,7
"BUF","2016-01-05","2015020589","20152016","FLA","1",51.68,4,2,13,8,2,3,0,0,1,27,26,1
"BUF","2016-01-08","2015020610","20152016","CHI","0",55.23,4,1,32,14,2,2,0,0,0,32,29,3
"BUF","2016-01-10","2015020624","20152016","WPG","0",50.23,6,7,21,33,2,3,1,1,1,31,28,3
"BUF","2016-01-12","2015020637","20152016","MIN","0",51.65,3,3,19,14,0,2,0,0,2,29,24,5
"BUF","2016-01-15","2015020654","20152016","BOS","1",47.43,4,5,22,24,2,3,1,1,1,22,28,-6
"BUF","2016-01-16","2015020663","20152016","WSH","1",42.52,3,3,16,17,4,4,1,1,0,13,16,-3
"BUF","2016-01-18","2015020680","20152016","ARI","0",44.95,3,5,33,18,4,2,0,0,-2,15,27,-12
"BUF","2016-01-20","2015020691","20152016","COL","0",50.77,0,10,13,12,3,2,0,0,-1,15,24,-9
"BUF","2016-01-22","2015020703","20152016","DET","1",48.7,4,5,17,9,4,1,0,0,-3,23,27,-4
"BUF","2016-01-25","2015020726","20152016","NYR","0",49.68,7,9,20,23,4,1,0,0,-3,24,26,-2
"BUF","2016-01-26","2015020735","20152016","OTT","0",51.9,7,6,21,26,2,2,1,1,0,23,31,-8
"BUF","2016-02-03","2015020756","20152016","MTL","0",50.4,13,3,40,29,1,1,0,0,0,27,24,3
"BUF","2016-02-04","2015020759","20152016","BOS","1",51,4,3,23,15,4,3,0,0,-1,21,19,2
"BUF","2016-02-06","2015020779","20152016","BOS","0",52.48,9,6,27,22,4,3,0,0,-1,26,25,1
"BUF","2016-02-09","2015020795","20152016","FLA","1",51.23,4,4,15,14,3,4,2,2,1,25,32,-7
"BUF","2016-02-11","2015020810","20152016","PHI","0",40.85,5,6,21,29,3,5,2,3,3,14,17,-3
"BUF","2016-02-12","2015020818","20152016","MTL","1",50.47,10,5,23,7,3,3,0,0,0,31,18,13
"BUF","2016-02-14","2015020835","20152016","COL","1",41.98,2,3,19,8,3,1,0,0,-2,14,23,-9
"BUF","2016-02-16","2015020851","20152016","OTT","0",56.78,8,9,20,29,1,1,1,1,0,22,30,-8
"BUF","2016-02-19","2015020871","20152016","CBJ","0",43.88,0,1,9,16,7,4,0,2,-1,16,23,-7
"BUF","2016-02-21","2015020883","20152016","PIT","1",50.22,4,5,30,11,2,3,0,0,1,22,36,-14
"BUF","2016-02-24","2015020905","20152016","ANA","0",46.27,11,4,18,31,3,4,0,0,1,20,28,-8
"BUF","2016-02-26","2015020920","20152016","S.J","0",58.9,7,6,29,23,0,0,0,0,0,21,26,-5
"BUF","2016-02-27","2015020929","20152016","L.A","0",48.27,5,2,22,24,2,3,0,0,1,18,25,-7
