"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"BUF","2015-10-08","2015020006","20152016","OTT","1",5.43,1,1,0,1,0,0,0,0,0,2,3,-1
"BUF","2015-10-10","2015020017","20152016","T.B","1",4,1,1,1,2,0,0,0,0,0,5,2,3
"BUF","2015-10-12","2015020034","20152016","CBJ","1",11.58,4,0,1,3,0,0,0,0,0,9,3,6
"BUF","2015-10-15","2015020055","20152016","FLA","0",9.25,0,0,3,3,1,0,0,0,-1,5,6,-1
"BUF","2015-10-17","2015020067","20152016","T.B","0",5.98,2,1,0,2,0,0,0,0,0,2,2,0
"BUF","2015-10-21","2015020088","20152016","TOR","1",8,0,0,0,1,0,0,0,0,0,4,7,-3
"BUF","2015-10-23","2015020100","20152016","MTL","1",6.08,0,1,1,0,0,0,0,0,0,4,3,1
"BUF","2015-10-24","2015020107","20152016","N.J","1",5.18,1,0,0,1,1,0,0,0,-1,8,1,7
"BUF","2015-10-27","2015020126","20152016","PHI","0",3.45,0,0,0,3,0,0,0,0,0,2,2,0
"BUF","2015-10-29","2015020139","20152016","PIT","0",2.17,0,0,0,1,0,0,0,0,0,1,2,-1
"BUF","2015-10-30","2015020145","20152016","PHI","1",8.92,1,0,0,1,0,0,0,0,0,9,3,6
"BUF","2015-11-01","2015020167","20152016","NYI","0",0,0,0,0,0,0,0,0,0,0,0,0,0
"BUF","2015-11-05","2015020185","20152016","T.B","1",4,0,0,0,1,0,0,0,0,0,5,0,5
"BUF","2015-11-07","2015020200","20152016","VAN","1",3.73,2,0,1,1,0,0,0,0,0,3,0,3
"BUF","2015-11-10","2015020221","20152016","T.B","0",4.93,1,0,0,1,0,0,0,0,0,3,1,2
"BUF","2015-11-12","2015020236","20152016","FLA","0",1.33,0,0,0,1,0,0,0,0,0,0,1,-1
"BUF","2015-11-14","2015020248","20152016","S.J","1",4.58,0,0,0,1,0,1,0,0,1,5,2,3
"BUF","2015-11-17","2015020268","20152016","DAL","1",4.43,1,0,0,0,0,0,0,0,0,3,2,1
"BUF","2015-11-19","2015020286","20152016","STL","0",5.42,0,0,0,0,0,2,0,0,2,5,1,4
"BUF","2015-11-21","2015020301","20152016","DAL","0",4.88,1,0,0,1,0,1,0,0,1,4,1,3
