"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"BUF","2017-10-05","2017020006","20172018","MTL","1",48.28,17,13,11,81,23,14,18,7,3
"BUF","2017-10-07","2017020020","20172018","NYI","0",45.3,6,12,8,126,7,18,14,3,3
"BUF","2017-10-09","2017020034","20172018","N.J","1",45.28,12,13,4,99,14,17,11,6,4
"BUF","2017-10-12","2017020057","20172018","S.J","0",47.57,11,18,7,86,14,20,18,5,8
"BUF","2017-10-14","2017020075","20172018","L.A","0",50.45,11,14,15,92,12,17,17,1,2
"BUF","2017-10-15","2017020078","20172018","ANA","0",47,10,11,7,88,17,15,13,5,5
"BUF","2017-10-17","2017020090","20172018","VGK","0",44.37,13,11,11,70,16,14,14,0,7
"BUF","2017-10-20","2017020104","20172018","VAN","1",44.55,13,13,12,110,17,18,17,3,3
"BUF","2017-10-21","2017020112","20172018","BOS","0",55.13,15,18,16,119,19,19,21,7,7
"BUF","2017-10-24","2017020125","20172018","DET","1",50.1,13,14,14,91,20,17,19,4,11
"BUF","2017-10-25","2017020136","20172018","CBJ","0",54.72,16,12,16,103,22,20,22,6,3
"BUF","2017-10-28","2017020155","20172018","S.J","1",41.97,7,15,10,60,9,18,12,2,2
"BUF","2017-11-02","2017020196","20172018","ARI","0",51.22,14,14,4,109,20,16,9,5,5
"BUF","2017-11-04","2017020207","20172018","DAL","0",51.22,4,17,5,106,12,18,7,2,5
"BUF","2017-11-07","2017020223","20172018","WSH","1",49.28,12,15,11,90,16,16,17,5,5
"BUF","2017-11-10","2017020242","20172018","FLA","1",49.82,9,15,8,104,15,17,9,1,6
"BUF","2017-11-11","2017020251","20172018","MTL","0",55.92,11,13,10,120,15,15,16,2,6
"BUF","2017-11-14","2017020267","20172018","PIT","0",48.37,9,21,15,102,12,22,21,5,1
"BUF","2017-11-17","2017020291","20172018","DET","0",46.02,9,11,8,97,14,13,14,5,4
"BUF","2017-11-18","2017020297","20172018","CAR","1",48,10,13,10,111,13,14,16,5,4
"BUF","2017-11-20","2017020310","20172018","CBJ","1",52.22,14,10,11,116,19,13,12,1,4
"BUF","2017-11-22","2017020319","20172018","MIN","1",49.33,11,18,7,99,13,20,12,4,3
"BUF","2017-11-24","2017020339","20172018","EDM","1",46.05,12,14,20,82,15,17,30,7,5
"BUF","2017-11-25","2017020349","20172018","MTL","0",48.4,14,8,8,96,20,12,16,2,5
"BUF","2017-11-28","2017020367","20172018","T.B","1",46.12,13,7,10,80,20,9,12,1,11
"BUF","2017-12-01","2017020388","20172018","PIT","1",50,12,11,10,95,18,15,17,4,3
"BUF","2017-12-02","2017020400","20172018","PIT","0",40.05,12,14,4,81,17,15,8,3,8
"BUF","2017-12-05","2017020422","20172018","COL","0",40.7,6,14,10,90,9,17,16,5,1
"BUF","2017-12-08","2017020442","20172018","CHI","0",53.03,10,14,16,103,11,15,20,3,5
"BUF","2017-12-10","2017020458","20172018","STL","0",51.3,8,11,13,122,15,17,19,5,5
"BUF","2017-12-12","2017020466","20172018","OTT","1",49.58,9,12,11,89,13,14,13,2,5
"BUF","2017-12-14","2017020480","20172018","PHI","0",51.97,13,13,10,100,15,15,17,4,6
"BUF","2017-12-15","2017020491","20172018","CAR","1",54.22,17,15,11,91,22,18,15,3,3
"BUF","2017-12-19","2017020517","20172018","BOS","1",52.4,16,13,10,117,18,15,15,2,7
"BUF","2017-12-22","2017020539","20172018","PHI","1",45.2,15,16,10,73,23,20,12,2,7
"BUF","2017-12-23","2017020550","20172018","CAR","0",48.45,6,15,14,106,9,18,22,5,4
"BUF","2017-12-27","2017020560","20172018","NYI","0",48.77,9,12,8,106,14,15,11,2,4
"BUF","2017-12-29","2017020576","20172018","N.J","0",57.72,10,21,8,135,12,24,19,7,0
"BUF","2018-01-01","2017020601","20172018","NYR","1",48.93,5,16,12,105,6,21,19,6,3
"BUF","2018-01-04","2017020622","20172018","MIN","0",47,10,15,5,86,13,17,6,1,1
"BUF","2018-01-05","2017020631","20172018","WPG","0",41.42,13,13,8,83,14,17,17,4,3
"BUF","2018-01-07","2017020643","20172018","PHI","0",49.93,17,11,9,99,26,15,13,3,10
"BUF","2018-01-09","2017020653","20172018","WPG","1",47.03,10,18,3,85,18,23,8,3,4
"BUF","2018-01-11","2017020662","20172018","CBJ","1",57.22,14,11,15,87,18,14,34,13,2
"BUF","2018-01-18","2017020697","20172018","NYR","0",49.73,9,15,9,86,12,22,18,7,2
"BUF","2018-01-20","2017020708","20172018","DAL","1",48.15,10,19,6,86,14,22,11,3,7
"BUF","2018-01-22","2017020730","20172018","CGY","0",50.13,9,11,8,146,11,12,13,2,6
"BUF","2018-01-23","2017020739","20172018","EDM","0",51.77,13,19,11,80,16,22,19,6,3
"BUF","2018-01-25","2017020757","20172018","VAN","0",50.05,8,11,10,130,16,12,16,6,6
