"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"BUF","2019-10-03","2019020007","20192020","PIT","0",3.57,4,0,0,2,5,0,0,0,0
"BUF","2019-10-05","2019020018","20192020","N.J","1",5.03,5,0,0,1,7,0,0,0,0
"BUF","2019-10-07","2019020035","20192020","CBJ","0",4.08,3,0,0,3,3,0,0,0,0
"BUF","2019-10-09","2019020044","20192020","MTL","1",7.88,6,2,0,1,10,2,0,0,0
"BUF","2019-10-11","2019020058","20192020","FLA","1",6.25,4,0,1,6,6,0,1,0,0
"BUF","2019-10-14","2019020082","20192020","DAL","1",3.37,2,1,0,1,3,1,0,0,0
"BUF","2019-10-16","2019020096","20192020","ANA","0",11.38,5,2,0,8,6,2,0,0,0
"BUF","2019-10-17","2019020106","20192020","L.A","0",5.78,4,0,0,5,4,1,0,0,0
"BUF","2019-10-19","2019020123","20192020","S.J","0",8,6,1,0,4,8,1,0,0,0
"BUF","2019-10-22","2019020134","20192020","S.J","1",7.18,4,0,0,8,6,2,0,0,0
"BUF","2019-10-24","2019020147","20192020","NYR","0",6.42,3,2,0,7,3,3,0,0,0
"BUF","2019-10-25","2019020159","20192020","DET","0",5.93,4,1,0,2,4,2,0,0,0
"BUF","2019-10-28","2019020177","20192020","ARI","1",2.05,2,0,0,2,2,0,0,0,0
"BUF","2019-11-01","2019020198","20192020","WSH","0",4,4,0,0,1,4,0,0,0,0
"BUF","2019-11-02","2019020207","20192020","NYI","1",6,4,0,0,5,4,0,0,0,0
"BUF","2019-11-08","2019020249","20192020","T.B","1",3.7,2,1,0,1,2,2,0,0,0
"BUF","2019-11-09","2019020256","20192020","T.B","0",2.72,3,0,0,1,4,0,0,0,0
"BUF","2019-11-14","2019020286","20192020","CAR","1",5.37,4,0,0,3,4,0,0,0,0
"BUF","2019-11-16","2019020304","20192020","OTT","1",4,4,0,0,1,5,1,0,0,0
"BUF","2019-11-17","2019020314","20192020","CHI","0",7.97,7,1,1,2,9,1,1,0,0
"BUF","2019-11-19","2019020318","20192020","MIN","1",4.18,2,0,0,7,3,0,0,0,0
"BUF","2019-11-21","2019020333","20192020","BOS","0",6.33,6,1,1,4,7,1,2,2,0
"BUF","2019-11-24","2019020362","20192020","FLA","0",4,3,2,1,3,3,2,1,0,0
"BUF","2019-11-25","2019020365","20192020","T.B","0",8.17,5,2,0,5,6,2,0,1,0
"BUF","2019-11-27","2019020377","20192020","CGY","1",4,3,1,0,1,3,1,0,0,0
"BUF","2019-11-29","2019020392","20192020","TOR","1",3.27,2,0,0,6,2,0,0,0,0
"BUF","2019-11-30","2019020405","20192020","TOR","0",4,2,1,0,9,3,2,0,0,0
"BUF","2019-12-02","2019020419","20192020","N.J","1",3.03,2,0,0,3,2,0,0,0,0
"BUF","2019-12-05","2019020446","20192020","CGY","0",11.63,6,2,0,25,7,2,0,0,0
"BUF","2019-12-07","2019020453","20192020","VAN","0",6.43,6,1,0,5,6,1,0,0,0
"BUF","2019-12-08","2019020467","20192020","EDM","0",6,3,1,0,4,3,1,0,0,0
"BUF","2019-12-10","2019020472","20192020","STL","1",4,3,0,0,3,4,0,0,0,0
"BUF","2019-12-12","2019020487","20192020","NSH","1",2,2,0,0,1,2,0,0,0,0
"BUF","2019-12-14","2019020502","20192020","NYI","0",5.12,3,1,0,1,3,1,0,0,0
"BUF","2019-12-17","2019020525","20192020","TOR","0",3.07,2,2,0,0,3,3,0,0,0
"BUF","2019-12-19","2019020540","20192020","PHI","0",3.63,2,0,1,1,2,0,1,0,0
"BUF","2019-12-21","2019020552","20192020","L.A","1",4.27,2,1,0,4,3,1,0,0,0
"BUF","2019-12-23","2019020575","20192020","OTT","0",4,3,1,0,2,3,1,0,0,0
"BUF","2019-12-27","2019020582","20192020","BOS","1",2.83,1,0,0,7,2,0,0,0,0
"BUF","2019-12-29","2019020606","20192020","BOS","0",5.67,4,0,0,4,6,0,0,0,0
"BUF","2019-12-31","2019020617","20192020","T.B","1",7.65,5,0,0,3,5,0,0,0,0
"BUF","2020-01-02","2019020628","20192020","EDM","1",4,4,0,0,1,4,0,0,0,0
"BUF","2020-01-04","2019020645","20192020","FLA","1",4.15,3,0,0,5,3,0,0,0,0
"BUF","2020-01-09","2019020683","20192020","STL","0",2,1,0,0,0,2,0,0,0,0
"BUF","2020-01-11","2019020692","20192020","VAN","1",3.75,3,0,0,1,5,0,0,0,0
"BUF","2020-01-12","2019020705","20192020","DET","0",5.98,4,1,0,4,4,1,0,0,0
"BUF","2020-01-14","2019020714","20192020","VGK","1",3.93,4,0,0,6,4,0,1,1,0
"BUF","2020-01-16","2019020737","20192020","DAL","0",2.93,2,0,0,3,2,0,0,0,0
"BUF","2020-01-18","2019020752","20192020","NSH","0",6,3,0,0,4,3,1,0,0,0
"BUF","2020-01-28","2019020774","20192020","OTT","1",5.85,6,1,0,3,6,1,0,0,0
"BUF","2020-01-30","2019020782","20192020","MTL","1",4.37,4,1,0,2,4,1,0,0,0
"BUF","2020-02-01","2019020792","20192020","CBJ","1",0,0,0,0,0,0,0,0,0,0
"BUF","2020-02-04","2019020813","20192020","COL","1",4,3,0,0,3,4,0,0,0,0
"BUF","2020-02-06","2019020827","20192020","DET","1",6.12,4,1,0,6,5,2,0,0,0
"BUF","2020-02-07","2019020840","20192020","NYR","0",3.55,2,0,0,8,2,0,0,0,0
"BUF","2020-02-09","2019020856","20192020","ANA","1",3.15,2,1,0,1,4,1,0,0,0
"BUF","2020-02-11","2019020866","20192020","DET","1",5.07,2,1,1,4,3,1,1,0,0
"BUF","2020-02-13","2019020880","20192020","CBJ","1",1.17,2,0,0,0,2,0,0,0,0
"BUF","2020-02-16","2019020913","20192020","TOR","1",4.9,3,1,0,2,4,1,0,0,0
"BUF","2020-02-18","2019020922","20192020","OTT","0",5.23,4,2,0,3,4,2,0,0,0
"BUF","2020-02-22","2019020950","20192020","PIT","0",3.97,3,0,0,2,3,0,0,0,0
"BUF","2020-02-23","2019020960","20192020","WPG","1",4.43,4,0,0,4,4,0,0,0,0
"BUF","2020-02-26","2019020981","20192020","COL","0",4,4,1,0,3,5,1,0,0,0
"BUF","2020-02-28","2019020997","20192020","VGK","0",2.37,1,0,0,3,1,0,0,0,0
"BUF","2020-02-29","2019021008","20192020","ARI","0",2.35,1,2,0,1,1,3,0,0,0
"BUF","2020-03-03","2019021024","20192020","WPG","0",4,2,1,0,4,3,1,0,0,0
"BUF","2020-03-05","2019021033","20192020","PIT","1",4.55,4,2,0,4,5,3,0,0,0
"BUF","2020-03-07","2019021056","20192020","PHI","0",8,5,1,0,6,7,1,0,0,0
"BUF","2020-03-09","2019021066","20192020","WSH","1",4.58,6,0,0,0,7,0,0,0,0
