"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"BUF","2016-10-13","2016020005","20162017","MTL","1",4,0,1,3,5,1,1,3,0,0
"BUF","2016-10-16","2016020031","20162017","EDM","0",1.93,0,0,0,2,0,0,0,0,0
"BUF","2016-10-18","2016020046","20162017","CGY","0",8.45,1,1,6,9,1,4,7,0,0
"BUF","2016-10-20","2016020061","20162017","VAN","0",6.3,1,0,5,10,1,0,5,0,0
"BUF","2016-10-25","2016020085","20162017","PHI","0",4.58,0,1,6,3,0,2,8,0,0
"BUF","2016-10-27","2016020098","20162017","MIN","1",4,0,0,4,8,0,0,5,0,0
"BUF","2016-10-29","2016020113","20162017","FLA","1",7.52,0,1,7,12,1,2,8,0,1
"BUF","2016-10-30","2016020123","20162017","WPG","0",9.05,1,1,5,13,1,2,6,0,0
"BUF","2016-11-01","2016020137","20162017","MIN","0",1.12,0,0,1,3,0,0,1,0,0
"BUF","2016-11-03","2016020146","20162017","TOR","1",0,0,0,0,0,0,0,0,0,0
"BUF","2016-11-05","2016020165","20162017","OTT","0",6.77,0,0,5,13,0,0,5,0,0
"BUF","2016-11-07","2016020180","20162017","BOS","0",12.03,0,4,8,16,0,4,9,0,0
"BUF","2016-11-09","2016020194","20162017","OTT","1",4.45,0,2,1,5,0,2,1,0,0
"BUF","2016-11-11","2016020206","20162017","N.J","1",10.07,0,0,6,16,0,0,7,0,0
"BUF","2016-11-12","2016020215","20162017","N.J","0",6.52,0,0,5,8,0,0,6,0,0
"BUF","2016-11-15","2016020236","20162017","STL","0",0.15,0,0,1,0,0,0,1,0,0
"BUF","2016-11-17","2016020245","20162017","T.B","1",4.58,0,0,5,4,0,1,5,0,0
"BUF","2016-11-19","2016020263","20162017","PIT","1",2.15,1,0,2,2,1,0,2,0,0
"BUF","2016-11-21","2016020276","20162017","CGY","1",3.38,0,1,2,3,0,1,2,0,0
"BUF","2016-11-23","2016020288","20162017","DET","1",4,0,0,2,9,0,0,2,0,0
"BUF","2016-11-25","2016020306","20162017","WSH","0",6.42,1,1,7,6,1,1,8,0,0
"BUF","2016-11-29","2016020333","20162017","OTT","0",6.47,0,0,5,9,0,0,6,0,0
"BUF","2016-12-01","2016020346","20162017","NYR","1",2.63,0,0,3,1,0,0,3,0,0
"BUF","2016-12-03","2016020359","20162017","BOS","1",3.17,0,0,3,2,0,0,3,0,0
"BUF","2016-12-05","2016020380","20162017","WSH","0",4.08,0,1,4,3,0,1,4,0,0
"BUF","2016-12-06","2016020382","20162017","EDM","1",7.5,0,0,6,6,0,1,6,0,0
"BUF","2016-12-09","2016020405","20162017","WSH","1",4.65,0,0,5,6,0,0,5,0,0
"BUF","2016-12-13","2016020431","20162017","L.A","1",0,0,0,0,0,0,0,0,0,0
"BUF","2016-12-16","2016020453","20162017","NYI","1",1.8,1,0,1,2,1,0,1,0,0
"BUF","2016-12-17","2016020466","20162017","CAR","0",2,0,0,1,4,0,0,1,0,0
