"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"CAR","2017-10-07","2017020023","20172018","MIN","1",51.7,60,60.78,62.34,59.8,49.18,3,2,31,20,48,29,61,41,2.34,2.41,1,11,19,20,-0.08
"CAR","2017-10-10","2017020040","20172018","CBJ","1",51.38,0,55.1,53.73,54.26,51.14,0,2,27,22,36,31,51,43,1.92,1.84,-2,5,5,8,0.09
"CAR","2017-10-14","2017020068","20172018","WPG","0",46.8,0,55.56,57.69,58.23,41.17,0,2,20,16,30,22,46,33,0.95,1.36,-2,4,8,13,-0.41
"CAR","2017-10-17","2017020089","20172018","EDM","0",38.45,66.67,30.95,29.63,36.49,31.41,2,1,13,29,16,38,27,47,0.83,1.81,1,-16,-22,-20,-0.98
"CAR","2017-10-19","2017020102","20172018","CGY","0",47.28,50,51.02,50.72,57.14,51.72,1,1,25,24,35,34,52,39,1.32,1.24,0,1,1,13,0.09
"CAR","2017-10-21","2017020118","20172018","DAL","0",48.88,42.86,54.72,52.94,57.14,51.57,3,4,29,24,36,32,52,39,2.22,2.08,-1,5,4,13,0.14
"CAR","2017-10-24","2017020129","20172018","T.B","1",49.27,33.33,55.77,61.25,63.37,61.58,1,2,29,23,49,31,64,37,2.93,1.83,-1,6,18,27,1.1
"CAR","2017-10-26","2017020139","20172018","TOR","0",57.73,66.67,52.78,52.38,52.99,47.44,6,3,38,34,55,50,71,63,3.01,3.34,3,4,5,8,-0.33
"CAR","2017-10-27","2017020152","20172018","STL","1",56.53,33.33,43.33,42.05,47.41,40.54,1,2,26,34,37,51,64,71,1.54,2.27,-1,-8,-14,-7,-0.72
"CAR","2017-10-29","2017020167","20172018","ANA","1",59.28,40,57.14,59.34,61.86,66.42,2,3,32,24,54,37,73,45,4.05,2.05,-1,8,17,28,2
"CAR","2017-11-02","2017020194","20172018","COL","0",51.2,50,70,71.88,68.91,68.14,3,3,56,24,69,27,82,37,3.11,1.46,0,32,42,45,1.66
"CAR","2017-11-04","2017020209","20172018","ARI","0",56.2,50,60.34,58.23,60.36,67.27,1,1,35,23,46,33,67,44,2.94,1.43,0,12,13,23,1.51
"CAR","2017-11-07","2017020227","20172018","FLA","1",45.62,100,59.32,53.75,55.05,54.15,2,0,35,24,43,37,60,49,2.22,1.88,2,11,6,11,0.34
"CAR","2017-11-10","2017020245","20172018","CBJ","0",53.57,66.67,57.14,52.24,55.79,42.57,2,1,28,21,35,32,53,42,1.95,2.63,1,7,3,11,-0.68
"CAR","2017-11-11","2017020256","20172018","CHI","1",47.47,50,62.07,56.58,51.4,58.28,3,3,36,22,43,33,55,52,2.71,1.94,0,14,10,3,0.77
"CAR","2017-11-13","2017020265","20172018","DAL","1",50.57,100,53.85,51.72,50,56.86,4,0,21,18,30,28,44,44,1.71,1.3,4,3,2,0,0.41
"CAR","2017-11-16","2017020279","20172018","NYI","0",49.77,50,47.27,45.83,52.13,53.02,3,3,26,29,33,39,49,45,2.55,2.26,0,-3,-6,4,0.29
"CAR","2017-11-18","2017020297","20172018","BUF","0",48,66.67,58.14,54.84,54.12,55.01,2,1,25,18,34,28,46,39,1.74,1.42,1,7,6,7,0.32
"CAR","2017-11-19","2017020305","20172018","NYI","1",39.48,66.67,55,54.55,49.33,45.69,2,1,22,18,30,25,37,38,1.15,1.36,1,4,5,-1,-0.22
"CAR","2017-11-22","2017020326","20172018","NYR","1",47.22,0,47.73,47.14,52.27,38.98,0,5,21,23,33,37,46,42,1.64,2.57,-5,-2,-4,4,-0.93
"CAR","2017-11-24","2017020343","20172018","TOR","1",50.13,42.86,68.97,70.24,69.52,76.91,3,4,40,18,59,25,73,32,4.28,1.28,-1,22,34,41,2.99
"CAR","2017-11-26","2017020359","20172018","NSH","1",56.13,50,48.39,46.74,47.58,51.29,2,2,30,32,43,49,59,65,2.94,2.79,0,-2,-6,-6,0.15
"CAR","2017-11-28","2017020371","20172018","CBJ","0",60.93,50,44.12,45.12,49.51,50.08,2,2,30,38,37,45,51,52,2.68,2.67,0,-8,-8,-1,0.01
"CAR","2017-12-01","2017020390","20172018","NYR","0",48.4,50,65.22,65.57,59.77,50.49,1,1,30,16,40,21,52,35,1.63,1.6,0,14,19,17,0.03
"CAR","2017-12-02","2017020403","20172018","FLA","1",54.15,50,49.25,47.47,48.82,61.04,1,1,33,34,47,52,62,65,3.59,2.29,0,-1,-5,-3,1.3
"CAR","2017-12-05","2017020423","20172018","VAN","0",52.27,0,57.14,58.57,60.67,50.63,0,2,28,21,41,29,54,35,1.83,1.78,-2,7,12,19,0.05
"CAR","2017-12-07","2017020438","20172018","S.J","0",52.13,80,46.81,44.93,43.01,58.55,4,1,22,25,31,38,40,53,2.69,1.91,3,-3,-7,-13,0.79
"CAR","2017-12-09","2017020455","20172018","L.A","0",57.32,0,59.18,57.75,59.79,59.08,0,3,29,20,41,30,58,39,2.13,1.48,-3,9,11,19,0.66
"CAR","2017-12-11","2017020465","20172018","ANA","0",48.52,40,51.16,51.43,53.54,49.23,2,3,22,21,36,34,53,46,2.25,2.32,-1,1,2,7,-0.07
"CAR","2017-12-12","2017020474","20172018","VGK","0",55.43,50,61.54,60.94,59.09,58.35,2,2,32,20,39,25,52,36,2.33,1.66,0,12,14,16,0.67
"CAR","2017-12-15","2017020491","20172018","BUF","0",54.22,55.56,44.93,48.39,46.23,45.21,5,4,31,38,45,48,49,57,2.52,3.06,1,-7,-3,-8,-0.53
"CAR","2017-12-16","2017020503","20172018","CBJ","1",50.65,66.67,43.14,44.44,42.7,54.08,2,1,22,29,32,40,38,51,2.21,1.88,1,-7,-8,-13,0.33
"CAR","2017-12-19","2017020516","20172018","TOR","0",48.95,20,51.79,52.44,57.8,44.86,1,4,29,27,43,39,63,46,2.04,2.51,-3,2,4,17,-0.47
"CAR","2017-12-21","2017020534","20172018","NSH","0",43.92,66.67,45.45,40.91,40.74,40.68,2,1,20,24,27,39,33,48,0.99,1.45,1,-4,-12,-15,-0.46
"CAR","2017-12-23","2017020550","20172018","BUF","1",48.45,60,59.57,65.15,66.27,63.29,3,2,28,19,43,23,55,28,2.72,1.58,1,9,20,27,1.14
"CAR","2017-12-27","2017020563","20172018","MTL","1",52.57,50,58.33,56.92,56.82,55.14,1,1,28,20,37,28,50,38,1.95,1.59,0,8,9,12,0.36
"CAR","2017-12-29","2017020580","20172018","PIT","1",50.62,66.67,56,58.57,58.95,58.6,2,1,28,22,41,29,56,39,2.46,1.74,1,6,12,17,0.72
"CAR","2017-12-30","2017020590","20172018","STL","0",52.17,40,44.44,45.76,48.15,46.93,2,3,20,25,27,32,39,42,1.44,1.63,-1,-5,-5,-3,-0.19
"CAR","2018-01-02","2017020605","20172018","WSH","1",50.27,37.5,51.11,57.14,57.3,55.31,3,5,23,22,40,30,51,38,2.54,2.05,-2,1,10,13,0.49
"CAR","2018-01-04","2017020619","20172018","PIT","0",54,100,59.62,56.06,48.39,68.44,4,0,31,21,37,29,45,48,3.35,1.55,4,10,8,-3,1.81
"CAR","2018-01-06","2017020636","20172018","BOS","0",52.57,0,45.65,50,49.43,37.12,0,5,21,25,31,31,43,44,1.05,1.78,-5,-4,0,-1,-0.73
"CAR","2018-01-09","2017020656","20172018","T.B","0",52.63,16.67,42.37,41.33,43.14,27.14,1,5,25,34,31,44,44,58,1.04,2.79,-4,-9,-13,-14,-1.75
"CAR","2018-01-11","2017020663","20172018","WSH","0",49.32,0,53.33,56.72,52.94,51.85,0,1,24,21,38,29,54,48,1.76,1.63,-1,3,9,6,0.13
"CAR","2018-01-12","2017020667","20172018","WSH","1",47.35,33.33,59.18,54.79,50,55.12,1,2,29,20,40,33,45,45,2.77,2.26,-1,9,7,0,0.51
"CAR","2018-01-14","2017020680","20172018","CGY","1",48.6,0,51.85,46.05,49.53,51.99,0,3,28,26,35,41,53,54,2.36,2.18,-3,2,-6,-1,0.18
"CAR","2018-01-20","2017020714","20172018","DET","0",53.82,100,54.55,48.57,51.61,58.55,1,0,24,20,34,36,48,45,1.87,1.32,1,4,-2,3,0.55
"CAR","2018-01-21","2017020722","20172018","VGK","1",47.28,0,44.68,45.45,51.81,41.72,0,3,21,26,30,36,43,40,1.87,2.62,-3,-5,-6,3,-0.74
