"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"CAR","2019-10-03","2019020008","20192020","MTL","1",5.57,100,100,90,90,99.58,1,0,6,0,9,1,9,1,1.16,0,1,6,8,8,1.15
"CAR","2019-10-05","2019020023","20192020","WSH","0",6.05,100,85.71,88.89,90.91,96.54,1,0,6,1,8,1,10,1,0.79,0.03,1,5,7,9,0.76
"CAR","2019-10-06","2019020031","20192020","T.B","1",5.83,100,100,100,100,100,2,0,5,0,7,0,12,0,0.69,0,2,5,7,12,0.69
"CAR","2019-10-08","2019020036","20192020","FLA","0",4.7,100,100,100,100,100,1,0,10,0,10,0,12,0,1.46,0,1,10,10,12,1.46
"CAR","2019-10-11","2019020060","20192020","NYI","1",3.12,0,100,100,100,100,0,0,2,0,3,0,4,0,0.44,0,0,2,3,4,0.44
"CAR","2019-10-12","2019020068","20192020","CBJ","1",5.05,0,100,100,100,100,0,0,4,0,5,0,6,0,0.27,0,0,4,5,6,0.27
"CAR","2019-10-15","2019020091","20192020","L.A","0",7.2,0,100,100,100,100,0,0,3,0,5,0,6,0,0.51,0,0,3,5,6,0.51
"CAR","2019-10-16","2019020097","20192020","S.J","0",7.25,0,100,100,100,100,0,0,7,0,7,0,7,0,1.25,0,0,7,7,7,1.25
"CAR","2019-10-18","2019020112","20192020","ANA","0",4.12,50,33.33,40,57.14,60.7,1,1,1,2,2,3,4,3,0.34,0.22,0,-1,-1,1,0.12
"CAR","2019-10-24","2019020148","20192020","CBJ","0",6,0,50,66.67,71.43,51.25,0,0,2,2,4,2,5,2,0.38,0.36,0,0,2,3,0.02
"CAR","2019-10-26","2019020161","20192020","CHI","1",1.8,100,100,100,100,100,2,0,4,0,6,0,7,0,0.54,0,2,4,6,7,0.54
"CAR","2019-10-29","2019020183","20192020","CGY","1",3.58,100,100,100,100,100,1,0,3,0,3,0,7,0,0.2,0,1,3,3,7,0.2
"CAR","2019-11-01","2019020199","20192020","DET","1",4.88,100,88.89,81.82,83.33,98.02,1,0,8,1,9,2,10,2,1.38,0.03,1,7,7,8,1.35
"CAR","2019-11-02","2019020210","20192020","N.J","1",4.85,100,100,100,100,100,1,0,4,0,4,0,5,0,0.55,0,1,4,4,5,0.55
"CAR","2019-11-05","2019020226","20192020","PHI","0",4.15,0,83.33,87.5,90.91,99.64,0,0,5,1,7,1,10,1,1.08,0,0,4,6,9,1.07
"CAR","2019-11-07","2019020241","20192020","NYR","1",4,0,100,90,91.67,95.98,0,0,5,0,9,1,11,1,0.78,0.03,0,5,8,10,0.75
"CAR","2019-11-09","2019020255","20192020","OTT","0",5.62,100,100,100,71.43,100,1,0,4,0,4,0,5,2,0.2,0,1,4,4,3,0.2
"CAR","2019-11-11","2019020271","20192020","OTT","1",5.88,100,66.67,75,87.5,94.64,1,0,2,1,3,1,7,1,0.37,0.02,1,1,2,6,0.35
"CAR","2019-11-14","2019020286","20192020","BUF","0",4.18,100,100,100,100,100,2,0,5,0,5,0,7,0,0.33,0,2,5,5,7,0.33
"CAR","2019-11-16","2019020299","20192020","MIN","0",4,0,75,75,80,63.71,0,1,6,2,6,2,8,2,0.65,0.37,-1,4,4,6,0.28
"CAR","2019-11-19","2019020326","20192020","CHI","0",2,0,100,100,100,100,0,0,2,0,3,0,4,0,0.19,0,0,2,3,4,0.19
