"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"CAR","2017-10-07","2017020023","20172018","MIN","1",4.77,0,0,0,0,0,0,1,0,3,0,5,0,9,0,0.49,-1,-3,-5,-9,-0.49
"CAR","2017-10-10","2017020040","20172018","CBJ","1",6,0,20,22.22,18.18,1.05,0,0,1,4,2,7,2,9,0.01,0.8,0,-3,-5,-7,-0.79
"CAR","2017-10-14","2017020068","20172018","WPG","0",4,0,33.33,28.57,20,29.01,0,0,2,4,2,5,2,8,0.23,0.56,0,-2,-3,-6,-0.33
"CAR","2017-10-17","2017020089","20172018","EDM","0",11.62,33.33,12.5,10.53,11.54,9.56,1,2,2,14,2,17,3,23,0.22,2.05,-1,-12,-15,-20,-1.83
"CAR","2017-10-19","2017020102","20172018","CGY","0",1.12,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.1,0,0,-1,-1,-0.1
"CAR","2017-10-21","2017020118","20172018","DAL","0",4,0,50,33.33,30,4.71,0,0,2,2,3,6,3,7,0.02,0.43,0,0,-3,-4,-0.41
"CAR","2017-10-24","2017020129","20172018","T.B","1",1.92,0,0,0,0,0,0,1,0,4,0,7,0,7,0,1.39,-1,-4,-7,-7,-1.39
"CAR","2017-10-26","2017020139","20172018","TOR","0",2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0
"CAR","2017-10-27","2017020152","20172018","STL","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAR","2017-10-29","2017020167","20172018","ANA","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAR","2017-11-02","2017020194","20172018","COL","0",2.92,0,33.33,33.33,33.33,27.25,0,1,1,2,1,2,1,2,0.06,0.16,-1,-1,-1,-1,-0.1
"CAR","2017-11-04","2017020209","20172018","ARI","0",3.05,0,100,50,50,12.64,0,0,1,0,1,1,1,1,0.01,0.1,0,1,0,0,-0.09
"CAR","2017-11-07","2017020227","20172018","FLA","1",2.92,0,20,16.67,14.29,1.68,0,1,1,4,1,5,1,6,0.01,0.44,-1,-3,-4,-5,-0.43
"CAR","2017-11-10","2017020245","20172018","CBJ","0",4,0,0,0,0,0,0,0,0,3,0,4,0,5,0,0.39,0,-3,-4,-5,-0.39
"CAR","2017-11-11","2017020256","20172018","CHI","1",8,0,16.67,10,6.25,0.34,0,1,1,5,1,9,1,15,0,1.05,-1,-4,-8,-14,-1.05
"CAR","2017-11-13","2017020265","20172018","DAL","1",3.75,0,0,0,0,0,0,1,0,7,0,8,0,11,0,1.5,-1,-7,-8,-11,-1.5
"CAR","2017-11-16","2017020279","20172018","NYI","0",4.85,0,0,0,0,0,0,1,0,4,0,6,0,10,0,0.53,-1,-4,-6,-10,-0.53
"CAR","2017-11-18","2017020297","20172018","BUF","0",4,0,0,0,0,0,0,0,0,4,0,7,0,9,0,0.63,0,-4,-7,-9,-0.63
"CAR","2017-11-19","2017020305","20172018","NYI","1",13.03,0,0,0,0,0,0,1,0,8,0,11,0,19,0,0.66,-1,-8,-11,-19,-0.66
"CAR","2017-11-22","2017020326","20172018","NYR","1",3.52,0,0,0,14.29,0,0,1,0,4,0,5,1,6,0,0.82,-1,-4,-5,-5,-0.82
"CAR","2017-11-24","2017020343","20172018","TOR","1",3.53,0,0,0,0,0,0,1,0,5,0,5,0,5,0,0.49,-1,-5,-5,-5,-0.49
