"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"CAR","2016-10-13","2016020012","20162017","WPG","0",47.9,9,7,12,17,5,4,0,0,-1,25,15,10
"CAR","2016-10-16","2016020032","20162017","VAN","0",53.1,9,3,24,16,1,1,0,0,0,27,20,7
"CAR","2016-10-18","2016020047","20162017","EDM","0",48.4,5,9,18,18,3,2,0,0,-1,26,20,6
"CAR","2016-10-20","2016020059","20162017","CGY","0",35.3,5,11,7,12,6,5,0,0,-1,19,19,0
"CAR","2016-10-22","2016020070","20162017","PHI","0",45.75,6,5,19,13,4,4,0,0,0,22,27,-5
"CAR","2016-10-25","2016020088","20162017","DET","0",48.02,3,2,18,14,2,4,0,0,2,20,19,1
"CAR","2016-10-28","2016020108","20162017","NYR","1",54.63,7,16,21,19,2,1,0,0,-1,25,17,8
"CAR","2016-10-30","2016020125","20162017","PHI","1",51.93,4,6,22,21,2,1,0,0,-1,33,20,13
"CAR","2016-11-01","2016020135","20162017","OTT","0",55.63,11,9,12,26,2,3,1,1,1,28,33,-5
"CAR","2016-11-05","2016020170","20162017","NSH","0",55,10,7,13,12,2,3,0,0,1,16,33,-17
"CAR","2016-11-06","2016020176","20162017","N.J","1",46.22,10,10,20,21,1,3,0,0,2,16,20,-4
"CAR","2016-11-08","2016020183","20162017","N.J","0",57.28,6,8,21,18,3,1,0,0,-2,27,40,-13
"CAR","2016-11-10","2016020198","20162017","ANA","1",48.55,4,12,24,27,3,2,1,1,-1,24,22,2
"CAR","2016-11-12","2016020218","20162017","WSH","1",44.8,7,14,14,11,2,6,0,0,4,22,17,5
"CAR","2016-11-15","2016020231","20162017","S.J","1",53.92,9,10,14,21,1,0,0,0,-1,28,13,15
"CAR","2016-11-18","2016020258","20162017","MTL","1",54.95,10,15,22,28,1,1,0,0,0,25,24,1
"CAR","2016-11-20","2016020273","20162017","WPG","1",42.53,7,8,32,45,4,7,0,0,3,21,17,4
"CAR","2016-11-22","2016020284","20162017","TOR","0",50.72,7,12,29,29,3,1,0,0,-2,20,19,1
