"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"CAR","2015-10-08","2015020009","20152016","NSH","0",6,0,0,0,0,0,0,0,0,0,2,4,-2
"CAR","2015-10-10","2015020023","20152016","DET","1",8.13,0,4,0,1,1,1,0,0,0,5,3,2
"CAR","2015-10-13","2015020041","20152016","FLA","1",7.98,2,0,0,2,0,0,0,0,0,2,6,-4
"CAR","2015-10-16","2015020060","20152016","DET","0",4.32,0,0,1,0,0,0,0,0,0,1,3,-2
"CAR","2015-10-17","2015020070","20152016","WSH","0",7.37,0,0,0,1,0,1,0,0,1,5,3,2
"CAR","2015-10-21","2015020091","20152016","COL","0",8.53,0,0,1,1,1,0,0,0,-1,7,3,4
"CAR","2015-10-23","2015020105","20152016","L.A","0",8,2,0,0,2,0,0,0,0,0,7,3,4
"CAR","2015-10-24","2015020117","20152016","S.J","0",4.5,1,0,1,0,0,0,0,0,0,2,1,1
"CAR","2015-10-27","2015020127","20152016","DET","0",5.08,1,0,0,0,1,0,0,0,-1,2,2,0
"CAR","2015-10-29","2015020137","20152016","NYI","0",4,2,0,2,1,0,0,0,0,0,3,1,2
"CAR","2015-10-30","2015020148","20152016","COL","1",7.55,3,0,0,0,0,0,0,0,0,6,1,5
"CAR","2015-11-01","2015020165","20152016","T.B","1",2.42,1,0,0,0,0,0,0,0,0,2,0,2
"CAR","2015-11-06","2015020196","20152016","DAL","1",0,0,0,0,0,0,0,0,0,0,0,0,0
"CAR","2015-11-07","2015020204","20152016","OTT","1",4.07,0,0,0,1,0,0,0,0,0,3,0,3
"CAR","2015-11-10","2015020217","20152016","NYR","0",11.95,1,1,2,2,0,1,0,0,1,6,5,1
"CAR","2015-11-12","2015020233","20152016","MIN","1",4.08,1,0,0,0,0,0,0,0,0,2,2,0
"CAR","2015-11-14","2015020253","20152016","PHI","1",3.42,0,0,0,2,0,0,0,0,0,0,2,-2
"CAR","2015-11-16","2015020262","20152016","ANA","1",6,2,1,0,2,0,0,0,0,0,2,2,0
"CAR","2015-11-20","2015020287","20152016","TOR","1",2.57,1,0,0,1,0,1,0,0,1,3,1,2
"CAR","2015-11-22","2015020304","20152016","L.A","1",6.17,0,0,1,1,1,1,0,0,0,5,3,2
"CAR","2015-11-23","2015020310","20152016","PHI","0",8.55,4,0,1,1,0,0,0,0,0,3,7,-4
"CAR","2015-11-25","2015020323","20152016","EDM","1",2,0,1,1,0,0,0,0,0,0,0,1,-1
"CAR","2015-11-27","2015020335","20152016","BUF","0",4,1,0,1,0,0,0,0,0,0,2,1,1
"CAR","2015-11-30","2015020356","20152016","NYR","0",4.67,0,1,1,0,1,0,0,0,-1,0,4,-4
"CAR","2015-12-03","2015020374","20152016","N.J","1",4,1,0,1,4,0,0,0,0,0,4,1,3
"CAR","2015-12-05","2015020392","20152016","MTL","1",6.08,1,2,2,1,0,0,0,0,0,6,3,3
"CAR","2015-12-06","2015020398","20152016","ARI","1",5.43,2,0,0,0,0,0,0,0,0,3,2,1
"CAR","2015-12-08","2015020415","20152016","DAL","0",2.77,0,0,0,0,0,0,0,0,0,1,2,-1
"CAR","2015-12-11","2015020434","20152016","ANA","0",3.42,1,0,0,0,1,0,0,0,-1,3,0,3
"CAR","2015-12-12","2015020442","20152016","ARI","0",4.83,0,0,1,0,0,0,0,0,0,2,4,-2
"CAR","2015-12-15","2015020456","20152016","PHI","0",7.4,0,1,0,1,0,0,0,0,0,8,3,5
"CAR","2015-12-18","2015020479","20152016","FLA","1",4,0,0,0,1,0,0,0,0,0,2,2,0
"CAR","2015-12-19","2015020487","20152016","PIT","0",6.45,2,0,0,2,0,0,0,0,0,3,2,1
"CAR","2015-12-21","2015020502","20152016","WSH","1",3.85,1,0,1,0,1,0,0,0,-1,0,2,-2
"CAR","2015-12-26","2015020520","20152016","N.J","1",2,1,0,0,0,0,0,0,0,0,2,2,0
"CAR","2015-12-27","2015020530","20152016","CHI","0",0,0,0,0,0,0,0,0,0,0,0,0,0
"CAR","2015-12-29","2015020543","20152016","N.J","0",2,1,0,1,1,0,0,0,0,0,3,0,3
"CAR","2015-12-31","2015020558","20152016","WSH","1",6,2,1,1,1,1,1,0,0,0,4,3,1
"CAR","2016-01-02","2015020575","20152016","NSH","1",6,1,2,1,2,0,0,0,0,0,5,1,4
"CAR","2016-01-04","2015020586","20152016","EDM","0",2,0,0,0,0,0,0,0,0,0,1,1,0
"CAR","2016-01-06","2015020599","20152016","VAN","0",4,0,0,0,0,0,0,0,0,0,3,1,2
"CAR","2016-01-08","2015020609","20152016","CBJ","1",7.97,0,1,0,1,0,0,0,0,0,5,3,2
"CAR","2016-01-09","2015020618","20152016","CBJ","0",6.98,0,0,0,0,0,0,0,0,0,8,2,6
"CAR","2016-01-12","2015020635","20152016","PIT","1",4.37,0,1,2,0,0,0,0,0,0,4,1,3
"CAR","2016-01-14","2015020649","20152016","STL","0",5.75,0,0,0,1,0,0,0,0,0,1,4,-3
"CAR","2016-01-15","2015020656","20152016","VAN","1",5.43,1,0,0,0,0,0,0,0,0,7,1,6
"CAR","2016-01-17","2015020670","20152016","PIT","0",7.28,0,1,0,2,0,1,0,0,1,5,2,3
"CAR","2016-01-21","2015020697","20152016","TOR","0",8,0,0,1,1,0,0,0,0,0,4,4,0
"CAR","2016-01-22","2015020705","20152016","NYR","1",2,0,1,0,0,0,0,0,0,0,0,1,-1
"CAR","2016-01-24","2015020722","20152016","CGY","1",9.45,2,1,1,0,0,0,0,0,0,5,4,1
"CAR","2016-01-26","2015020733","20152016","CHI","1",4,3,0,0,0,0,0,0,0,0,5,0,5
"CAR","2016-02-03","2015020758","20152016","CGY","0",10,2,2,0,1,0,0,0,0,0,9,2,7
"CAR","2016-02-05","2015020772","20152016","WPG","0",6.7,0,0,0,3,0,0,0,0,0,3,5,-2
"CAR","2016-02-07","2015020788","20152016","MTL","0",4,0,1,0,1,0,0,0,0,0,3,3,0
"CAR","2016-02-12","2015020820","20152016","PIT","1",6,1,0,0,2,0,0,0,0,0,3,1,2
"CAR","2016-02-13","2015020828","20152016","NYI","1",2.27,0,0,0,0,0,0,0,0,0,2,1,1
"CAR","2016-02-16","2015020849","20152016","WPG","1",8.03,0,1,1,0,0,0,0,0,0,7,2,5
"CAR","2016-02-18","2015020861","20152016","OTT","0",3.25,1,0,0,0,0,0,0,0,0,1,1,0
"CAR","2016-02-19","2015020870","20152016","S.J","1",2.98,1,0,0,1,0,0,0,0,0,4,0,4
"CAR","2016-02-21","2015020886","20152016","T.B","1",3.55,0,2,1,0,1,0,0,0,-1,2,2,0
