"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"CAR","2018-10-04","2018020008","20182019","NYI","1",4.78,1,0,0,1,0,0,0,0,0,3,1,2
"CAR","2018-10-05","2018020015","20182019","CBJ","0",6,1,1,1,1,0,0,0,0,0,2,2,0
"CAR","2018-10-07","2018020029","20182019","NYR","1",5.58,1,1,0,0,0,0,0,0,0,3,1,2
"CAR","2018-10-09","2018020037","20182019","VAN","1",6.92,0,2,1,0,0,0,0,0,0,2,4,-2
"CAR","2018-10-13","2018020060","20182019","MIN","0",4.03,0,0,1,0,0,2,0,0,2,2,5,-3
"CAR","2018-10-14","2018020073","20182019","WPG","0",2.72,1,1,0,0,0,0,0,0,0,1,0,1
"CAR","2018-10-16","2018020082","20182019","T.B","0",1.12,1,0,1,0,0,0,0,0,0,0,1,-1
"CAR","2018-10-20","2018020103","20182019","COL","1",5.97,0,1,1,0,0,1,0,0,1,5,2,3
"CAR","2018-10-22","2018020119","20182019","DET","0",6.27,1,0,0,0,0,0,0,0,0,2,4,-2
"CAR","2018-10-26","2018020146","20182019","S.J","1",3.57,1,1,2,1,0,1,0,0,1,3,1,2
"CAR","2018-10-28","2018020161","20182019","NYI","1",6.15,0,5,0,1,0,0,0,0,0,4,5,-1
"CAR","2018-10-30","2018020169","20182019","BOS","1",8.3,3,1,0,0,0,0,0,0,0,4,5,-1
"CAR","2018-11-02","2018020194","20182019","ARI","0",3.67,0,0,1,1,0,0,0,0,0,3,0,3
"CAR","2018-11-03","2018020204","20182019","VGK","0",8,1,3,3,0,0,0,0,0,0,7,3,4
"CAR","2018-11-06","2018020221","20182019","STL","0",6.2,0,2,2,1,0,0,0,0,0,1,4,-3
"CAR","2018-11-08","2018020233","20182019","CHI","0",4,1,0,0,0,0,0,0,0,0,1,2,-1
"CAR","2018-11-10","2018020250","20182019","DET","1",4,0,1,0,0,0,0,0,0,0,1,1,0
"CAR","2018-11-12","2018020261","20182019","CHI","1",0,0,0,0,0,0,0,0,0,0,0,0,0
"CAR","2018-11-17","2018020297","20182019","CBJ","1",8.17,0,0,2,2,0,0,0,0,0,6,6,0
"CAR","2018-11-18","2018020304","20182019","N.J","1",4.27,0,1,2,1,0,1,0,0,1,3,3,0
"CAR","2018-11-21","2018020323","20182019","TOR","1",4,0,1,0,0,0,0,0,0,0,3,1,2
"CAR","2018-11-23","2018020342","20182019","FLA","1",2,0,0,1,1,0,0,0,0,0,1,1,0
"CAR","2018-11-24","2018020352","20182019","NYI","0",0.52,0,0,0,0,0,1,0,0,1,1,0,1
"CAR","2018-11-27","2018020369","20182019","MTL","0",5.98,1,3,1,0,0,0,0,0,0,3,2,1
"CAR","2018-11-30","2018020392","20182019","ANA","1",4.93,1,5,0,1,0,0,0,0,0,2,0,2
"CAR","2018-12-02","2018020412","20182019","L.A","0",8,2,0,1,1,0,0,0,0,0,2,4,-2
"CAR","2018-12-05","2018020428","20182019","S.J","0",2.93,1,0,2,0,0,0,0,0,0,2,1,1
"CAR","2018-12-07","2018020443","20182019","ANA","0",7.13,0,0,0,4,1,1,0,0,0,2,2,0
"CAR","2018-12-11","2018020468","20182019","TOR","1",6.05,1,1,0,0,0,0,0,0,0,2,4,-2
"CAR","2018-12-13","2018020481","20182019","MTL","0",10,3,5,3,3,0,1,0,0,1,5,6,-1
