"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"CAR","2015-10-08","2015020009","20152016","NSH","0",46.68,9,15,5,81,13,17,10,3,2
"CAR","2015-10-10","2015020023","20152016","DET","1",49.5,11,17,9,91,15,18,11,2,2
"CAR","2015-10-13","2015020041","20152016","FLA","1",44.37,8,11,6,98,11,12,7,1,3
"CAR","2015-10-16","2015020060","20152016","DET","0",49.28,15,19,9,90,16,20,12,3,4
"CAR","2015-10-17","2015020070","20152016","WSH","0",50.7,8,18,15,73,10,18,21,3,4
"CAR","2015-10-21","2015020091","20152016","COL","0",46.72,13,8,9,102,15,9,12,3,3
"CAR","2015-10-23","2015020105","20152016","L.A","0",48.43,16,12,12,87,20,16,17,4,4
"CAR","2015-10-24","2015020117","20152016","S.J","0",52.08,11,14,4,97,15,18,8,2,4
"CAR","2015-10-27","2015020127","20152016","DET","0",50.65,10,16,8,115,12,19,9,1,1
"CAR","2015-10-29","2015020137","20152016","NYI","0",55.72,13,18,6,123,15,19,11,2,6
"CAR","2015-10-30","2015020148","20152016","COL","1",44.38,10,13,5,88,11,15,8,2,4
"CAR","2015-11-01","2015020165","20152016","T.B","1",47.97,10,16,11,94,12,16,12,0,4
"CAR","2015-11-06","2015020196","20152016","DAL","1",56.12,15,17,12,97,22,20,19,4,5
"CAR","2015-11-07","2015020204","20152016","OTT","1",53,21,16,9,105,24,16,11,3,8
"CAR","2015-11-10","2015020217","20152016","NYR","0",43.9,14,13,5,76,17,15,9,3,4
"CAR","2015-11-12","2015020233","20152016","MIN","1",59.4,10,19,9,104,15,23,15,5,4
"CAR","2015-11-14","2015020253","20152016","PHI","1",55.92,11,16,8,118,14,17,12,3,3
"CAR","2015-11-16","2015020262","20152016","ANA","1",53.57,12,12,10,121,16,16,16,5,6
"CAR","2015-11-20","2015020287","20152016","TOR","1",55.72,22,15,10,111,29,18,14,4,5
"CAR","2015-11-22","2015020304","20152016","L.A","1",51.32,11,12,9,104,18,15,19,7,3
"CAR","2015-11-23","2015020310","20152016","PHI","0",48.17,11,14,11,106,13,17,16,2,5
"CAR","2015-11-25","2015020323","20152016","EDM","1",50.62,10,14,11,111,12,19,16,4,4
"CAR","2015-11-27","2015020335","20152016","BUF","0",53.85,15,10,9,125,20,13,15,5,7
"CAR","2015-11-30","2015020356","20152016","NYR","0",50.92,13,18,4,113,18,19,7,3,4
"CAR","2015-12-03","2015020374","20152016","N.J","1",46.95,12,17,11,85,18,21,16,4,4
"CAR","2015-12-05","2015020392","20152016","MTL","1",44.3,9,13,19,78,11,15,27,6,6
"CAR","2015-12-06","2015020398","20152016","ARI","1",48.58,8,18,11,86,10,18,18,7,2
"CAR","2015-12-08","2015020415","20152016","DAL","0",53.47,15,22,7,114,20,26,10,1,3
"CAR","2015-12-11","2015020434","20152016","ANA","0",54.13,10,18,11,88,13,21,18,6,3
"CAR","2015-12-12","2015020442","20152016","ARI","0",50.78,9,22,8,110,11,25,11,2,5
"CAR","2015-12-15","2015020456","20152016","PHI","0",50.3,6,17,6,113,8,18,16,9,2
"CAR","2015-12-18","2015020479","20152016","FLA","1",47.28,19,15,6,87,21,18,12,5,6
"CAR","2015-12-19","2015020487","20152016","PIT","0",49.8,9,14,12,102,12,14,17,6,3
"CAR","2015-12-21","2015020502","20152016","WSH","1",50.28,11,8,8,117,13,12,10,2,5
"CAR","2015-12-26","2015020520","20152016","N.J","1",54.73,9,18,6,123,10,22,9,3,3
"CAR","2015-12-27","2015020530","20152016","CHI","0",55.2,10,12,15,122,14,14,22,5,4
"CAR","2015-12-29","2015020543","20152016","N.J","0",51.78,14,12,6,100,21,15,9,1,4
"CAR","2015-12-31","2015020558","20152016","WSH","1",53.15,13,21,11,106,16,23,13,0,2
"CAR","2016-01-02","2015020575","20152016","NSH","1",49.08,13,18,7,95,15,21,14,6,3
"CAR","2016-01-04","2015020586","20152016","EDM","0",56.78,15,12,9,115,20,13,12,3,5
"CAR","2016-01-06","2015020599","20152016","VAN","0",46.07,14,14,7,135,17,14,7,0,4
"CAR","2016-01-08","2015020609","20152016","CBJ","1",45.2,14,19,8,75,19,22,14,4,4
"CAR","2016-01-09","2015020618","20152016","CBJ","0",51.75,15,17,9,94,20,21,17,5,4
"CAR","2016-01-12","2015020635","20152016","PIT","1",54.72,6,18,7,117,9,22,10,1,4
"CAR","2016-01-14","2015020649","20152016","STL","0",45.42,13,12,8,101,18,12,10,2,6
"CAR","2016-01-15","2015020656","20152016","VAN","1",57.82,19,18,11,116,26,19,17,4,7
"CAR","2016-01-17","2015020670","20152016","PIT","0",45.82,7,17,8,96,11,24,14,6,3
"CAR","2016-01-21","2015020697","20152016","TOR","0",50.9,10,14,7,120,11,17,10,1,5
