"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"CBJ","2015-10-09","2015020013","20152016","NYR","1",46.28,20,53.66,57.69,57.97,60.66,1,4,22,19,30,22,40,29,1.51,0.98,-3,3,8,11,0.53
"CBJ","2015-10-10","2015020021","20152016","NYR","0",48.23,20,56.36,60.27,62.5,50.81,1,4,31,24,44,29,55,33,2.96,2.86,-3,7,15,22,0.09
"CBJ","2015-10-12","2015020034","20152016","BUF","0",40.93,0,40,40.43,38.98,39.65,0,1,14,21,19,28,23,36,0.72,1.1,-1,-7,-9,-13,-0.38
"CBJ","2015-10-14","2015020046","20152016","OTT","1",48.4,28.57,56.52,54.41,55.81,58.32,2,5,26,20,37,31,48,38,2.92,2.09,-3,6,6,10,0.83
"CBJ","2015-10-16","2015020059","20152016","TOR","1",48.97,28.57,40,42.86,44.83,36.02,2,5,20,30,30,40,39,48,1.28,2.27,-3,-10,-10,-9,-0.99
"CBJ","2015-10-17","2015020072","20152016","CHI","0",48.58,50,43.59,43.4,39.51,44.29,1,1,17,22,23,30,32,49,0.98,1.23,0,-5,-7,-17,-0.25
"CBJ","2015-10-20","2015020084","20152016","NYI","1",45.07,0,54.35,55.38,61.96,50.91,0,3,25,21,36,29,57,35,1.67,1.61,-3,4,7,22,0.06
"CBJ","2015-10-22","2015020096","20152016","MIN","0",52.25,33.33,56.82,55.56,53.57,49.6,1,2,25,19,35,28,45,39,1.31,1.34,-1,6,7,6,-0.02
"CBJ","2015-10-24","2015020115","20152016","COL","0",45.4,60,56.14,58.9,57.65,58.03,3,2,32,25,43,30,49,36,1.96,1.42,1,7,13,13,0.54
"CBJ","2015-10-27","2015020125","20152016","N.J","0",44.92,100,41.94,38.64,42.31,54.5,3,0,13,18,17,27,22,30,1.17,0.98,3,-5,-10,-8,0.19
"CBJ","2015-10-30","2015020147","20152016","WSH","0",48.4,33.33,47.83,46.88,43.59,41.12,1,2,22,24,30,34,34,44,1.3,1.86,-1,-2,-4,-10,-0.56
"CBJ","2015-10-31","2015020161","20152016","WPG","1",42.72,33.33,39.47,41.18,43.24,53.85,1,2,15,23,21,30,32,42,1.19,1.02,-1,-8,-9,-10,0.17
"CBJ","2015-11-03","2015020180","20152016","S.J","0",46.35,60,37.78,33.87,38.46,40.7,3,2,17,28,21,41,35,56,1.31,1.91,1,-11,-20,-21,-0.6
"CBJ","2015-11-05","2015020192","20152016","L.A","0",45.02,100,45,38.6,37.5,57.34,2,0,18,22,22,35,27,45,2.12,1.58,2,-4,-13,-18,0.54
"CBJ","2015-11-06","2015020199","20152016","ANA","0",49.2,33.33,50,47.14,45.78,41.09,1,2,27,27,33,37,38,45,1.84,2.64,-1,0,-4,-7,-0.8
"CBJ","2015-11-10","2015020219","20152016","VAN","1",50.18,0,56.14,57.58,58.7,66.59,0,4,32,25,38,28,54,38,3.72,1.87,-4,7,10,16,1.85
"CBJ","2015-11-13","2015020242","20152016","PIT","0",40.43,100,52.5,52.83,50,59.9,1,0,21,19,28,25,37,37,1.53,1.02,1,2,3,0,0.5
"CBJ","2015-11-14","2015020254","20152016","ARI","1",48.18,60,35.14,35.19,31.34,36.61,3,2,13,24,19,35,21,46,1.05,1.82,1,-11,-16,-25,-0.77
"CBJ","2015-11-17","2015020271","20152016","STL","1",47.27,66.67,65.22,60.66,58.33,72.94,2,1,30,16,37,24,49,35,2.96,1.1,1,14,13,14,1.86
"CBJ","2015-11-19","2015020283","20152016","OTT","0",43.93,0,47.5,50,48.24,65.08,0,2,19,21,29,29,41,44,2.49,1.34,-2,-2,0,-3,1.16
"CBJ","2015-11-20","2015020288","20152016","NSH","1",49.03,100,26.67,26.87,26.04,33.84,3,0,12,33,18,49,25,71,1.3,2.53,3,-21,-31,-46,-1.24
"CBJ","2015-11-22","2015020305","20152016","S.J","1",49.48,50,55.1,48.39,45.65,65.24,3,3,27,22,30,32,42,50,2.22,1.18,0,5,-2,-8,1.04
"CBJ","2015-11-25","2015020318","20152016","N.J","0",43.93,66.67,52.38,45.28,45.76,40.66,2,1,22,20,24,29,27,32,1.54,2.24,1,2,-5,-5,-0.71
"CBJ","2015-11-27","2015020337","20152016","PIT","1",47.42,100,63.79,60.56,57.32,68.59,2,0,37,21,43,28,47,35,3,1.37,2,16,15,12,1.62
"CBJ","2015-11-28","2015020347","20152016","STL","0",52.32,50,42.86,41.79,39.78,40.74,1,1,21,28,28,39,37,56,1.75,2.54,0,-7,-11,-19,-0.79
"CBJ","2015-12-01","2015020360","20152016","MTL","0",47.88,50,48.72,45.76,47.06,49.56,1,1,19,20,27,32,40,45,1.39,1.41,0,-1,-5,-5,-0.02
"CBJ","2015-12-04","2015020383","20152016","FLA","1",52.9,50,41.46,46.67,46.34,44.17,1,1,17,24,28,32,38,44,1.6,2.02,0,-7,-4,-6,-0.42
"CBJ","2015-12-05","2015020394","20152016","PHI","0",50.93,75,51.85,55.56,55.34,52.02,3,1,28,26,40,32,57,46,1.98,1.83,2,2,8,11,0.15
"CBJ","2015-12-08","2015020410","20152016","L.A","1",56.55,33.33,42.31,39.19,36.19,49.27,1,2,22,30,29,45,38,67,2.79,2.87,-1,-8,-16,-29,-0.08
"CBJ","2015-12-10","2015020426","20152016","WPG","0",50.43,33.33,35.29,37.88,42.68,34.82,2,4,18,33,25,41,35,47,1.61,3.02,-2,-15,-16,-12,-1.41
"CBJ","2015-12-12","2015020439","20152016","NYI","1",57.18,50,66.67,63.77,61.29,59.8,2,2,30,15,44,25,57,36,2.98,2,0,15,19,21,0.98
"CBJ","2015-12-14","2015020450","20152016","T.B","1",50.22,50,46.94,50,49.46,70.03,1,1,23,26,33,33,46,47,2.85,1.22,0,-3,0,-1,1.63
"CBJ","2015-12-15","2015020463","20152016","DAL","0",53.3,0,47.62,43.82,48.15,46.79,0,5,30,33,39,50,52,56,2.39,2.72,-5,-3,-11,-4,-0.33
"CBJ","2015-12-17","2015020476","20152016","ARI","0",50.82,60,46.34,45,39.29,48.48,6,4,19,22,27,33,33,51,1.98,2.11,2,-3,-6,-18,-0.12
"CBJ","2015-12-19","2015020488","20152016","PHI","1",50.07,0,46,49.3,42.27,55.29,0,2,23,27,35,36,41,56,2.53,2.04,-2,-4,-1,-15,0.48
"CBJ","2015-12-21","2015020501","20152016","PIT","0",49.27,50,43.14,37.31,37.65,34.95,2,2,22,29,25,42,32,53,1.21,2.25,0,-7,-17,-21,-1.04
"CBJ","2015-12-26","2015020518","20152016","T.B","0",41.58,50,59.57,57.38,51.81,62.79,2,2,28,19,35,26,43,40,1.63,0.97,0,9,9,3,0.66
