"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"CBJ","2016-10-13","2016020008","20162017","BOS","1",4.28,100,60,66.67,66.67,59.31,1,0,3,2,6,3,6,3,0.77,0.53,1,1,3,3,0.24
"CBJ","2016-10-15","2016020023","20162017","S.J","1",2.17,100,75,75,80,95.68,1,0,3,1,3,1,4,1,0.09,0,1,2,2,3,0.08
"CBJ","2016-10-21","2016020063","20162017","CHI","1",1.2,100,100,100,100,100,2,0,3,0,5,0,5,0,0.65,0,2,3,5,5,0.65
"CBJ","2016-10-22","2016020074","20162017","DAL","0",2.05,0,0,100,100,100,0,0,0,0,1,0,1,0,0.1,0,0,0,1,1,0.1
"CBJ","2016-10-25","2016020092","20162017","L.A","0",0.33,100,100,100,100,100,1,0,1,0,1,0,2,0,0.12,0,1,1,1,2,0.12
"CBJ","2016-10-27","2016020106","20162017","S.J","0",6,0,85.71,87.5,92.86,86.07,0,0,6,1,7,1,13,1,0.6,0.1,0,5,6,12,0.5
"CBJ","2016-10-28","2016020112","20162017","ANA","0",8.48,100,71.43,84.62,84.21,89.2,1,0,5,2,11,2,16,3,1.27,0.15,1,3,9,13,1.12
"CBJ","2016-11-01","2016020133","20162017","DAL","1",2,0,100,100,100,100,0,0,1,0,1,0,1,0,0.08,0,0,1,1,1,0.08
"CBJ","2016-11-04","2016020158","20162017","MTL","1",8.08,100,90.91,92.31,92.31,98.21,4,0,10,1,12,1,12,1,2.02,0.04,4,9,11,11,1.98
"CBJ","2016-11-05","2016020169","20162017","STL","0",6,0,100,100,100,100,0,0,4,0,5,0,10,0,0.3,0,0,4,5,10,0.3
"CBJ","2016-11-09","2016020193","20162017","ANA","1",6,0,100,100,83.33,100,0,0,2,0,3,0,5,1,0.38,0,0,2,3,4,0.38
"CBJ","2016-11-10","2016020196","20162017","BOS","0",5.83,0,100,100,87.5,100,0,0,3,0,6,0,7,1,0.39,0,0,3,6,6,0.39
"CBJ","2016-11-12","2016020219","20162017","STL","1",2.45,100,60,60,60,59.64,1,0,3,2,3,2,3,2,0.16,0.11,1,1,1,1,0.05
