"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"CBJ","2018-10-04","2018020010","20182019","DET","0",2.57,0,0,0,0,0,0,1,0,3,0,4,0,5,0,0.4,-1,-3,-4,-5,-0.4
"CBJ","2018-10-05","2018020015","20182019","CAR","1",2,0,100,50,50,25.28,0,0,1,0,1,1,1,1,0.01,0.04,0,1,0,0,-0.03
"CBJ","2018-10-09","2018020038","20182019","COL","1",6.3,0,14.29,18.18,16.67,8.76,0,1,1,6,2,9,2,10,0.09,0.97,-1,-5,-7,-8,-0.87
"CBJ","2018-10-11","2018020047","20182019","FLA","0",4,0,0,0,0,0,0,0,0,3,0,3,0,5,0,0.29,0,-3,-3,-5,-0.29
"CBJ","2018-10-13","2018020063","20182019","T.B","0",9.53,0,8.33,6.67,4.76,0.53,0,4,1,11,1,14,1,20,0.01,1.39,-4,-10,-13,-19,-1.38
"CBJ","2018-10-18","2018020092","20182019","PHI","1",4,0,0,0,0,0,0,0,0,6,0,7,0,8,0,0.62,0,-6,-7,-8,-0.62
"CBJ","2018-10-20","2018020109","20182019","CHI","1",4.52,0,40,50,50,50.49,0,0,2,3,4,4,4,4,0.22,0.22,0,-1,0,0,0
"CBJ","2018-10-23","2018020123","20182019","ARI","1",5.97,0,50,28.57,20,25.24,0,1,2,2,2,5,2,8,0.15,0.45,-1,0,-3,-6,-0.3
"CBJ","2018-10-25","2018020137","20182019","STL","0",4.22,0,0,0,0,0,0,1,0,3,0,5,0,7,0,0.8,-1,-3,-5,-7,-0.8
"CBJ","2018-10-27","2018020154","20182019","BUF","1",8.48,0,27.27,25,23.53,7.58,0,1,3,8,3,9,4,13,0.1,1.25,-1,-5,-6,-9,-1.15
"CBJ","2018-10-30","2018020170","20182019","DET","1",1.63,0,50,50,75,3.68,0,1,1,1,1,1,3,1,0.01,0.14,-1,0,0,2,-0.14
"CBJ","2018-11-01","2018020191","20182019","S.J","0",3.02,0,0,0,0,0,0,0,0,4,0,5,0,8,0,0.64,0,-4,-5,-8,-0.64
"CBJ","2018-11-03","2018020205","20182019","L.A","0",6.27,0,40,25,20,20.34,0,1,2,3,2,6,2,8,0.1,0.37,-1,-1,-4,-6,-0.28
"CBJ","2018-11-04","2018020209","20182019","ANA","0",7.52,0,25,20,18.18,7.73,0,0,2,6,2,8,2,9,0.05,0.62,0,-4,-6,-7,-0.57
"CBJ","2018-11-06","2018020217","20182019","DAL","1",3.3,0,0,0,0,0,0,1,0,4,0,5,0,7,0,0.31,-1,-4,-5,-7,-0.31
"CBJ","2018-11-09","2018020237","20182019","WSH","0",7.03,0,28.57,22.22,22.22,14.48,0,1,2,5,2,7,2,7,0.07,0.42,-1,-3,-5,-5,-0.35
