"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"CBJ","2018-10-04","2018020010","20182019","DET","0",50.45,4,3,13,20,2,6,0,0,4,36,28,8
"CBJ","2018-10-05","2018020015","20182019","CAR","1",50.7,7,4,9,16,1,2,0,0,1,23,20,3
"CBJ","2018-10-09","2018020038","20182019","COL","1",42.47,4,6,9,7,1,5,0,0,4,25,20,5
"CBJ","2018-10-11","2018020047","20182019","FLA","0",51.17,13,7,7,15,2,2,0,0,0,22,36,-14
"CBJ","2018-10-13","2018020063","20182019","T.B","0",39.63,4,5,18,22,7,5,0,0,-2,22,21,1
"CBJ","2018-10-18","2018020092","20182019","PHI","1",52,6,12,17,11,2,2,0,0,0,18,24,-6
"CBJ","2018-10-20","2018020109","20182019","CHI","1",48.12,1,1,12,4,0,4,0,0,4,24,23,1
"CBJ","2018-10-23","2018020123","20182019","ARI","1",48.03,9,4,13,11,5,5,0,0,0,26,23,3
"CBJ","2018-10-25","2018020137","20182019","STL","0",50.47,5,7,14,14,4,4,0,0,0,26,35,-9
"CBJ","2018-10-27","2018020154","20182019","BUF","1",46.07,5,5,12,4,3,3,0,0,0,24,28,-4
"CBJ","2018-10-30","2018020170","20182019","DET","1",47.4,15,3,19,12,1,3,0,0,2,28,25,3
"CBJ","2018-11-01","2018020191","20182019","S.J","0",53.32,1,3,26,18,2,2,0,0,0,21,37,-16
"CBJ","2018-11-03","2018020205","20182019","L.A","0",44.15,6,1,16,19,3,4,1,1,1,25,20,5
"CBJ","2018-11-04","2018020209","20182019","ANA","0",42.93,10,4,17,11,2,5,0,0,3,20,22,-2
"CBJ","2018-11-06","2018020217","20182019","DAL","1",47.72,6,4,22,17,2,3,0,0,1,22,20,2
"CBJ","2018-11-09","2018020237","20182019","WSH","0",45.9,8,7,22,15,4,1,0,0,-3,22,26,-4
"CBJ","2018-11-10","2018020251","20182019","NYR","1",57.53,9,5,26,21,2,2,1,1,0,34,20,14
"CBJ","2018-11-12","2018020262","20182019","DAL","0",45.88,6,6,12,23,3,2,1,1,-1,17,28,-11
