"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"CBJ","2015-10-09","2015020013","20152016","NYR","1",8.2,3,2,0,2,0,0,0,0,0,5,2,3
"CBJ","2015-10-10","2015020021","20152016","NYR","0",8.9,4,0,2,2,1,1,0,0,0,4,7,-3
"CBJ","2015-10-12","2015020034","20152016","BUF","0",3.85,0,0,0,0,0,0,0,0,0,5,0,5
"CBJ","2015-10-14","2015020046","20152016","OTT","1",6.42,0,0,1,0,1,1,0,0,0,6,2,4
"CBJ","2015-10-16","2015020059","20152016","TOR","1",7.57,1,1,2,2,0,0,0,0,0,4,2,2
"CBJ","2015-10-17","2015020072","20152016","CHI","0",4.07,0,0,1,0,0,0,0,0,0,4,0,4
"CBJ","2015-10-20","2015020084","20152016","NYI","1",11,1,1,2,0,0,0,1,1,0,10,2,8
"CBJ","2015-10-22","2015020096","20152016","MIN","0",3.12,0,0,0,1,0,0,0,0,0,0,4,-4
"CBJ","2015-10-24","2015020115","20152016","COL","0",5.93,1,0,0,1,1,0,0,0,-1,4,3,1
"CBJ","2015-10-27","2015020125","20152016","N.J","0",6,0,0,0,1,0,0,0,0,0,1,2,-1
"CBJ","2015-10-30","2015020147","20152016","WSH","0",6,0,0,0,1,0,0,0,0,0,4,5,-1
"CBJ","2015-10-31","2015020161","20152016","WPG","1",10,2,1,0,0,0,0,0,0,0,4,6,-2
"CBJ","2015-11-03","2015020180","20152016","S.J","0",3.8,3,0,0,0,0,0,0,0,0,3,1,2
"CBJ","2015-11-05","2015020192","20152016","L.A","0",6.42,0,0,2,6,0,0,0,0,0,6,4,2
"CBJ","2015-11-06","2015020199","20152016","ANA","0",3.9,0,0,0,1,0,1,0,0,1,3,3,0
"CBJ","2015-11-10","2015020219","20152016","VAN","1",2.23,1,0,0,0,0,0,0,0,0,3,1,2
"CBJ","2015-11-13","2015020242","20152016","PIT","0",6.2,0,0,0,0,0,0,0,0,0,2,4,-2
"CBJ","2015-11-14","2015020254","20152016","ARI","1",3.67,0,0,0,1,1,0,0,0,-1,1,3,-2
"CBJ","2015-11-17","2015020271","20152016","STL","1",8,0,0,0,1,0,0,0,0,0,5,3,2
"CBJ","2015-11-19","2015020283","20152016","OTT","0",5.75,1,0,1,1,0,1,0,0,1,6,2,4
"CBJ","2015-11-20","2015020288","20152016","NSH","1",2,0,0,0,0,0,0,0,0,0,1,2,-1
