"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"CBJ","2015-10-09","2015020013","20152016","NYR","1",46.28,9,18,10,75,12,25,16,4,1
"CBJ","2015-10-10","2015020021","20152016","NYR","0",48.23,7,19,5,110,14,22,10,2,6
"CBJ","2015-10-12","2015020034","20152016","BUF","0",40.93,5,13,9,77,5,16,13,1,0
"CBJ","2015-10-14","2015020046","20152016","OTT","1",48.4,9,20,7,76,16,24,15,8,5
"CBJ","2015-10-16","2015020059","20152016","TOR","1",48.97,10,19,15,81,16,23,24,6,6
"CBJ","2015-10-17","2015020072","20152016","CHI","0",48.58,5,9,12,86,9,10,17,6,4
"CBJ","2015-10-20","2015020084","20152016","NYI","1",45.07,8,15,6,91,10,16,12,3,0
"CBJ","2015-10-22","2015020096","20152016","MIN","0",52.25,24,13,14,85,27,16,19,2,11
"CBJ","2015-10-24","2015020115","20152016","COL","0",45.4,9,15,5,84,14,16,12,4,3
"CBJ","2015-10-27","2015020125","20152016","N.J","0",44.92,5,12,8,84,6,14,12,3,2
"CBJ","2015-10-30","2015020147","20152016","WSH","0",48.4,9,12,10,79,11,14,17,6,6
"CBJ","2015-10-31","2015020161","20152016","WPG","1",42.72,8,9,14,68,12,13,23,7,3
"CBJ","2015-11-03","2015020180","20152016","S.J","0",46.35,13,18,12,83,17,20,17,4,3
"CBJ","2015-11-05","2015020192","20152016","L.A","0",45.02,10,13,15,76,12,14,23,6,2
"CBJ","2015-11-06","2015020199","20152016","ANA","0",49.2,14,14,8,85,15,15,14,3,6
"CBJ","2015-11-10","2015020219","20152016","VAN","1",50.18,14,12,10,83,17,22,14,5,5
"CBJ","2015-11-13","2015020242","20152016","PIT","0",40.43,14,16,17,65,16,19,24,5,4
"CBJ","2015-11-14","2015020254","20152016","ARI","1",48.18,5,13,18,88,10,18,27,9,4
"CBJ","2015-11-17","2015020271","20152016","STL","1",47.27,12,12,8,78,16,14,13,5,9
"CBJ","2015-11-19","2015020283","20152016","OTT","0",43.93,13,11,7,100,18,15,13,3,5
"CBJ","2015-11-20","2015020288","20152016","NSH","1",49.03,5,11,11,94,9,15,19,5,1
"CBJ","2015-11-22","2015020305","20152016","S.J","1",49.48,12,16,9,93,16,23,17,5,3
"CBJ","2015-11-25","2015020318","20152016","N.J","0",43.93,7,13,7,96,11,17,11,4,6
"CBJ","2015-11-27","2015020337","20152016","PIT","1",47.42,11,16,12,80,15,20,14,1,4
"CBJ","2015-11-28","2015020347","20152016","STL","0",52.32,8,12,14,104,10,16,18,1,1
"CBJ","2015-12-01","2015020360","20152016","MTL","0",47.88,7,10,11,107,12,16,17,3,4
"CBJ","2015-12-04","2015020383","20152016","FLA","1",52.9,13,12,12,100,21,13,18,5,10
"CBJ","2015-12-05","2015020394","20152016","PHI","0",50.93,10,19,8,101,17,22,14,3,8
"CBJ","2015-12-08","2015020410","20152016","L.A","1",56.55,8,19,15,93,11,22,23,2,2
"CBJ","2015-12-10","2015020426","20152016","WPG","0",50.43,8,20,5,97,11,23,10,2,4
"CBJ","2015-12-12","2015020439","20152016","NYI","1",57.18,8,10,10,126,12,14,16,6,1
"CBJ","2015-12-14","2015020450","20152016","T.B","1",50.22,6,15,13,91,8,17,19,2,3
"CBJ","2015-12-15","2015020463","20152016","DAL","0",53.3,9,18,8,90,16,25,17,5,4
"CBJ","2015-12-17","2015020476","20152016","ARI","0",50.82,4,20,9,106,8,27,16,5,3
"CBJ","2015-12-19","2015020488","20152016","PHI","1",50.07,9,12,7,89,10,15,14,6,0
"CBJ","2015-12-21","2015020501","20152016","PIT","0",49.27,15,16,9,102,16,18,15,6,6
"CBJ","2015-12-26","2015020518","20152016","T.B","0",41.58,15,14,9,59,18,16,14,2,3
"CBJ","2015-12-27","2015020527","20152016","FLA","0",42.22,8,11,7,115,10,15,10,2,5
"CBJ","2015-12-29","2015020544","20152016","DAL","1",47.33,8,18,10,82,15,26,18,8,5
"CBJ","2016-01-02","2015020576","20152016","WSH","1",52.95,13,18,10,93,16,19,15,4,5
"CBJ","2016-01-05","2015020593","20152016","MIN","1",55.4,9,14,10,111,11,18,17,6,2
"CBJ","2016-01-08","2015020609","20152016","CAR","0",45.2,9,17,12,60,14,22,19,4,4
"CBJ","2016-01-09","2015020618","20152016","CAR","1",51.75,9,16,14,75,17,21,20,4,5
"CBJ","2016-01-12","2015020634","20152016","NYI","0",42.08,5,13,10,99,6,14,14,3,2
"CBJ","2016-01-13","2015020642","20152016","TOR","0",50.05,6,10,20,95,8,13,31,6,0
"CBJ","2016-01-16","2015020664","20152016","COL","1",48.92,11,7,13,103,15,8,20,5,5
"CBJ","2016-01-19","2015020685","20152016","WSH","1",51.6,9,16,11,89,14,19,21,6,3
"CBJ","2016-01-21","2015020696","20152016","CGY","1",54.83,9,14,6,113,17,15,10,3,10
"CBJ","2016-01-23","2015020711","20152016","BOS","0",47.93,18,11,8,89,22,16,12,4,9
"CBJ","2016-01-25","2015020728","20152016","MTL","1",50.8,12,15,15,102,13,16,23,4,2
"CBJ","2016-01-26","2015020734","20152016","MTL","0",44.43,12,18,3,85,20,23,11,5,7
"CBJ","2016-02-02","2015020753","20152016","EDM","0",46.58,12,15,11,90,19,19,17,4,4
"CBJ","2016-02-04","2015020769","20152016","VAN","0",55.07,12,13,15,126,15,16,18,2,4
"CBJ","2016-02-05","2015020773","20152016","CGY","0",56.37,11,14,16,101,16,18,32,11,7
"CBJ","2016-02-09","2015020798","20152016","NYI","1",60.48,12,20,21,101,20,26,34,8,7
"CBJ","2016-02-11","2015020811","20152016","ANA","1",53.6,11,15,4,114,15,17,4,0,5
"CBJ","2016-02-13","2015020829","20152016","OTT","1",49.52,11,17,11,76,15,20,21,5,2
"CBJ","2016-02-16","2015020850","20152016","BOS","1",50.22,15,15,11,83,21,17,19,5,7
"CBJ","2016-02-19","2015020871","20152016","BUF","1",43.88,11,5,12,82,16,7,16,4,2
"CBJ","2016-02-22","2015020889","20152016","BOS","0",49.9,13,22,9,87,18,26,13,5,4
"CBJ","2016-02-23","2015020896","20152016","DET","0",56.65,6,13,11,120,8,14,21,9,2
"CBJ","2016-02-25","2015020907","20152016","N.J","1",48.58,6,17,5,95,11,17,9,3,4
"CBJ","2016-02-27","2015020923","20152016","FLA","1",47.98,11,12,10,74,18,14,14,3,4
"CBJ","2016-02-29","2015020937","20152016","NYR","0",54.87,22,13,10,107,28,16,17,4,11
"CBJ","2016-03-04","2015020967","20152016","EDM","1",51.68,6,19,13,90,8,22,19,3,1
"CBJ","2016-03-05","2015020976","20152016","PHI","0",48,6,18,7,95,6,19,11,3,1
"CBJ","2016-03-08","2015020996","20152016","DET","1",40.83,12,11,6,75,15,13,12,6,2
"CBJ","2016-03-11","2015021013","20152016","PIT","1",49.03,17,13,9,87,24,15,14,4,6
"CBJ","2016-03-13","2015021031","20152016","T.B","1",44.83,10,12,9,87,19,12,13,3,4
"CBJ","2016-03-17","2015021055","20152016","DET","1",49.13,12,12,8,101,19,16,12,2,8
"CBJ","2016-03-19","2015021073","20152016","N.J","1",45.23,17,21,8,57,27,22,14,3,6
"CBJ","2016-03-20","2015021079","20152016","N.J","0",47.22,12,13,8,83,17,16,13,5,5
"CBJ","2016-03-22","2015021090","20152016","PHI","1",46.6,15,14,14,72,19,16,21,7,2
"CBJ","2016-03-24","2015021103","20152016","CAR","1",52.37,18,13,10,87,25,19,15,3,5
"CBJ","2016-03-26","2015021125","20152016","NSH","0",52.87,5,13,16,65,8,16,27,4,1
"CBJ","2016-03-28","2015021133","20152016","WSH","0",48,11,12,12,88,18,13,17,3,3
"CBJ","2016-03-31","2015021153","20152016","NYI","0",50.62,12,11,7,110,12,14,13,6,2
"CBJ","2016-04-02","2015021174","20152016","CAR","0",49.45,16,14,7,106,16,18,14,3,3
"CBJ","2016-04-04","2015021184","20152016","NYR","1",49.95,15,12,10,87,20,13,13,3,3
"CBJ","2016-04-06","2015021199","20152016","TOR","0",51.68,13,13,9,104,17,17,16,3,5
"CBJ","2016-04-08","2015021215","20152016","BUF","0",51.58,8,14,12,83,13,17,16,4,2
"CBJ","2016-04-09","2015021223","20152016","CHI","1",52.75,12,16,6,115,13,20,14,7,7
"CBJ","Total","-","20152016","-","-",49.09,866,1176,845,7441,1208,1435,1357,354,341
