"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"CBJ","2016-10-13","2016020008","20162017","BOS","1",4.28,3,0,0,6,3,0,1,1,0
"CBJ","2016-10-15","2016020023","20162017","S.J","1",2.17,4,0,0,1,4,0,0,0,0
"CBJ","2016-10-21","2016020063","20162017","CHI","1",1.2,2,0,0,0,2,0,0,0,0
"CBJ","2016-10-22","2016020074","20162017","DAL","0",2.05,2,0,0,2,2,0,0,0,0
"CBJ","2016-10-25","2016020092","20162017","L.A","0",0.33,1,0,0,0,1,0,0,0,0
"CBJ","2016-10-27","2016020106","20162017","S.J","0",6,3,1,0,4,4,1,0,0,0
"CBJ","2016-10-28","2016020112","20162017","ANA","0",8.48,5,1,0,7,5,1,0,0,0
"CBJ","2016-11-01","2016020133","20162017","DAL","1",2,2,0,0,1,2,0,0,0,0
"CBJ","2016-11-04","2016020158","20162017","MTL","1",8.08,5,1,1,4,5,1,1,0,0
"CBJ","2016-11-05","2016020169","20162017","STL","0",6,3,1,1,7,5,2,1,0,0
"CBJ","2016-11-09","2016020193","20162017","ANA","1",6,4,1,0,6,5,2,0,0,0
"CBJ","2016-11-10","2016020196","20162017","BOS","0",5.83,3,1,0,5,3,1,0,0,0
"CBJ","2016-11-12","2016020219","20162017","STL","1",2.45,2,0,1,3,2,0,1,0,0
"CBJ","2016-11-15","2016020232","20162017","WSH","1",5.68,4,1,0,7,5,2,0,0,0
"CBJ","2016-11-18","2016020257","20162017","NYR","1",4,2,0,0,5,2,0,0,0,0
"CBJ","2016-11-20","2016020271","20162017","WSH","0",2.42,3,0,0,2,4,0,0,0,0
"CBJ","2016-11-21","2016020278","20162017","COL","1",2,1,1,0,3,1,1,0,0,0
"CBJ","2016-11-23","2016020292","20162017","CGY","1",6,2,0,0,9,4,0,0,0,0
"CBJ","2016-11-25","2016020309","20162017","T.B","0",2.98,3,0,0,1,3,0,0,0,0
"CBJ","2016-11-26","2016020316","20162017","FLA","0",4,4,1,0,1,4,1,1,0,0
"CBJ","2016-11-29","2016020332","20162017","T.B","1",2,3,0,0,0,3,0,0,0,0
"CBJ","2016-12-01","2016020354","20162017","COL","0",7.33,7,1,0,8,7,1,0,0,0
"CBJ","2016-12-03","2016020368","20162017","ARI","0",7.22,4,0,0,8,5,0,1,1,0
"CBJ","2016-12-05","2016020381","20162017","ARI","1",8.97,7,0,1,12,7,0,1,0,0
"CBJ","2016-12-09","2016020406","20162017","DET","0",0,0,0,0,0,0,0,0,0,0
"CBJ","2016-12-10","2016020417","20162017","NYI","1",5.95,2,1,0,8,2,1,0,0,0
"CBJ","2016-12-13","2016020440","20162017","EDM","0",7.02,4,0,0,6,5,0,0,0,0
"CBJ","2016-12-16","2016020458","20162017","CGY","0",5.47,2,2,0,3,2,2,0,0,0
"CBJ","2016-12-18","2016020472","20162017","VAN","0",2.08,2,0,0,3,3,0,0,0,0
"CBJ","2016-12-20","2016020484","20162017","L.A","1",4,2,0,0,3,2,0,0,0,0
"CBJ","2016-12-22","2016020497","20162017","PIT","1",5.87,3,0,0,8,4,0,0,0,0
"CBJ","2016-12-23","2016020509","20162017","MTL","1",6.27,5,0,2,8,6,0,3,1,0
"CBJ","2016-12-27","2016020520","20162017","BOS","1",4.43,3,0,0,4,3,0,0,0,0
"CBJ","2016-12-29","2016020539","20162017","WPG","0",4.82,3,2,0,1,4,3,2,1,0
"CBJ","2016-12-31","2016020550","20162017","MIN","0",4,2,1,0,3,2,2,0,0,0
"CBJ","2017-01-03","2016020568","20162017","EDM","1",5.98,5,1,0,3,5,1,0,0,0
"CBJ","2017-01-05","2016020579","20162017","WSH","0",7.5,7,0,1,7,7,0,2,0,0
"CBJ","2017-01-07","2016020598","20162017","NYR","1",4.17,4,0,0,1,5,1,0,0,0
"CBJ","2017-01-08","2016020605","20162017","PHI","1",4,2,0,0,5,2,0,0,0,0
"CBJ","2017-01-10","2016020614","20162017","CAR","0",6.5,3,1,0,10,3,2,0,0,0
"CBJ","2017-01-13","2016020635","20162017","T.B","0",5.82,4,0,0,2,4,0,0,0,0
"CBJ","2017-01-14","2016020645","20162017","FLA","0",5.83,4,1,0,3,4,2,0,0,0
"CBJ","2017-01-17","2016020664","20162017","CAR","1",7.37,3,0,0,10,4,0,0,0,0
"CBJ","2017-01-19","2016020678","20162017","OTT","1",4.63,3,0,0,2,4,0,1,0,0
"CBJ","2017-01-21","2016020692","20162017","CAR","1",3.15,1,1,0,2,1,1,0,0,0
"CBJ","2017-01-22","2016020704","20162017","OTT","0",4.52,4,1,0,2,6,1,0,0,0
"CBJ","2017-01-24","2016020716","20162017","NYI","0",0,0,0,0,0,0,0,0,0,0
"CBJ","2017-01-26","2016020735","20162017","NSH","0",4,2,1,0,2,4,1,0,0,0
"CBJ","2017-01-31","2016020742","20162017","NYR","0",0,0,0,0,0,0,0,0,0,0
"CBJ","2017-02-03","2016020766","20162017","PIT","0",0,0,0,0,0,0,0,0,0,0
"CBJ","2017-02-04","2016020778","20162017","N.J","1",4,2,0,0,6,2,0,0,0,0
"CBJ","2017-02-07","2016020796","20162017","DET","0",4,2,0,0,3,2,0,1,0,0
"CBJ","2017-02-09","2016020807","20162017","VAN","1",3.07,2,0,0,1,2,0,0,0,0
"CBJ","2017-02-11","2016020820","20162017","DET","1",4,2,0,0,4,2,0,0,0,0
"CBJ","2017-02-13","2016020834","20162017","NYR","1",6.75,4,1,0,5,7,2,1,1,0
"CBJ","2017-02-15","2016020843","20162017","TOR","1",7.28,6,3,0,3,6,3,0,0,0
"CBJ","2017-02-17","2016020855","20162017","PIT","1",4.62,2,0,0,4,3,0,0,0,0
"CBJ","2017-02-19","2016020874","20162017","NSH","1",2,2,0,0,0,3,0,0,0,0
"CBJ","2017-02-25","2016020909","20162017","NYI","1",4,2,0,0,5,3,0,0,0,0
"CBJ","2017-02-26","2016020914","20162017","NYR","0",2.7,3,0,0,2,5,1,0,0,0
"CBJ","2017-02-28","2016020926","20162017","MTL","0",4,3,1,0,1,3,2,0,0,0
"CBJ","2017-03-02","2016020940","20162017","MIN","1",6.4,6,0,0,4,8,0,0,0,0
"CBJ","2017-03-04","2016020954","20162017","OTT","0",6.92,5,2,0,5,6,2,0,0,0
"CBJ","2017-03-05","2016020963","20162017","N.J","0",2,1,1,0,1,1,1,0,0,0
"CBJ","2017-03-07","2016020974","20162017","N.J","1",4,2,0,0,4,3,0,0,0,0
"CBJ","2017-03-10","2016020995","20162017","BUF","1",5.48,4,0,0,3,4,0,0,0,0
"CBJ","2017-03-11","2016021002","20162017","BUF","0",6,4,1,0,2,4,1,0,0,0
"CBJ","2017-03-13","2016021018","20162017","PHI","0",3.43,2,0,0,2,2,0,0,0,0
"CBJ","2017-03-16","2016021041","20162017","FLA","1",6,3,0,0,7,3,0,0,0,0
"CBJ","2017-03-18","2016021054","20162017","NYI","0",0,0,0,0,0,0,0,0,0,0
"CBJ","2017-03-19","2016021063","20162017","N.J","0",2,1,0,0,2,1,0,1,0,0
"CBJ","2017-03-22","2016021086","20162017","TOR","1",6.88,1,0,0,14,1,0,0,0,0
"CBJ","2017-03-23","2016021090","20162017","WSH","0",4,2,0,0,5,2,0,0,0,0
"CBJ","2017-03-25","2016021105","20162017","PHI","1",4,1,1,0,6,1,1,0,0,0
"CBJ","2017-03-28","2016021130","20162017","BUF","1",6,4,1,0,4,4,2,0,0,0
"CBJ","2017-03-30","2016021143","20162017","CAR","0",2,1,0,0,3,1,0,0,0,0
"CBJ","2017-03-31","2016021152","20162017","CHI","0",8,5,1,0,7,5,1,0,0,0
"CBJ","2017-04-02","2016021169","20162017","WSH","1",4.05,3,0,0,4,3,0,0,0,0
"CBJ","2017-04-04","2016021181","20162017","PIT","0",2,1,0,0,1,1,0,0,0,0
"CBJ","2017-04-06","2016021197","20162017","WPG","1",0,0,0,0,0,0,0,0,0,0
"CBJ","2017-04-08","2016021208","20162017","PHI","0",2.38,2,0,0,2,3,0,0,0,0
"CBJ","2017-04-09","2016021224","20162017","TOR","0",4,2,0,0,3,4,0,0,0,0
"CBJ","Total","-","20162017","-","-",4.3,229,34,7,311,265,46,18,5,0
