"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"CGY","2016-10-12","2016020003","20162017","EDM","0",42.38,20,54.17,56.25,56.96,42.07,1,4,26,22,36,28,45,34,1.45,1.99,-3,4,8,11,-0.55
"CGY","2016-10-14","2016020015","20162017","EDM","1",43.57,75,61.22,60.94,59.52,47.56,3,1,30,19,39,25,50,34,1.82,2.01,2,11,14,16,-0.19
"CGY","2016-10-15","2016020029","20162017","VAN","0",53.55,0,46.51,41.94,39.08,33.43,0,1,20,23,26,36,34,53,0.98,1.94,-1,-3,-10,-19,-0.97
"CGY","2016-10-18","2016020046","20162017","BUF","1",47.62,66.67,62.22,66.67,62.82,56.99,4,2,28,17,40,20,49,29,2.77,2.09,2,11,20,20,0.68
"CGY","2016-10-20","2016020059","20162017","CAR","1",35.3,50,43.59,49.06,47.83,38.96,2,2,17,22,26,27,33,36,1.37,2.15,0,-5,-1,-3,-0.78
"CGY","2016-10-22","2016020075","20162017","STL","1",45.92,57.14,38,41.1,44.68,28.19,4,3,19,31,30,43,42,52,1.3,3.31,1,-12,-13,-10,-2.01
"CGY","2016-10-24","2016020082","20162017","CHI","0",53.42,0,41.51,41.54,38.78,28.51,0,2,22,31,27,38,38,60,1.29,3.25,-2,-9,-11,-22,-1.95
"CGY","2016-10-25","2016020089","20162017","STL","0",48.73,100,58.54,44.44,42.11,57.19,2,0,24,17,28,35,32,44,2.11,1.58,2,7,-7,-12,0.53
"CGY","2016-10-28","2016020110","20162017","OTT","1",49.77,100,47.37,45.9,47.83,54.6,5,0,18,20,28,33,44,48,1.59,1.32,5,-2,-5,-4,0.27
"CGY","2016-10-30","2016020130","20162017","WSH","1",52.57,50,45.45,46.77,48.84,44.34,1,1,20,24,29,33,42,44,1.44,1.81,0,-4,-4,-2,-0.37
"CGY","2016-11-01","2016020139","20162017","CHI","0",45.42,0,64.29,56.9,57.83,59.79,0,3,27,15,33,25,48,35,1.73,1.16,-3,12,8,13,0.57
"CGY","2016-11-03","2016020157","20162017","S.J","0",44.58,75,55.26,45.28,48.72,42.13,3,1,21,17,24,29,38,40,1.34,1.84,2,4,-5,-2,-0.5
"CGY","2016-11-05","2016020172","20162017","L.A","0",48.3,0,40,46.05,46.39,40.17,0,5,20,30,35,41,45,52,1.54,2.3,-5,-10,-6,-7,-0.75
"CGY","2016-11-06","2016020179","20162017","ANA","0",53.07,33.33,60.53,57.89,60,46.97,1,2,23,15,33,24,45,30,1.12,1.27,-1,8,9,15,-0.14
"CGY","2016-11-10","2016020204","20162017","DAL","1",50.8,50,56.82,55.56,57.14,63.39,2,2,25,19,30,24,44,33,2.49,1.44,0,6,6,11,1.05
"CGY","2016-11-12","2016020222","20162017","NYR","1",50.4,0,58.49,56.34,60,55.47,0,4,31,22,40,31,57,38,2.07,1.66,-4,9,9,19,0.41
"CGY","2016-11-15","2016020237","20162017","MIN","0",45.93,0,41.03,37.5,40.51,16.15,0,0,16,23,21,35,32,47,0.4,2.09,0,-7,-14,-15,-1.69
"CGY","2016-11-16","2016020244","20162017","ARI","1",49.47,66.67,52.63,55.93,65.91,63.06,2,1,20,18,33,26,58,30,1.92,1.13,1,2,7,28,0.8
"CGY","2016-11-18","2016020259","20162017","CHI","1",49.92,50,54.35,49.25,46.67,44.78,2,2,25,21,33,34,42,48,1.94,2.4,0,4,-1,-6,-0.45
