"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"CGY","2019-10-03","2019020011","20192020","COL","0",5.32,100,85.71,90,90,99.44,2,0,6,1,9,1,9,1,0.88,0,2,5,8,8,0.88
"CGY","2019-10-05","2019020028","20192020","VAN","1",7.1,0,71.43,81.82,83.33,96.37,0,0,5,2,9,2,10,2,0.87,0.03,0,3,7,8,0.84
"CGY","2019-10-08","2019020042","20192020","L.A","1",4,0,50,75,80,77.07,0,0,1,1,3,1,4,1,0.21,0.06,0,0,2,3,0.15
"CGY","2019-10-10","2019020055","20192020","DAL","0",3.18,100,100,100,100,100,1,0,1,0,1,0,2,0,0.05,0,1,1,1,2,0.05
"CGY","2019-10-12","2019020074","20192020","VGK","0",8.02,0,92.86,94.74,95.65,96.59,0,0,13,1,18,1,22,1,1.34,0.05,0,12,17,21,1.29
"CGY","2019-10-13","2019020077","20192020","S.J","0",7.2,0,66.67,83.33,80,75.58,0,1,2,1,5,1,8,2,0.52,0.17,-1,1,4,6,0.35
"CGY","2019-10-15","2019020088","20192020","PHI","1",3.75,0,50,60,71.43,58.73,0,0,2,2,3,2,5,2,0.11,0.08,0,0,1,3,0.03
"CGY","2019-10-17","2019020103","20192020","DET","1",8.13,100,90,91.67,93.33,99.41,2,0,9,1,11,1,14,1,0.87,0.01,2,8,10,13,0.87
"CGY","2019-10-19","2019020122","20192020","L.A","0",7.72,0,83.33,83.33,80,65.37,0,1,5,1,5,1,8,2,0.68,0.36,-1,4,4,6,0.32
"CGY","2019-10-20","2019020128","20192020","ANA","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CGY","2019-10-22","2019020142","20192020","WSH","1",6.47,100,85.71,85.71,90,81.77,1,0,6,1,6,1,9,1,0.3,0.07,1,5,5,8,0.23
"CGY","2019-10-24","2019020153","20192020","FLA","1",4.52,100,100,100,100,100,1,0,5,0,9,0,12,0,0.78,0,1,5,9,12,0.78
"CGY","2019-10-26","2019020168","20192020","WPG","0",5.7,100,85.71,87.5,87.5,98.43,1,0,6,1,7,1,7,1,0.75,0.01,1,5,6,6,0.74
"CGY","2019-10-29","2019020183","20192020","CAR","0",4.22,0,100,100,100,100,0,0,5,0,5,0,8,0,0.76,0,0,5,5,8,0.76
"CGY","2019-10-31","2019020194","20192020","NSH","0",5.3,0,33.33,50,66.67,47.08,0,2,1,2,3,3,6,3,0.16,0.18,-2,-1,0,3,-0.02
"CGY","2019-11-02","2019020211","20192020","CBJ","0",4,0,66.67,60,50,75.67,0,0,2,1,3,2,3,3,0.23,0.08,0,1,1,0,0.16
"CGY","2019-11-03","2019020218","20192020","WSH","0",2,0,100,100,100,100,0,0,2,0,2,0,2,0,0.24,0,0,2,2,2,0.24
"CGY","2019-11-05","2019020231","20192020","ARI","1",8.9,100,75,78.26,79.17,81.02,2,0,12,4,18,5,19,5,1.39,0.33,2,8,13,14,1.07
"CGY","2019-11-07","2019020245","20192020","N.J","1",9.6,100,81.82,84.62,83.33,99.18,2,0,9,2,11,2,15,3,0.73,0.01,2,7,9,12,0.73
"CGY","2019-11-09","2019020261","20192020","STL","1",3.08,0,66.67,75,80,78.48,0,0,2,1,3,1,4,1,0.22,0.06,0,1,2,3,0.16
"CGY","2019-11-13","2019020284","20192020","DAL","1",7.35,100,88.89,92.86,92.86,95.63,1,0,8,1,13,1,13,1,1.61,0.07,1,7,12,12,1.54
"CGY","2019-11-16","2019020302","20192020","ARI","0",6,0,100,100,100,100,0,0,8,0,11,0,16,0,0.75,0,0,8,11,16,0.75
"CGY","2019-11-17","2019020315","20192020","VGK","0",1.33,0,0,100,100,100,0,0,0,0,1,0,1,0,0.02,0,0,0,1,1,0.02
"CGY","2019-11-19","2019020328","20192020","COL","1",2,0,100,100,100,100,0,0,6,0,6,0,7,0,0.51,0,0,6,6,7,0.51
