"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"CGY","2016-10-12","2016020003","20162017","EDM","0",11.18,66.67,62.5,41.67,30,56.5,2,1,5,3,5,7,6,14,0.84,0.65,1,2,-2,-8,0.19
"CGY","2016-10-14","2016020015","20162017","EDM","1",5.47,0,0,0,0,0,0,2,0,8,0,9,0,11,0,1.18,-2,-8,-9,-11,-1.18
"CGY","2016-10-15","2016020029","20162017","VAN","0",7.4,0,11.11,9.09,5.88,11.51,0,0,1,8,1,10,1,16,0.08,0.64,0,-7,-9,-15,-0.56
"CGY","2016-10-18","2016020046","20162017","BUF","1",6,0,33.33,12.5,20,1.5,0,1,1,2,1,7,2,8,0.01,0.55,-1,-1,-6,-6,-0.54
"CGY","2016-10-20","2016020059","20162017","CAR","1",12.13,0,0,7.69,9.09,0.99,0,2,0,7,1,12,2,20,0.01,1.1,-2,-7,-11,-18,-1.09
"CGY","2016-10-22","2016020075","20162017","STL","1",7.47,0,12.5,15.38,13.33,8.03,0,2,1,7,2,11,2,13,0.09,1.02,-2,-6,-9,-11,-0.93
"CGY","2016-10-24","2016020082","20162017","CHI","0",4,0,25,20,12.5,22.63,0,0,1,3,1,4,1,7,0.1,0.34,0,-2,-3,-6,-0.24
"CGY","2016-10-25","2016020089","20162017","STL","0",6.28,0,0,0,0,0,0,1,0,7,0,10,0,12,0,0.82,-1,-7,-10,-12,-0.82
"CGY","2016-10-28","2016020110","20162017","OTT","1",5.35,0,0,0,0,0,0,2,0,9,0,13,0,18,0,1.3,-2,-9,-13,-18,-1.3
"CGY","2016-10-30","2016020130","20162017","WSH","1",2.58,0,0,0,0,0,0,1,0,4,0,5,0,6,0,0.58,-1,-4,-5,-6,-0.58
"CGY","2016-11-01","2016020139","20162017","CHI","0",6.52,50,33.33,33.33,22.22,37.56,1,1,2,4,2,4,2,7,0.21,0.35,0,-2,-2,-5,-0.14
"CGY","2016-11-03","2016020157","20162017","S.J","0",9.67,0,12.5,7.69,4.76,1.31,0,1,1,7,1,12,1,20,0.01,0.76,-1,-6,-11,-19,-0.75
"CGY","2016-11-05","2016020172","20162017","L.A","0",5.7,0,0,0,0,0,0,0,0,9,0,14,0,16,0,0.91,0,-9,-14,-16,-0.91
"CGY","2016-11-06","2016020179","20162017","ANA","0",2.93,0,0,0,14.29,0,0,2,0,3,0,3,1,6,0,0.3,-2,-3,-3,-5,-0.3
"CGY","2016-11-10","2016020204","20162017","DAL","1",4.8,0,66.67,50,50,18.9,0,1,2,1,2,2,3,3,0.08,0.36,-1,1,0,0,-0.28
"CGY","2016-11-12","2016020222","20162017","NYR","1",4,0,0,0,0,0,0,0,0,5,0,8,0,9,0,0.55,0,-5,-8,-9,-0.55
"CGY","2016-11-15","2016020237","20162017","MIN","0",3.95,0,50,40,33.33,17.78,0,0,2,2,2,3,2,4,0.04,0.18,0,0,-1,-2,-0.14
"CGY","2016-11-16","2016020244","20162017","ARI","1",5.65,0,0,0,0,0,0,0,0,3,0,5,0,7,0,0.36,0,-3,-5,-7,-0.36
"CGY","2016-11-18","2016020259","20162017","CHI","1",0.98,0,0,0,0,0,0,1,0,1,0,2,0,2,0,0.15,-1,-1,-2,-2,-0.15
"CGY","2016-11-20","2016020274","20162017","DET","0",4,0,50,25,42.86,31.43,0,0,1,1,1,3,3,4,0.09,0.19,0,0,-2,-1,-0.1
"CGY","2016-11-21","2016020276","20162017","BUF","0",8.22,0,11.11,8.33,5.56,0.6,0,3,1,8,1,11,1,17,0.01,1.04,-3,-7,-10,-16,-1.04
"CGY","2016-11-23","2016020292","20162017","CBJ","0",6,0,40,33.33,33.33,29.62,0,0,2,3,2,4,2,4,0.21,0.5,0,-1,-2,-2,-0.29
"CGY","2016-11-25","2016020308","20162017","BOS","0",9.13,0,25,31.58,27.27,14.71,0,0,3,9,6,13,6,16,0.17,1,0,-6,-7,-10,-0.83
"CGY","2016-11-27","2016020327","20162017","PHI","0",11.12,66.67,20,19.05,16,19.38,2,1,3,12,4,17,4,21,0.33,1.38,1,-9,-13,-17,-1.05
"CGY","2016-11-28","2016020328","20162017","NYI","0",8,0,0,0,0,0,0,0,0,5,0,9,0,10,0,0.65,0,-5,-9,-10,-0.65
"CGY","2016-11-30","2016020343","20162017","TOR","1",4,0,11.11,8.33,7.69,1.86,0,0,1,8,1,11,1,12,0.03,1.33,0,-7,-10,-11,-1.31
