"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"CGY","2018-10-03","2018020003","20182019","VAN","0",42.62,6,1,16,16,1,7,1,1,6,28,18,10
"CGY","2018-10-06","2018020028","20182019","VAN","1",44.18,14,10,15,15,4,4,0,0,0,24,24,0
"CGY","2018-10-09","2018020039","20182019","NSH","0",48.37,4,5,5,12,4,3,0,0,-1,21,28,-7
"CGY","2018-10-11","2018020054","20182019","STL","0",40.13,0,4,13,15,6,4,0,0,-2,21,18,3
"CGY","2018-10-13","2018020070","20182019","COL","0",46.25,3,7,14,16,3,5,0,0,2,25,19,6
"CGY","2018-10-17","2018020088","20182019","BOS","1",44.88,18,12,13,16,3,3,0,0,0,20,18,2
"CGY","2018-10-19","2018020101","20182019","NSH","1",50.62,21,9,14,12,3,2,0,0,-1,27,30,-3
"CGY","2018-10-21","2018020115","20182019","NYR","0",53.4,4,7,22,29,2,2,0,0,0,28,17,11
"CGY","2018-10-23","2018020124","20182019","MTL","0",44.33,12,9,22,31,4,5,0,0,1,21,18,3
"CGY","2018-10-25","2018020141","20182019","PIT","1",50.82,9,8,16,10,2,3,0,0,1,34,23,11
"CGY","2018-10-27","2018020151","20182019","WSH","1",56.92,11,8,22,21,2,2,0,0,0,25,25,0
"CGY","2018-10-29","2018020165","20182019","TOR","0",50.03,11,9,20,28,3,3,0,0,0,25,30,-5
"CGY","2018-10-30","2018020167","20182019","BUF","0",46.98,9,2,10,22,2,4,0,0,2,24,25,-1
"CGY","2018-11-01","2018020187","20182019","COL","1",48.12,12,13,12,30,2,1,1,2,0,26,22,4
"CGY","2018-11-03","2018020203","20182019","CHI","1",44.1,26,12,5,6,1,1,0,1,1,21,16,5
"CGY","2018-11-07","2018020226","20182019","ANA","0",49.1,15,6,6,11,2,1,0,0,-1,23,20,3
"CGY","2018-11-10","2018020252","20182019","L.A","0",51.02,9,4,15,17,3,1,0,0,-2,18,27,-9
"CGY","2018-11-11","2018020258","20182019","S.J","0",53.18,3,6,17,19,4,2,0,0,-2,22,20,2
"CGY","2018-11-15","2018020283","20182019","MTL","1",52.05,9,6,19,22,2,1,0,0,-1,28,27,1
"CGY","2018-11-17","2018020301","20182019","EDM","1",48.18,22,6,18,17,3,7,0,0,4,31,27,4
"CGY","2018-11-19","2018020315","20182019","VGK","1",50.37,17,8,12,30,2,6,0,0,4,24,22,2
"CGY","2018-11-21","2018020329","20182019","WPG","1",51.15,13,10,12,11,6,2,0,0,-4,31,26,5
"CGY","2018-11-23","2018020338","20182019","VGK","0",52.27,4,9,20,36,2,1,0,0,-1,23,19,4
"CGY","2018-11-25","2018020358","20182019","ARI","0",43.63,7,7,8,28,3,4,0,0,1,28,18,10
"CGY","2018-11-28","2018020380","20182019","DAL","1",49.05,12,8,6,10,0,4,0,0,4,25,26,-1
"CGY","2018-11-30","2018020394","20182019","L.A","1",55.4,14,17,16,21,0,1,0,0,1,20,19,1
"CGY","2018-12-02","2018020411","20182019","CHI","0",40.37,6,7,15,15,5,3,1,2,-1,15,19,-4
"CGY","2018-12-04","2018020420","20182019","CBJ","0",50.48,3,7,11,10,2,3,0,0,1,31,22,9
"CGY","2018-12-06","2018020435","20182019","MIN","1",44.67,14,10,12,13,5,3,0,0,-2,22,14,8
"CGY","2018-12-08","2018020453","20182019","NSH","1",53.45,14,9,11,19,1,3,0,0,2,21,19,2
"CGY","2018-12-09","2018020459","20182019","EDM","0",44.8,14,8,24,31,5,2,1,1,-3,21,13,8
"CGY","2018-12-12","2018020477","20182019","PHI","1",42.15,14,11,9,13,4,5,0,0,1,19,17,2
"CGY","2018-12-15","2018020495","20182019","MIN","0",47.32,5,2,12,9,3,2,3,3,-1,25,27,-2
"CGY","2018-12-16","2018020507","20182019","STL","0",49.05,10,13,6,15,0,2,0,0,2,27,25,2
"CGY","2018-12-18","2018020523","20182019","DAL","0",46.33,4,4,13,21,2,3,0,0,1,19,30,-11
"CGY","2018-12-20","2018020537","20182019","T.B","1",55,8,14,18,13,3,1,0,0,-2,32,29,3
"CGY","2018-12-22","2018020548","20182019","STL","1",50,17,4,12,21,1,4,0,0,3,27,23,4
"CGY","2018-12-27","2018020574","20182019","WPG","0",47.37,12,3,13,16,3,4,0,0,1,18,24,-6
"CGY","2018-12-29","2018020596","20182019","VAN","1",47.17,18,15,13,15,3,4,0,0,1,28,14,14
"CGY","2018-12-31","2018020609","20182019","S.J","1",50.83,17,12,18,17,3,6,1,1,3,30,28,2
"CGY","2019-01-02","2018020616","20182019","DET","0",50.03,14,4,6,13,1,5,0,0,4,37,27,10
"CGY","2019-01-03","2018020622","20182019","BOS","0",49.62,19,9,21,26,1,3,0,0,2,26,14,12
"CGY","2019-01-05","2018020636","20182019","PHI","0",50.8,12,8,12,23,3,3,0,0,0,21,25,-4
"CGY","2019-01-07","2018020655","20182019","CHI","0",49.63,5,12,13,15,3,2,0,0,-1,24,25,-1
"CGY","2019-01-09","2018020669","20182019","COL","1",48.23,12,13,10,17,4,2,0,0,-2,14,18,-4
"CGY","2019-01-11","2018020685","20182019","FLA","1",55.72,19,13,14,24,2,1,0,0,-1,26,24,2
"CGY","2019-01-13","2018020704","20182019","ARI","1",52.2,26,16,19,18,3,1,0,0,-2,32,24,8
"CGY","2019-01-16","2018020723","20182019","BUF","1",50.73,16,16,14,16,2,3,0,0,1,20,31,-11
"CGY","2019-01-18","2018020737","20182019","DET","1",45.8,19,13,6,16,4,1,0,0,-3,31,21,10
"CGY","2019-01-19","2018020749","20182019","EDM","0",38.35,7,6,6,13,5,5,0,0,0,26,19,7
"CGY","2019-01-22","2018020763","20182019","CAR","1",52.73,19,7,10,13,1,3,0,0,2,35,22,13
"CGY","2019-02-01","2018020785","20182019","WSH","0",48.25,5,9,14,32,4,2,0,0,-2,31,27,4
"CGY","2019-02-03","2018020804","20182019","CAR","0",44.6,6,3,17,16,3,4,0,0,1,22,20,2
"CGY","2019-02-07","2018020835","20182019","S.J","1",45.85,14,8,14,11,2,6,0,0,4,27,18,9
"CGY","2019-02-09","2018020850","20182019","VAN","0",48.18,6,2,9,31,5,3,0,0,-2,25,22,3
"CGY","2019-02-12","2018020868","20182019","T.B","0",46.98,10,6,16,20,2,3,0,0,1,21,22,-1
"CGY","2019-02-14","2018020877","20182019","FLA","0",53.82,14,9,20,23,1,4,0,0,3,20,31,-11
"CGY","2019-02-16","2018020893","20182019","PIT","0",47.58,7,6,35,29,5,4,2,2,-1,17,25,-8
