"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"CGY","2015-10-07","2015020003","20152016","VAN","1",5.52,0,2,0,0,0,1,0,0,1,5,2,3
"CGY","2015-10-10","2015020028","20152016","VAN","0",5.37,0,0,1,0,0,0,0,0,0,5,2,3
"CGY","2015-10-13","2015020044","20152016","STL","1",0.45,0,0,0,0,0,0,0,0,0,0,2,-2
"CGY","2015-10-16","2015020061","20152016","WPG","0",8,1,1,1,1,0,0,0,0,0,4,2,2
"CGY","2015-10-17","2015020073","20152016","EDM","1",7.33,0,0,1,0,0,0,0,0,0,1,6,-5
"CGY","2015-10-20","2015020087","20152016","WSH","1",4.42,1,0,0,0,0,0,0,0,0,3,3,0
"CGY","2015-10-23","2015020103","20152016","DET","1",4.77,0,1,1,1,0,1,0,0,1,2,3,-1
"CGY","2015-10-25","2015020119","20152016","NYR","0",4,1,0,2,0,0,0,0,0,0,1,2,-1
"CGY","2015-10-26","2015020121","20152016","NYI","0",5.85,0,1,1,0,0,0,0,0,0,2,3,-1
"CGY","2015-10-28","2015020134","20152016","OTT","0",8,0,1,0,0,0,0,0,0,0,4,5,-1
"CGY","2015-10-30","2015020152","20152016","MTL","1",5.53,3,0,0,0,0,0,0,0,0,4,2,2
"CGY","2015-10-31","2015020163","20152016","EDM","0",7.18,0,0,0,0,0,0,0,0,0,2,8,-6
"CGY","2015-11-03","2015020178","20152016","COL","0",4.77,0,0,0,0,0,0,0,0,0,2,2,0
"CGY","2015-11-05","2015020190","20152016","PHI","1",4,0,0,1,0,0,0,0,0,0,2,4,-2
"CGY","2015-11-07","2015020209","20152016","PIT","1",3.97,1,1,0,1,0,0,0,0,0,2,0,2
"CGY","2015-11-10","2015020222","20152016","FLA","0",2.37,0,0,0,0,0,0,0,0,0,2,1,1
"CGY","2015-11-12","2015020235","20152016","T.B","0",2.47,0,0,0,0,0,0,0,0,0,2,1,1
"CGY","2015-11-13","2015020243","20152016","WSH","0",2.2,0,0,0,0,0,1,0,0,1,0,5,-5
"CGY","2015-11-15","2015020260","20152016","CHI","0",2.63,2,0,1,0,0,0,0,0,0,2,2,0
"CGY","2015-11-17","2015020274","20152016","N.J","1",4.37,1,0,0,1,0,1,0,0,1,1,3,-2
"CGY","2015-11-20","2015020291","20152016","CHI","1",3.17,0,0,0,0,0,0,0,0,0,1,3,-2
"CGY","2015-11-24","2015020316","20152016","ANA","0",0.55,1,0,0,0,0,0,0,0,0,0,2,-2
"CGY","2015-11-27","2015020341","20152016","ARI","0",3.77,1,0,0,1,0,1,0,0,1,0,4,-4
"CGY","2015-11-28","2015020352","20152016","S.J","0",2.63,0,0,0,0,1,0,0,0,-1,1,3,-2
