"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"CGY","2016-10-12","2016020003","20162017","EDM","0",42.38,9,16,7,99,10,20,13,4,2
"CGY","2016-10-14","2016020015","20162017","EDM","1",43.57,14,14,7,74,15,15,14,5,5
"CGY","2016-10-15","2016020029","20162017","VAN","0",53.55,10,13,14,148,12,18,20,3,1
"CGY","2016-10-18","2016020046","20162017","BUF","1",47.62,12,17,8,89,15,18,15,5,3
"CGY","2016-10-20","2016020059","20162017","CAR","1",35.3,7,13,10,70,8,13,17,4,2
"CGY","2016-10-22","2016020075","20162017","STL","1",45.92,12,21,8,78,15,26,12,3,5
"CGY","2016-10-24","2016020082","20162017","CHI","0",53.42,12,16,19,85,17,23,24,5,3
"CGY","2016-10-25","2016020089","20162017","STL","0",48.73,7,11,10,103,11,13,20,6,3
"CGY","2016-10-28","2016020110","20162017","OTT","1",49.77,11,15,17,86,12,18,32,10,4
"CGY","2016-10-30","2016020130","20162017","WSH","1",52.57,10,17,9,96,16,19,15,3,7
"CGY","2016-11-01","2016020139","20162017","CHI","0",45.42,11,12,8,109,13,12,12,4,5
"CGY","2016-11-03","2016020157","20162017","S.J","0",44.58,9,13,5,90,13,15,12,7,3
"CGY","2016-11-05","2016020172","20162017","L.A","0",48.3,11,15,12,88,13,17,15,3,2
"CGY","2016-11-06","2016020179","20162017","ANA","0",53.07,12,15,8,110,16,19,10,2,5
"CGY","2016-11-10","2016020204","20162017","DAL","1",50.8,22,19,6,94,28,21,8,1,9
"CGY","2016-11-12","2016020222","20162017","NYR","1",50.4,14,12,9,95,17,14,11,1,3
"CGY","2016-11-15","2016020237","20162017","MIN","0",45.93,11,10,13,81,14,11,19,6,2
"CGY","2016-11-16","2016020244","20162017","ARI","1",49.47,18,13,5,88,22,19,15,7,7
"CGY","2016-11-18","2016020259","20162017","CHI","1",49.92,15,13,13,70,18,15,18,3,5
"CGY","2016-11-20","2016020274","20162017","DET","0",52.22,9,18,7,100,10,20,11,3,3
"CGY","2016-11-21","2016020276","20162017","BUF","0",46.65,8,20,5,92,12,21,11,3,1
"CGY","2016-11-23","2016020292","20162017","CBJ","0",46.58,6,10,11,85,7,13,18,5,1
"CGY","2016-11-25","2016020308","20162017","BOS","0",47.62,12,16,15,97,15,16,24,9,3
"CGY","2016-11-27","2016020327","20162017","PHI","0",46.93,11,19,8,82,14,23,19,7,5
"CGY","2016-11-28","2016020328","20162017","NYI","0",51.45,11,15,11,115,15,18,17,3,4
"CGY","2016-11-30","2016020343","20162017","TOR","1",52,9,11,9,96,15,13,16,7,2
"CGY","2016-12-02","2016020357","20162017","MIN","1",50.45,18,13,10,124,21,16,12,2,6
"CGY","2016-12-04","2016020375","20162017","ANA","1",47.65,17,16,9,85,18,19,15,4,4
"CGY","2016-12-06","2016020390","20162017","DAL","0",54.27,3,17,21,104,7,20,26,2,4
"CGY","2016-12-08","2016020403","20162017","ARI","0",48.02,13,14,10,96,19,17,14,3,4
"CGY","2016-12-10","2016020419","20162017","WPG","1",47.17,12,15,10,125,15,18,20,8,4
"CGY","2016-12-14","2016020443","20162017","T.B","1",45.05,10,11,13,79,13,13,24,8,6
"CGY","2016-12-16","2016020458","20162017","CBJ","1",46.15,6,11,8,93,13,12,14,5,5
"CGY","2016-12-19","2016020480","20162017","ARI","0",42.72,20,11,15,64,24,14,17,2,9
"CGY","2016-12-20","2016020492","20162017","S.J","0",47.95,8,14,12,93,10,18,16,2,1
"CGY","2016-12-23","2016020514","20162017","VAN","1",46.63,8,13,12,71,10,18,19,6,2
"CGY","2016-12-27","2016020524","20162017","COL","0",46.08,9,14,6,106,13,19,11,5,6
"CGY","2016-12-29","2016020541","20162017","ANA","1",42,11,11,5,69,16,11,8,3,4
"CGY","2016-12-31","2016020556","20162017","ARI","1",43.17,13,12,8,71,15,15,17,5,1
"CGY","2017-01-04","2016020575","20162017","COL","1",44.03,10,12,9,76,15,14,18,6,6
"CGY","2017-01-06","2016020589","20162017","VAN","0",47.77,15,13,5,123,20,17,9,4,5
"CGY","2017-01-07","2016020601","20162017","VAN","1",49.9,7,14,6,99,10,19,16,7,2
"CGY","2017-01-09","2016020611","20162017","WPG","0",45.48,10,9,8,93,12,11,14,4,5
"CGY","2017-01-11","2016020623","20162017","S.J","1",54.27,14,15,9,96,18,16,13,4,8
"CGY","2017-01-13","2016020638","20162017","N.J","1",47.77,10,15,11,82,13,16,15,3,2
"CGY","2017-01-14","2016020649","20162017","EDM","0",57.75,8,13,8,128,13,15,17,9,4
"CGY","2017-01-17","2016020669","20162017","FLA","1",44.62,7,11,6,96,13,14,11,3,5
"CGY","2017-01-19","2016020682","20162017","NSH","1",44.32,11,14,5,69,17,15,9,2,4
"CGY","2017-01-21","2016020700","20162017","EDM","1",44.7,17,16,5,104,19,22,10,4,5
"CGY","2017-01-23","2016020710","20162017","TOR","0",44.03,13,10,9,76,15,14,15,4,2
"CGY","2017-01-24","2016020718","20162017","MTL","0",47.08,8,19,3,79,10,27,5,2,1
"CGY","2017-01-26","2016020733","20162017","OTT","0",52.27,13,13,6,105,23,23,13,5,8
"CGY","2017-02-01","2016020756","20162017","MIN","1",49.38,12,15,13,89,14,16,22,2,0
"CGY","2017-02-03","2016020769","20162017","N.J","0",54.73,15,22,11,76,24,25,14,3,5
"CGY","2017-02-05","2016020786","20162017","NYR","0",55.58,10,17,7,138,13,18,14,3,2
"CGY","2017-02-07","2016020792","20162017","PIT","0",53,6,13,14,141,8,13,22,6,3
"CGY","2017-02-13","2016020835","20162017","ARI","1",50.25,12,10,10,73,18,17,15,5,6
"CGY","2017-02-15","2016020845","20162017","PHI","1",45.97,15,11,13,72,16,18,26,7,2
"CGY","2017-02-18","2016020867","20162017","VAN","0",42.82,13,10,5,106,15,14,9,1,2
"CGY","2017-02-21","2016020888","20162017","NSH","0",51.12,10,17,11,85,15,23,20,5,2
"CGY","2017-02-23","2016020896","20162017","T.B","0",46.73,8,14,16,116,12,16,20,2,4
"CGY","2017-02-24","2016020901","20162017","FLA","0",50.28,10,14,9,100,12,20,16,4,5
"CGY","2017-02-26","2016020913","20162017","CAR","0",55.2,5,13,11,133,9,17,22,10,3
"CGY","2017-02-28","2016020931","20162017","L.A","1",57.18,14,16,20,88,20,18,26,5,4
"CGY","2017-03-03","2016020950","20162017","DET","1",53.47,9,14,14,91,12,20,22,4,2
"CGY","2017-03-05","2016020962","20162017","NYI","1",49.13,12,14,10,83,20,19,14,2,3
"CGY","2017-03-09","2016020990","20162017","MTL","1",53.62,17,18,12,91,25,21,14,1,4
"CGY","2017-03-11","2016021005","20162017","WPG","0",46.67,11,11,10,102,15,14,15,2,5
"CGY","2017-03-13","2016021020","20162017","PIT","1",53.27,9,20,15,139,11,25,20,6,3
"CGY","2017-03-15","2016021034","20162017","BOS","1",47.38,9,16,14,77,14,17,18,2,4
"CGY","2017-03-17","2016021051","20162017","DAL","1",55.58,11,16,10,106,14,19,14,4,4
"CGY","2017-03-19","2016021069","20162017","L.A","1",48.55,6,17,12,82,9,20,18,4,3
"CGY","2017-03-21","2016021078","20162017","WSH","0",52.5,8,16,11,91,10,18,16,2,3
"CGY","2017-03-23","2016021096","20162017","NSH","0",44.08,9,10,8,80,11,12,12,3,2
"CGY","2017-03-25","2016021113","20162017","STL","0",58.47,12,15,14,113,17,17,17,4,6
"CGY","2017-03-27","2016021126","20162017","COL","1",50.18,11,14,8,80,14,19,15,5,1
"CGY","2017-03-29","2016021138","20162017","L.A","1",37.87,16,14,11,62,23,16,18,5,7
"CGY","2017-03-31","2016021154","20162017","S.J","1",49.23,10,12,20,130,16,13,26,4,6
"CGY","2017-04-02","2016021174","20162017","ANA","1",49,10,16,7,96,12,17,14,5,0
"CGY","2017-04-04","2016021189","20162017","ANA","0",45.37,13,12,6,60,15,17,11,4,5
"CGY","2017-04-06","2016021204","20162017","L.A","0",50.58,5,14,9,90,11,18,21,11,6
"CGY","2017-04-08","2016021219","20162017","S.J","0",50.25,4,13,7,116,8,18,11,1,1
"CGY","Total","-","20162017","-","-",48.69,896,1164,821,7732,1198,1418,1318,353,311
