"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"CGY","2017-10-04","2017020003","20172018","EDM","0",4,0,1,4,4,0,1,4,0,0
"CGY","2017-10-07","2017020027","20172018","WPG","1",4.67,1,0,4,3,2,0,4,0,0
"CGY","2017-10-09","2017020038","20172018","ANA","0",6.58,0,2,6,8,0,2,7,0,0
"CGY","2017-10-11","2017020050","20172018","L.A","0",8.18,1,2,6,8,1,2,8,0,0
"CGY","2017-10-13","2017020061","20172018","OTT","1",12.47,0,1,13,14,0,1,14,0,0
"CGY","2017-10-14","2017020074","20172018","VAN","0",12.82,1,1,7,28,1,1,8,0,0
"CGY","2017-10-19","2017020102","20172018","CAR","1",10.27,0,3,8,10,0,3,8,0,0
"CGY","2017-10-21","2017020120","20172018","MIN","1",4.72,0,1,4,5,0,1,4,0,0
"CGY","2017-10-24","2017020132","20172018","NSH","0",3.48,0,2,2,2,0,2,3,0,0
"CGY","2017-10-25","2017020137","20172018","STL","0",3.57,0,0,5,2,0,0,5,0,0
"CGY","2017-10-27","2017020154","20172018","DAL","1",4.48,1,0,3,3,1,0,3,0,0
"CGY","2017-10-29","2017020169","20172018","WSH","1",4,0,1,4,3,1,2,5,0,1
"CGY","2017-11-02","2017020195","20172018","PIT","1",2,0,0,2,1,0,0,2,0,0
"CGY","2017-11-05","2017020216","20172018","N.J","1",2.87,1,1,2,5,1,1,2,0,1
"CGY","2017-11-07","2017020230","20172018","VAN","1",4.37,0,0,3,9,0,0,3,0,0
"CGY","2017-11-09","2017020239","20172018","DET","1",4.65,0,0,7,3,0,0,7,0,0
"CGY","2017-11-13","2017020266","20172018","STL","1",1.18,0,0,1,2,0,0,1,0,0
"CGY","2017-11-15","2017020275","20172018","DET","0",7.53,0,2,5,9,0,3,6,0,0
"CGY","2017-11-18","2017020292","20172018","PHI","0",3.92,0,0,5,4,0,0,5,0,0
"CGY","2017-11-20","2017020312","20172018","WSH","0",6,0,0,4,7,0,0,5,0,0
"CGY","2017-11-22","2017020327","20172018","CBJ","0",3.72,0,1,2,4,0,2,2,0,0
"CGY","2017-11-24","2017020345","20172018","DAL","0",6.67,1,1,9,5,1,1,10,0,0
"CGY","2017-11-25","2017020356","20172018","COL","0",5.02,0,0,4,4,0,0,6,0,0
"CGY","2017-11-28","2017020374","20172018","TOR","1",3.13,0,0,4,3,0,0,5,0,0
"CGY","2017-11-30","2017020386","20172018","ARI","1",4,0,1,3,3,0,1,3,0,0
"CGY","2017-12-02","2017020407","20172018","EDM","1",4,0,2,4,2,0,3,5,0,0
