"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"CHI","2017-10-05","2017020010","20172018","PIT","1",47.45,100,62.5,59.21,60.19,71.73,10,0,40,24,45,31,65,43,3.52,1.39,10,16,14,22,2.13
"CHI","2017-10-07","2017020025","20172018","CBJ","1",53.48,80,41.51,39.34,41.46,41.42,4,1,22,31,24,37,34,48,1.22,1.73,3,-9,-13,-14,-0.51
"CHI","2017-10-09","2017020035","20172018","TOR","0",44.43,40,26.09,29.69,32.14,23.89,2,3,12,34,19,45,27,57,1.21,3.86,-1,-22,-26,-30,-2.65
"CHI","2017-10-10","2017020041","20172018","MTL","0",44.52,66.67,43.75,43.48,38.78,36.7,2,1,21,27,30,39,38,60,1.29,2.23,1,-6,-9,-22,-0.94
"CHI","2017-10-12","2017020054","20172018","MIN","1",45.65,33.33,50.91,50.75,51.72,46.7,1,2,28,27,34,33,45,42,1.8,2.05,-1,1,1,3,-0.25
"CHI","2017-10-14","2017020071","20172018","NSH","1",46.82,100,44.64,41.77,46.15,57.17,2,0,25,31,33,46,48,56,2.72,2.03,2,-6,-13,-8,0.68
"CHI","2017-10-18","2017020093","20172018","STL","0",36.22,0,36.11,42.31,51.32,35.42,0,4,13,23,22,30,39,37,1,1.83,-4,-10,-8,2,-0.83
"CHI","2017-10-19","2017020100","20172018","EDM","1",52.4,50,38.98,44,49.53,33.43,1,1,23,36,33,42,53,54,1.43,2.84,0,-13,-9,-1,-1.41
"CHI","2017-10-21","2017020119","20172018","ARI","0",52.57,50,50.98,50,51.82,50.05,2,2,26,25,41,41,57,53,2.23,2.22,0,1,0,4,0
"CHI","2017-10-24","2017020135","20172018","VGK","0",44.45,33.33,51.11,48.33,48.86,44,1,2,23,22,29,31,43,45,1.89,2.4,-1,1,-2,-2,-0.51
"CHI","2017-10-27","2017020153","20172018","NSH","1",37.92,0,50,51.72,53.66,46.76,0,1,23,23,30,28,44,38,1.25,1.42,-1,0,2,6,-0.17
