"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"CHI","2018-10-04","2018020009","20182019","OTT","0",5.23,0,71.43,81.82,81.25,84.65,0,0,5,2,9,2,13,3,0.67,0.12,0,3,7,10,0.55
"CHI","2018-10-06","2018020024","20182019","STL","0",4.6,0,66.67,60,66.67,82.47,0,0,2,1,3,2,4,2,0.19,0.04,0,1,1,2,0.15
"CHI","2018-10-07","2018020030","20182019","TOR","1",6,0,50,66.67,83.33,65.76,0,0,1,1,2,1,5,1,0.17,0.09,0,0,1,4,0.08
"CHI","2018-10-11","2018020056","20182019","MIN","0",6.18,100,100,100,100,100,1,0,6,0,7,0,8,0,0.88,0,1,6,7,8,0.88
"CHI","2018-10-13","2018020068","20182019","STL","1",4.87,100,80,80,80,90.62,2,0,8,2,8,2,8,2,1.14,0.12,2,6,6,6,1.02
"CHI","2018-10-18","2018020095","20182019","ARI","1",4,0,60,66.67,66.67,80.84,0,0,3,2,4,2,4,2,0.21,0.05,0,1,2,2,0.16
"CHI","2018-10-20","2018020109","20182019","CBJ","0",4.52,0,60,50,50,49.51,0,0,3,2,4,4,4,4,0.22,0.22,0,1,0,0,0
"CHI","2018-10-21","2018020116","20182019","T.B","1",6.5,0,100,100,100,100,0,0,9,0,9,0,12,0,0.72,0,0,9,9,12,0.72
"CHI","2018-10-23","2018020127","20182019","ANA","1",7.03,100,100,100,100,100,1,0,9,0,9,0,12,0,0.94,0,1,9,9,12,0.94
"CHI","2018-10-25","2018020139","20182019","NYR","1",8,0,100,100,100,100,0,0,9,0,10,0,12,0,1.02,0,0,9,10,12,1.02
"CHI","2018-10-27","2018020155","20182019","STL","0",2,0,100,100,100,100,0,0,1,0,2,0,2,0,0.18,0,0,1,2,2,0.18
"CHI","2018-10-28","2018020162","20182019","EDM","1",8,100,66.67,60,75,59.13,1,0,2,1,3,2,6,2,0.41,0.28,1,1,1,4,0.13
"CHI","2018-10-31","2018020178","20182019","VAN","0",3.67,100,100,100,100,100,1,0,2,0,6,0,8,0,0.55,0,1,2,6,8,0.55
"CHI","2018-11-01","2018020188","20182019","EDM","0",6,0,75,70,72.73,75.74,0,1,6,2,7,3,8,3,0.62,0.2,-1,4,4,5,0.42
"CHI","2018-11-03","2018020203","20182019","CGY","0",5.27,100,100,100,100,100,1,0,1,0,2,0,4,0,0.34,0,1,1,2,4,0.34
"CHI","2018-11-08","2018020233","20182019","CAR","1",4,0,50,71.43,71.43,54.16,0,0,1,1,5,2,5,2,0.3,0.25,0,0,3,3,0.05
"CHI","2018-11-10","2018020243","20182019","PHI","0",4.78,0,75,87.5,90,79.61,0,1,3,1,7,1,9,1,0.64,0.16,-1,2,6,8,0.47
"CHI","2018-11-12","2018020261","20182019","CAR","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHI","2018-11-14","2018020273","20182019","STL","1",2.58,100,75,80,80,98.05,1,0,3,1,4,1,4,1,0.35,0.01,1,2,3,3,0.34
"CHI","2018-11-16","2018020288","20182019","L.A","1",6,0,75,80,83.33,69.28,0,0,6,2,8,2,10,2,0.59,0.26,0,4,6,8,0.33
"CHI","2018-11-18","2018020305","20182019","MIN","1",4.9,100,83.33,85.71,87.5,73.5,1,0,5,1,6,1,7,1,0.42,0.15,1,4,5,6,0.27
"CHI","2018-11-21","2018020322","20182019","WSH","0",4.2,0,100,100,100,100,0,0,3,0,4,0,4,0,0.26,0,0,3,4,4,0.26
"CHI","2018-11-23","2018020341","20182019","T.B","0",3.85,0,100,100,100,100,0,0,5,0,10,0,10,0,1.51,0,0,5,10,10,1.51
"CHI","2018-11-24","2018020351","20182019","FLA","0",4,0,100,100,100,100,0,0,5,0,6,0,9,0,0.33,0,0,5,6,9,0.33
"CHI","2018-11-27","2018020374","20182019","VGK","1",3,0,100,100,100,100,0,0,1,0,2,0,2,0,0.16,0,0,1,2,2,0.16
"CHI","2018-11-29","2018020387","20182019","WPG","0",4,0,100,100,100,100,0,0,1,0,3,0,4,0,0.22,0,0,1,3,4,0.22
"CHI","2018-12-01","2018020404","20182019","NSH","0",2,0,0,50,50,63.23,0,0,0,1,1,1,1,1,0.1,0.06,0,-1,0,0,0.04
"CHI","2018-12-02","2018020411","20182019","CGY","1",7.17,100,100,100,100,100,1,0,4,0,5,0,7,0,0.41,0,1,4,5,7,0.41
"CHI","2018-12-05","2018020427","20182019","ANA","0",6,0,83.33,85.71,87.5,99.47,0,0,5,1,6,1,7,1,0.61,0,0,4,5,6,0.6
"CHI","2018-12-06","2018020438","20182019","VGK","0",6.43,0,50,70,75,79.13,0,0,3,3,7,3,12,4,0.62,0.16,0,0,4,8,0.46
"CHI","2018-12-09","2018020457","20182019","MTL","1",14.97,100,93.75,90.48,94.44,85.78,1,0,15,1,19,2,34,2,1.21,0.2,1,14,17,32,1.01
"CHI","2018-12-11","2018020473","20182019","WPG","0",2.85,0,100,87.5,77.78,95.01,0,0,5,0,7,1,7,2,0.54,0.03,0,5,6,5,0.51
"CHI","2018-12-12","2018020476","20182019","PIT","1",2.37,100,100,100,100,100,1,0,1,0,1,0,1,0,0.11,0,1,1,1,1,0.11
"CHI","2018-12-14","2018020493","20182019","WPG","1",2.62,0,100,100,100,100,0,0,3,0,4,0,4,0,0.28,0,0,3,4,4,0.28
"CHI","2018-12-16","2018020509","20182019","S.J","1",8,0,75,83.33,87.5,99.07,0,0,3,1,5,1,7,1,0.39,0,0,2,4,6,0.38
"CHI","2018-12-18","2018020522","20182019","NSH","1",4.28,100,100,100,100,100,1,0,5,0,5,0,8,0,0.51,0,1,5,5,8,0.51
"CHI","2018-12-20","2018020536","20182019","DAL","0",1.1,100,100,100,100,100,1,0,2,0,4,0,5,0,0.31,0,1,2,4,5,0.31
"CHI","2018-12-21","2018020544","20182019","COL","0",6,0,100,100,87.5,100,0,0,6,0,6,0,7,1,0.71,0,0,6,6,6,0.71
"CHI","2018-12-23","2018020562","20182019","FLA","1",4.23,100,100,100,100,100,1,0,5,0,6,0,9,0,0.35,0,1,5,6,9,0.35
"CHI","2018-12-27","2018020575","20182019","MIN","1",5.1,100,83.33,66.67,75,84.29,2,0,5,1,6,3,9,3,0.45,0.08,2,4,3,6,0.36
"CHI","2018-12-29","2018020595","20182019","COL","0",5.23,100,100,100,100,100,2,0,10,0,12,0,14,0,1.54,0,2,10,12,14,1.54
"CHI","2019-01-01","2018020612","20182019","BOS","1",7.12,0,85.71,87.5,90.91,97.5,0,0,6,1,7,1,10,1,0.41,0.01,0,5,6,9,0.4
"CHI","2019-01-03","2018020624","20182019","NYI","0",2.63,100,66.67,66.67,80,52.14,1,0,2,1,2,1,4,1,0.12,0.11,1,1,1,3,0.01
"CHI","2019-01-06","2018020650","20182019","PIT","0",4.35,100,50,60,77.78,96.83,1,0,2,2,3,2,7,2,0.27,0.01,1,0,1,5,0.26
"CHI","2019-01-07","2018020655","20182019","CGY","1",4.02,0,0,50,80,94.14,0,0,0,1,1,1,4,1,0.06,0,0,-1,0,3,0.06
"CHI","2019-01-09","2018020668","20182019","NSH","1",2.8,100,100,83.33,87.5,88.59,1,0,3,0,5,1,7,1,0.39,0.05,1,3,4,6,0.34
"CHI","2019-01-12","2018020694","20182019","VGK","1",5.47,100,100,100,100,100,2,0,5,0,5,0,8,0,0.47,0,2,5,5,8,0.47
"CHI","2019-01-14","2018020707","20182019","N.J","0",6.28,100,50,77.78,80,94.14,1,0,2,2,7,2,8,2,0.45,0.03,1,0,5,6,0.43
"CHI","2019-01-17","2018020728","20182019","NYR","0",5.22,100,100,100,100,100,2,0,4,0,7,0,8,0,0.7,0,2,4,7,8,0.7
