"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±"
"CHI","2017-10-05","2017020010","20172018","PIT","1",2,0,0,0,0,0,0,1,0,4,0,4,0,5,0,0.33,-1,-4,-4,-5,-0.33
"CHI","2017-10-07","2017020025","20172018","CBJ","1",4,0,50,28.57,33.33,14.34,0,0,2,2,2,5,3,6,0.04,0.26,0,0,-3,-3,-0.22
"CHI","2017-10-09","2017020035","20172018","TOR","0",8.37,0,27.27,20,17.65,1.56,0,1,3,8,3,12,3,14,0.02,1.39,-1,-5,-9,-11,-1.36
"CHI","2017-10-10","2017020041","20172018","MTL","0",9.38,0,14.29,11.11,10.53,4.76,0,0,2,12,2,16,2,17,0.06,1.21,0,-10,-14,-15,-1.15
"CHI","2017-10-12","2017020054","20172018","MIN","1",7.23,0,37.5,33.33,26.67,6.47,0,1,3,5,3,6,4,11,0.05,0.74,-1,-2,-3,-7,-0.69
"CHI","2017-10-14","2017020071","20172018","NSH","1",5,0,33.33,25,27.27,1.61,0,1,2,4,2,6,3,8,0.01,0.45,-1,-2,-4,-5,-0.44
"CHI","2017-10-18","2017020093","20172018","STL","0",9.47,0,0,0,5.26,0,0,0,0,8,0,12,1,18,0,1.27,0,-8,-12,-17,-1.27
"CHI","2017-10-19","2017020100","20172018","EDM","1",2.98,0,0,0,0,0,0,1,0,5,0,6,0,6,0,0.57,-1,-5,-6,-6,-0.57
"CHI","2017-10-21","2017020119","20172018","ARI","0",6,0,0,0,7.69,0,0,0,0,3,0,8,1,12,0,0.63,0,-3,-8,-11,-0.63
"CHI","2017-10-24","2017020135","20172018","VGK","0",8.97,33.33,10,6.25,5,8.17,1,2,1,9,1,15,1,19,0.15,1.64,-1,-8,-14,-18,-1.5
"CHI","2017-10-27","2017020153","20172018","NSH","1",9.72,50,63.64,58.33,43.75,74.34,1,1,7,4,7,5,7,9,1.51,0.52,0,3,2,-2,0.99
"CHI","2017-10-28","2017020165","20172018","COL","0",7.5,0,25,30,25,9.86,0,2,2,6,3,7,3,9,0.07,0.65,-2,-4,-4,-6,-0.58
"CHI","2017-11-01","2017020181","20172018","PHI","1",6,0,11.11,9.09,12.5,2.7,0,0,1,8,1,10,2,14,0.03,1.01,0,-7,-9,-12,-0.98
"CHI","2017-11-04","2017020208","20172018","MIN","0",4,0,25,12.5,22.22,0.49,0,0,1,3,1,7,2,7,0,0.85,0,-2,-6,-5,-0.84
"CHI","2017-11-05","2017020215","20172018","MTL","1",5.97,0,0,0,0,0,0,0,0,5,0,10,0,13,0,0.71,0,-5,-10,-13,-0.71
"CHI","2017-11-09","2017020236","20172018","PHI","0",4,0,0,0,0,0,0,0,0,6,0,6,0,7,0,0.35,0,-6,-6,-7,-0.35
"CHI","2017-11-11","2017020256","20172018","CAR","0",6,0,66.67,60,37.5,56.11,0,0,2,1,3,2,3,5,0.35,0.27,0,1,1,-2,0.08
"CHI","2017-11-12","2017020262","20172018","N.J","1",4.8,0,14.29,9.09,8.33,4.06,0,2,1,6,1,10,1,11,0.05,1.23,-2,-5,-9,-10,-1.18
"CHI","2017-11-15","2017020276","20172018","NYR","1",6,0,0,0,0,0,0,0,0,5,0,5,0,7,0,0.36,0,-5,-5,-7,-0.36
"CHI","2017-11-18","2017020300","20172018","PIT","0",5.65,0,0,0,0,0,0,0,0,6,0,6,0,10,0,0.62,0,-6,-6,-10,-0.62
"CHI","2017-11-22","2017020328","20172018","T.B","0",9.52,0,0,0,5.56,0,0,1,0,10,0,15,1,17,0,1.26,-1,-10,-15,-16,-1.26
"CHI","2017-11-25","2017020352","20172018","FLA","0",4,0,0,0,0,0,0,0,0,8,0,11,0,13,0,0.89,0,-8,-11,-13,-0.89
"CHI","2017-11-27","2017020366","20172018","ANA","1",3.98,0,0,0,0,0,0,1,0,5,0,8,0,10,0,0.78,-1,-5,-8,-10,-0.78
"CHI","2017-11-28","2017020373","20172018","NSH","0",7.5,0,12.5,9.09,6.25,27.92,0,1,1,7,1,10,1,15,0.42,1.08,-1,-6,-9,-14,-0.66
"CHI","2017-11-30","2017020385","20172018","DAL","1",4.78,0,0,0,0,0,0,0,0,5,0,7,0,10,0,0.98,0,-5,-7,-10,-0.98
"CHI","2017-12-02","2017020406","20172018","DAL","0",6.95,0,22.22,25,16.67,2.93,0,1,2,7,3,9,3,15,0.02,0.66,-1,-5,-6,-12,-0.64
"CHI","2017-12-03","2017020408","20172018","L.A","1",1.6,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0.14,0,-3,-3,-3,-0.14
"CHI","2017-12-06","2017020427","20172018","WSH","0",3.22,0,14.29,11.11,10,7.09,0,1,1,6,1,8,1,9,0.06,0.73,-1,-5,-7,-8,-0.67
"CHI","2017-12-08","2017020442","20172018","BUF","1",4.15,50,42.86,50,40,51.3,1,1,3,4,4,4,4,6,0.36,0.34,0,-1,0,-2,0.02
"CHI","2017-12-10","2017020457","20172018","ARI","1",2,0,0,0,0,0,0,0,0,1,0,2,0,4,0,0.15,0,-1,-2,-4,-0.15
"CHI","2017-12-12","2017020473","20172018","FLA","1",4,0,0,0,0,0,0,0,0,4,0,6,0,8,0,0.56,0,-4,-6,-8,-0.56
"CHI","2017-12-14","2017020485","20172018","WPG","0",2.08,0,0,0,0,0,0,1,0,2,0,3,0,3,0,0.11,-1,-2,-3,-3,-0.11
"CHI","2017-12-17","2017020508","20172018","MIN","1",3.43,0,33.33,20,14.29,1.26,0,0,1,2,1,4,1,6,0,0.32,0,-1,-3,-5,-0.32
"CHI","2017-12-21","2017020535","20172018","DAL","0",4.82,0,50,25,16.67,5.34,0,1,2,2,2,6,2,10,0.03,0.54,-1,0,-4,-8,-0.51
"CHI","2017-12-23","2017020547","20172018","N.J","0",0.2,0,0,50,50,60.35,0,1,0,1,1,1,1,1,0.15,0.1,-1,-1,0,0,0.05
"CHI","2017-12-28","2017020573","20172018","VAN","0",6,0,0,14.29,11.11,13.82,0,0,0,4,1,6,1,8,0.07,0.46,0,-4,-5,-7,-0.39
"CHI","2017-12-29","2017020585","20172018","EDM","0",3.43,0,0,0,0,0,0,1,0,5,0,6,0,8,0,0.84,-1,-5,-6,-8,-0.84
"CHI","2017-12-31","2017020599","20172018","CGY","0",0.97,0,0,0,0,0,0,2,0,3,0,3,0,5,0,0.53,-2,-3,-3,-5,-0.53
"CHI","2018-01-03","2017020615","20172018","NYR","0",11.13,0,25,16.67,13.04,8.36,0,1,3,9,3,15,3,20,0.16,1.77,-1,-6,-12,-17,-1.61
"CHI","2018-01-05","2017020632","20172018","VGK","1",4,0,42.86,42.86,42.86,56.63,0,0,3,4,3,4,3,4,0.38,0.29,0,-1,-1,-1,0.09
"CHI","2018-01-07","2017020645","20172018","EDM","1",1.68,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.04,0,-1,-1,-1,-0.04
"CHI","2018-01-09","2017020655","20172018","OTT","0",7.78,0,18.18,14.29,11.76,28.5,0,0,2,9,2,12,2,15,0.38,0.95,0,-7,-10,-13,-0.57
"CHI","2018-01-10","2017020661","20172018","MIN","1",5.02,0,20,11.11,10,2.85,0,0,1,4,1,8,1,9,0.02,0.81,0,-3,-7,-8,-0.79
"CHI","2018-01-12","2017020668","20172018","WPG","1",6,0,25,20,16.67,1.64,0,0,1,3,1,4,1,5,0.01,0.39,0,-2,-3,-4,-0.39
"CHI","2018-01-14","2017020681","20172018","DET","1",6.92,0,16.67,11.11,6.67,0.44,0,0,1,5,1,8,1,14,0,0.81,0,-4,-7,-13,-0.81
"CHI","2018-01-20","2017020718","20172018","NYI","1",7.38,0,16.67,16.67,15.38,7.33,0,2,2,10,2,10,2,11,0.11,1.33,-2,-8,-8,-9,-1.23
"CHI","2018-01-22","2017020729","20172018","T.B","1",3.45,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0.24,0,-4,-4,-4,-0.24
"CHI","2018-01-24","2017020744","20172018","TOR","1",6.2,0,0,18.18,15.38,20.7,0,1,0,5,2,9,2,11,0.2,0.77,-1,-5,-7,-9,-0.57
"CHI","2018-01-25","2017020751","20172018","DET","0",1.2,0,0,0,0,0,0,1,0,3,0,3,0,3,0,0.27,-1,-3,-3,-3,-0.27
"CHI","2018-01-30","2017020768","20172018","NSH","0",2,0,0,0,0,0,0,0,0,4,0,4,0,7,0,0.53,0,-4,-4,-7,-0.53
