"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"CHI","2015-10-07","2015020002","20152016","NYR","1",55.78,10,3,24,43,0,0,0,0,0,27,26,1
"CHI","2015-10-09","2015020015","20152016","NYI","0",53.17,14,11,21,40,1,2,0,0,1,24,34,-10
"CHI","2015-10-10","2015020026","20152016","NYI","1",45.77,13,6,30,46,1,4,0,0,3,18,22,-4
"CHI","2015-10-14","2015020047","20152016","PHI","0",43.63,3,4,24,28,4,4,0,0,0,22,18,4
"CHI","2015-10-15","2015020052","20152016","WSH","0",55.52,6,5,16,29,1,1,0,0,0,21,21,0
"CHI","2015-10-17","2015020072","20152016","CBJ","1",48.58,5,5,25,41,3,4,1,1,1,22,14,8
"CHI","2015-10-22","2015020097","20152016","FLA","1",41.97,3,2,13,27,3,3,0,0,0,29,24,5
"CHI","2015-10-24","2015020114","20152016","T.B","1",45.95,3,5,21,27,3,3,0,0,0,20,20,0
"CHI","2015-10-26","2015020123","20152016","ANA","1",51.82,6,6,16,25,3,4,1,1,1,21,28,-7
"CHI","2015-10-29","2015020142","20152016","WPG","0",50.35,12,5,14,31,2,3,0,0,1,24,32,-8
"CHI","2015-10-30","2015020151","20152016","MIN","0",54.3,1,4,6,11,2,1,0,0,-1,35,33,2
"CHI","2015-11-02","2015020170","20152016","L.A","1",53.55,5,10,19,46,3,2,0,0,-1,34,24,10
"CHI","2015-11-04","2015020182","20152016","STL","1",56.18,5,3,11,24,1,5,0,0,4,37,32,5
"CHI","2015-11-06","2015020195","20152016","N.J","0",47.55,4,2,22,27,0,3,1,1,3,33,22,11
"CHI","2015-11-08","2015020214","20152016","EDM","1",51.32,14,5,23,33,2,4,0,0,2,32,33,-1
"CHI","2015-11-12","2015020238","20152016","N.J","1",46.28,0,5,23,49,3,3,0,0,0,12,17,-5
"CHI","2015-11-14","2015020256","20152016","STL","0",44.37,0,5,5,23,6,5,0,0,-1,27,20,7
"CHI","2015-11-15","2015020260","20152016","CGY","1",51.58,10,11,28,36,1,1,0,0,0,25,19,6
"CHI","2015-11-18","2015020277","20152016","EDM","0",52.85,11,7,15,14,3,2,0,0,-1,27,27,0
