"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"CHI","2017-10-05","2017020010","20172018","PIT","1",10.48,0,1,0,6,1,0,0,0,-1,3,6,-3
"CHI","2017-10-07","2017020025","20172018","CBJ","1",2.52,1,0,0,0,0,0,0,0,0,4,0,4
"CHI","2017-10-09","2017020035","20172018","TOR","0",10.33,1,0,0,2,0,0,0,0,0,4,6,-2
"CHI","2017-10-10","2017020041","20172018","MTL","0",3.62,2,0,0,0,0,0,0,0,0,1,2,-1
"CHI","2017-10-12","2017020054","20172018","MIN","1",6.75,0,0,2,1,0,0,0,0,0,3,2,1
"CHI","2017-10-14","2017020071","20172018","NSH","1",11.15,0,0,0,2,1,0,0,0,-1,8,3,5
"CHI","2017-10-18","2017020093","20172018","STL","0",11.28,1,2,0,2,0,0,0,0,0,7,3,4
"CHI","2017-10-19","2017020100","20172018","EDM","1",9,0,0,0,4,0,1,0,0,1,5,3,2
"CHI","2017-10-21","2017020119","20172018","ARI","0",0.68,0,0,0,0,0,0,0,0,0,1,1,0
"CHI","2017-10-24","2017020135","20172018","VGK","0",5.6,1,0,1,0,0,0,0,0,0,2,2,0
"CHI","2017-10-27","2017020153","20172018","NSH","1",10.18,2,0,1,0,1,0,0,0,-1,7,1,6
"CHI","2017-10-28","2017020165","20172018","COL","0",10,0,0,1,3,0,0,0,0,0,4,3,1
"CHI","2017-11-01","2017020181","20172018","PHI","1",6.1,0,1,0,0,0,0,0,0,0,3,4,-1
"CHI","2017-11-04","2017020208","20172018","MIN","0",6.2,0,0,0,0,0,0,0,0,0,5,1,4
"CHI","2017-11-05","2017020215","20172018","MTL","1",5.97,1,0,0,1,1,0,0,0,-1,4,3,1
"CHI","2017-11-09","2017020236","20172018","PHI","0",6.27,1,0,0,1,0,1,0,0,1,3,5,-2
"CHI","2017-11-11","2017020256","20172018","CAR","0",8,4,3,0,2,0,0,0,0,0,2,2,0
"CHI","2017-11-12","2017020262","20172018","N.J","1",4.07,0,0,0,1,0,0,0,0,0,4,2,2
"CHI","2017-11-15","2017020276","20172018","NYR","1",8.2,1,2,0,2,0,0,0,0,0,5,3,2
"CHI","2017-11-18","2017020300","20172018","PIT","0",7.95,3,0,0,4,0,0,0,0,0,4,4,0
"CHI","2017-11-22","2017020328","20172018","T.B","0",6.35,1,0,0,1,0,1,0,0,1,8,4,4
"CHI","2017-11-25","2017020352","20172018","FLA","0",2,1,0,0,0,0,0,0,0,0,0,2,-2
"CHI","2017-11-27","2017020366","20172018","ANA","1",4.33,0,1,1,2,0,0,0,0,0,3,3,0
"CHI","2017-11-28","2017020373","20172018","NSH","0",5.8,1,0,0,1,0,0,0,0,0,3,5,-2
"CHI","2017-11-30","2017020385","20172018","DAL","1",12.55,2,1,0,3,1,0,0,0,-1,7,6,1
