"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","GIVE","TAKE","HF","HA","PENT2","PEND2","PENT5","PEND5","PEN±","FOW","FOL","FO±"
"CHI","2016-10-12","2016020002","20162017","STL","1",6.87,2,0,3,0,2,0,0,0,-2,2,5,-3
"CHI","2016-10-14","2016020014","20162017","NSH","0",7.45,1,2,1,1,1,1,0,0,0,3,5,-2
"CHI","2016-10-15","2016020026","20162017","NSH","1",2.1,0,0,1,0,0,0,0,0,0,0,2,-2
"CHI","2016-10-18","2016020045","20162017","PHI","1",5.63,2,1,1,0,0,0,0,0,0,3,3,0
"CHI","2016-10-21","2016020063","20162017","CBJ","0",1.2,0,0,0,0,0,0,0,0,0,0,2,-2
"CHI","2016-10-22","2016020072","20162017","TOR","1",3.63,0,1,0,0,0,0,0,0,0,2,0,2
"CHI","2016-10-24","2016020082","20162017","CGY","1",7.3,0,0,2,2,0,0,0,0,0,4,3,1
"CHI","2016-10-28","2016020107","20162017","N.J","0",7.82,2,1,3,0,0,0,0,0,0,4,2,2
"CHI","2016-10-30","2016020128","20162017","L.A","1",3.38,1,1,0,0,0,1,0,0,1,3,3,0
"CHI","2016-11-01","2016020139","20162017","CGY","1",7.93,4,3,3,0,0,0,0,0,0,4,4,0
"CHI","2016-11-03","2016020153","20162017","COL","1",6,2,0,0,0,0,0,0,0,0,1,5,-4
"CHI","2016-11-05","2016020171","20162017","DAL","0",3.5,0,0,0,0,0,2,0,0,2,4,2,2
"CHI","2016-11-06","2016020178","20162017","DAL","1",5.38,1,0,1,1,0,0,0,0,0,2,5,-3
"CHI","2016-11-09","2016020195","20162017","STL","0",6,0,0,0,0,0,0,0,0,0,4,1,3
"CHI","2016-11-11","2016020209","20162017","WSH","1",0,0,0,0,0,0,0,0,0,0,0,0,0
"CHI","2016-11-13","2016020226","20162017","MTL","1",2.58,0,0,2,2,0,0,0,0,0,2,2,0
"CHI","2016-11-15","2016020238","20162017","WPG","0",2,0,2,1,0,0,0,0,0,0,2,2,0
"CHI","2016-11-18","2016020259","20162017","CGY","0",8,1,1,1,0,0,0,0,0,0,5,4,1
"CHI","2016-11-19","2016020270","20162017","VAN","0",3.23,0,0,2,0,0,0,0,0,0,1,4,-3
"CHI","2016-11-21","2016020281","20162017","EDM","0",7.6,2,1,0,0,0,0,0,0,0,1,5,-4
"CHI","2016-11-23","2016020299","20162017","S.J","0",4.2,0,0,0,0,0,0,0,0,0,2,5,-3
"CHI","2016-11-25","2016020304","20162017","ANA","0",4,0,0,1,0,0,0,0,0,0,1,3,-2
"CHI","2016-11-26","2016020320","20162017","L.A","0",6,3,0,0,0,0,0,0,0,0,4,4,0
"CHI","2016-11-29","2016020336","20162017","FLA","1",5.45,1,1,0,1,0,0,0,0,0,3,4,-1
"CHI","2016-12-01","2016020353","20162017","N.J","1",2.57,2,0,0,1,0,0,0,0,0,1,3,-2
"CHI","2016-12-03","2016020361","20162017","PHI","0",5.88,1,0,2,0,0,0,0,0,0,0,6,-6
"CHI","2016-12-04","2016020374","20162017","WPG","1",2.58,0,0,0,1,0,0,0,0,0,1,2,-1
"CHI","2016-12-06","2016020389","20162017","ARI","1",4,2,0,0,0,0,0,0,0,0,2,4,-2
"CHI","2016-12-09","2016020409","20162017","NYR","1",4,3,0,0,0,0,0,0,0,0,2,2,0
"CHI","2016-12-11","2016020427","20162017","DAL","1",4,0,0,0,1,0,0,0,0,0,0,2,-2
"CHI","2016-12-13","2016020433","20162017","NYR","0",0,0,0,0,0,0,0,0,0,0,0,0,0
"CHI","2016-12-15","2016020446","20162017","NYI","0",4,0,1,0,0,0,0,0,0,0,1,4,-3
"CHI","2016-12-17","2016020467","20162017","STL","0",0,0,0,0,0,0,0,0,0,0,0,0,0
"CHI","2016-12-18","2016020474","20162017","S.J","1",4,1,2,1,0,0,0,0,0,0,1,1,0
"CHI","2016-12-20","2016020489","20162017","OTT","1",8.27,2,0,2,1,0,1,0,0,1,6,4,2
"CHI","2016-12-23","2016020512","20162017","COL","1",2,1,1,0,0,0,0,0,0,0,1,0,1
"CHI","2016-12-27","2016020523","20162017","WPG","1",2,0,0,0,1,0,0,0,0,0,1,1,0
"CHI","2016-12-29","2016020537","20162017","NSH","0",7.12,1,0,1,0,0,0,0,0,0,3,3,0
"CHI","2016-12-30","2016020544","20162017","CAR","0",2,0,0,1,0,0,0,0,0,0,1,1,0
"CHI","2017-01-02","2016020562","20162017","STL","0",8,0,0,1,2,0,0,0,0,0,3,6,-3
"CHI","2017-01-05","2016020582","20162017","BUF","1",3.85,2,0,0,0,0,0,0,0,0,0,4,-4
"CHI","2017-01-06","2016020587","20162017","CAR","1",6,1,0,1,0,0,0,0,0,0,5,6,-1
"CHI","2017-01-08","2016020607","20162017","NSH","1",5.13,1,1,1,0,0,0,0,0,0,2,1,1
"CHI","2017-01-10","2016020617","20162017","DET","1",0.15,0,0,0,0,0,0,0,0,0,0,0,0
"CHI","2017-01-13","2016020634","20162017","WSH","0",0,0,0,0,0,0,0,0,0,0,0,0,0
"CHI","2017-01-15","2016020653","20162017","MIN","1",1.32,0,0,0,0,0,0,0,0,0,0,1,-1
"CHI","2017-01-17","2016020668","20162017","COL","0",2.92,0,0,0,1,0,0,0,0,0,0,2,-2
"CHI","2017-01-20","2016020685","20162017","BOS","0",2.4,0,1,0,0,0,0,0,0,0,0,1,-1
"CHI","2017-01-22","2016020706","20162017","VAN","1",4.17,0,0,1,0,0,0,0,0,0,2,3,-1
"CHI","2017-01-24","2016020722","20162017","T.B","1",4,1,2,1,0,0,0,0,0,0,3,0,3
"CHI","2017-01-26","2016020737","20162017","WPG","1",8.53,2,1,0,0,0,2,0,0,2,3,5,-2
"CHI","2017-01-31","2016020754","20162017","S.J","0",4.55,0,0,0,0,0,0,0,0,0,2,2,0
"CHI","2017-02-02","2016020764","20162017","ARI","0",8.15,0,0,1,0,1,0,0,0,-1,3,9,-6
"CHI","2017-02-04","2016020781","20162017","DAL","0",5.8,0,2,0,0,0,0,0,0,0,3,2,1
"CHI","2017-02-08","2016020801","20162017","MIN","0",4,0,0,0,1,0,0,0,0,0,2,2,0
"CHI","2017-02-10","2016020814","20162017","WPG","0",4.67,1,0,0,0,0,0,0,0,0,6,3,3
"CHI","2017-02-11","2016020827","20162017","EDM","0",4,0,2,0,0,0,0,0,0,0,1,2,-1
"CHI","2017-02-18","2016020863","20162017","EDM","1",3.93,1,0,1,1,0,0,0,0,0,2,3,-1
"CHI","2017-02-19","2016020872","20162017","BUF","0",6,0,0,0,0,0,0,0,0,0,1,6,-5
"CHI","2017-02-21","2016020889","20162017","MIN","0",1.48,0,1,0,0,0,0,0,0,0,1,2,-1
"CHI","2017-02-23","2016020898","20162017","ARI","1",7.25,0,0,0,0,0,1,0,0,1,8,3,5
"CHI","2017-02-26","2016020917","20162017","STL","1",2.05,0,0,0,1,0,1,0,0,1,1,1,0
"CHI","2017-03-01","2016020935","20162017","PIT","1",0,0,0,0,0,0,0,0,0,0,0,0,0
"CHI","2017-03-03","2016020949","20162017","NYI","1",6,2,1,2,0,0,0,0,0,0,1,5,-4
"CHI","2017-03-04","2016020959","20162017","NSH","0",2,1,0,0,0,0,0,0,0,0,1,0,1
