"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"CHI","2015-10-07","2015020002","20152016","NYR","1",55.78,12,15,16,132,16,16,21,2,6
"CHI","2015-10-09","2015020015","20152016","NYI","0",53.17,10,16,18,119,13,21,24,4,4
"CHI","2015-10-10","2015020026","20152016","NYI","1",45.77,9,19,4,98,12,19,9,3,1
"CHI","2015-10-14","2015020047","20152016","PHI","0",43.63,11,10,9,104,14,13,13,4,4
"CHI","2015-10-15","2015020052","20152016","WSH","0",55.52,11,17,7,103,13,18,11,3,4
"CHI","2015-10-17","2015020072","20152016","CBJ","1",48.58,13,8,6,106,17,10,9,4,6
"CHI","2015-10-22","2015020097","20152016","FLA","1",41.97,15,14,5,79,20,19,14,6,5
"CHI","2015-10-24","2015020114","20152016","T.B","1",45.95,13,11,7,103,15,13,12,4,2
"CHI","2015-10-26","2015020123","20152016","ANA","1",51.82,8,17,14,119,10,20,19,3,2
"CHI","2015-10-29","2015020142","20152016","WPG","0",50.35,20,14,10,125,22,18,16,4,3
"CHI","2015-10-30","2015020151","20152016","MIN","0",54.3,20,21,7,109,25,28,15,7,7
"CHI","2015-11-02","2015020170","20152016","L.A","1",53.55,12,16,17,118,12,22,24,5,0
"CHI","2015-11-04","2015020182","20152016","STL","1",56.18,19,24,10,101,27,28,14,4,6
"CHI","2015-11-06","2015020195","20152016","N.J","0",47.55,11,21,12,87,13,26,16,4,1
"CHI","2015-11-08","2015020214","20152016","EDM","1",51.32,15,14,14,85,23,22,20,5,6
"CHI","2015-11-12","2015020238","20152016","N.J","1",46.28,8,16,1,124,10,17,2,1,5
"CHI","2015-11-14","2015020256","20152016","STL","0",44.37,18,17,8,99,19,19,9,1,4
"CHI","2015-11-15","2015020260","20152016","CGY","1",51.58,14,15,7,106,18,15,11,4,4
"CHI","2015-11-18","2015020277","20152016","EDM","0",52.85,10,19,13,124,12,23,19,6,5
"CHI","2015-11-20","2015020291","20152016","CGY","0",55.52,14,12,13,160,17,12,17,5,4
"CHI","2015-11-21","2015020303","20152016","VAN","0",52.27,10,19,11,169,13,22,12,2,3
"CHI","2015-11-25","2015020329","20152016","S.J","0",43.8,9,11,6,93,10,13,9,3,5
"CHI","2015-11-27","2015020333","20152016","ANA","0",47.32,22,16,11,73,27,20,14,3,10
"CHI","2015-11-28","2015020353","20152016","L.A","0",58.98,11,12,13,117,17,13,26,11,6
"CHI","2015-12-01","2015020365","20152016","MIN","1",45.12,9,17,10,107,11,21,11,1,3
"CHI","2015-12-03","2015020376","20152016","OTT","0",53.65,14,16,2,130,19,18,7,5,4
"CHI","2015-12-06","2015020399","20152016","WPG","1",48.25,14,18,12,90,19,23,15,2,4
"CHI","2015-12-08","2015020414","20152016","NSH","1",50.37,8,14,12,115,9,17,19,5,1
"CHI","2015-12-10","2015020425","20152016","NSH","0",53.15,16,17,9,91,22,19,16,6,3
"CHI","2015-12-11","2015020430","20152016","WPG","1",39.92,7,12,10,95,10,13,11,1,3
"CHI","2015-12-13","2015020447","20152016","VAN","1",48.12,12,12,12,103,16,14,18,6,9
"CHI","2015-12-15","2015020462","20152016","COL","1",46.83,9,15,8,92,16,20,13,5,5
"CHI","2015-12-17","2015020473","20152016","EDM","1",55.97,12,15,9,113,18,16,21,9,5
"CHI","2015-12-19","2015020483","20152016","BUF","0",57,11,11,10,134,17,15,15,3,3
"CHI","2015-12-20","2015020498","20152016","S.J","1",55.1,19,21,9,120,23,26,14,4,6
"CHI","2015-12-22","2015020513","20152016","DAL","0",48.25,8,11,6,116,10,13,13,3,4
"CHI","2015-12-27","2015020530","20152016","CAR","1",55.2,15,11,8,107,22,14,14,4,5
"CHI","2015-12-29","2015020550","20152016","ARI","0",44.22,10,18,8,108,13,20,14,5,5
"CHI","2015-12-31","2015020560","20152016","COL","0",49.33,8,17,10,122,9,20,17,5,3
"CHI","2016-01-03","2015020581","20152016","OTT","1",52.32,16,9,10,123,19,12,15,3,8
"CHI","2016-01-05","2015020592","20152016","PIT","0",60.52,12,17,12,154,13,18,17,4,1
"CHI","2016-01-06","2015020597","20152016","PIT","1",48.95,17,16,5,106,20,20,7,2,6
"CHI","2016-01-08","2015020610","20152016","BUF","1",55.23,21,16,8,124,28,21,12,3,3
"CHI","2016-01-10","2015020626","20152016","COL","1",50.18,6,17,8,126,7,22,13,3,1
"CHI","2016-01-12","2015020639","20152016","NSH","1",43.48,10,10,10,105,11,13,16,4,1
"CHI","2016-01-14","2015020648","20152016","MTL","0",54.15,15,13,13,140,19,16,23,8,6
"CHI","2016-01-15","2015020655","20152016","TOR","0",43.8,11,11,11,113,12,11,14,3,4
"CHI","2016-01-17","2015020674","20152016","MTL","1",52.08,14,16,4,109,20,17,9,4,3
"CHI","2016-01-19","2015020688","20152016","NSH","0",49.27,8,9,15,100,9,13,23,7,0
"CHI","2016-01-21","2015020698","20152016","T.B","0",44.68,5,9,12,80,5,11,21,6,2
"CHI","2016-01-22","2015020707","20152016","FLA","0",49.37,9,15,7,122,9,18,8,0,3
"CHI","2016-01-24","2015020723","20152016","STL","1",55.3,14,21,8,116,16,22,14,6,4
"CHI","2016-01-26","2015020733","20152016","CAR","0",47.78,13,13,12,94,17,16,17,4,4
"CHI","2016-02-02","2015020752","20152016","COL","0",47.97,12,18,6,120,17,19,9,3,3
"CHI","2016-02-04","2015020768","20152016","ARI","0",50.57,15,20,7,140,17,22,13,7,2
"CHI","2016-02-06","2015020784","20152016","DAL","0",43.52,10,12,8,103,12,12,11,3,4
"CHI","2016-02-09","2015020803","20152016","S.J","1",51.77,16,9,10,113,21,13,13,3,8
"CHI","2016-02-11","2015020815","20152016","DAL","1",51.28,14,19,8,112,18,22,10,1,7
"CHI","2016-02-13","2015020832","20152016","ANA","1",55.27,7,18,15,144,11,19,22,7,3
"CHI","2016-02-15","2015020844","20152016","TOR","1",43.53,8,17,6,86,12,21,12,4,3
"CHI","2016-02-17","2015020855","20152016","NYR","0",49.88,7,17,9,107,8,18,19,8,4
"CHI","2016-02-21","2015020884","20152016","MIN","0",44.43,18,17,8,86,21,18,13,3,6
"CHI","2016-02-25","2015020911","20152016","NSH","1",54.6,11,13,14,128,12,14,20,6,2
"CHI","2016-02-28","2015020930","20152016","WSH","1",46.73,11,14,9,145,11,14,13,7,4
"CHI","2016-03-02","2015020952","20152016","DET","0",51.5,9,18,9,128,10,21,16,6,1
"CHI","2016-03-03","2015020954","20152016","BOS","0",53.75,13,16,8,116,15,21,14,6,6
"CHI","2016-03-06","2015020983","20152016","DET","1",46.87,6,12,13,119,8,14,14,1,0
"CHI","2016-03-09","2015021002","20152016","STL","0",52.13,11,12,10,123,12,13,20,9,1
"CHI","2016-03-11","2015021016","20152016","DAL","0",38.83,7,14,5,112,13,15,7,1,3
"CHI","2016-03-14","2015021034","20152016","L.A","1",46.5,14,16,11,81,16,20,16,5,5
"CHI","2016-03-16","2015021048","20152016","PHI","1",49.77,13,10,6,122,18,13,10,5,4
