"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"CHI","2018-10-04","2018020009","20182019","OTT","0",5.23,4,0,0,6,7,0,0,0,0
"CHI","2018-10-06","2018020024","20182019","STL","0",4.6,2,0,0,11,3,0,0,0,0
"CHI","2018-10-07","2018020030","20182019","TOR","1",6,2,1,0,7,2,1,0,0,0
"CHI","2018-10-11","2018020056","20182019","MIN","0",6.18,4,2,0,10,4,3,0,0,0
"CHI","2018-10-13","2018020068","20182019","STL","1",4.87,3,0,0,4,6,0,0,0,0
"CHI","2018-10-18","2018020095","20182019","ARI","1",4,3,2,0,2,3,2,0,0,0
"CHI","2018-10-20","2018020109","20182019","CBJ","0",4.52,4,2,1,5,4,2,1,0,0
"CHI","2018-10-21","2018020116","20182019","T.B","1",6.5,3,2,0,6,4,2,0,0,0
"CHI","2018-10-23","2018020127","20182019","ANA","1",7.03,5,2,0,5,6,2,1,1,0
"CHI","2018-10-25","2018020139","20182019","NYR","1",8,4,0,0,6,5,0,0,0,0
"CHI","2018-10-27","2018020155","20182019","STL","0",2,2,0,0,1,2,0,0,0,0
"CHI","2018-10-28","2018020162","20182019","EDM","1",8,5,1,2,15,6,1,2,1,0
"CHI","2018-10-31","2018020178","20182019","VAN","0",3.67,1,1,0,5,2,1,1,0,0
"CHI","2018-11-01","2018020188","20182019","EDM","0",6,4,1,1,5,5,1,1,0,0
"CHI","2018-11-03","2018020203","20182019","CGY","0",5.27,3,2,0,7,3,2,0,0,0
"CHI","2018-11-08","2018020233","20182019","CAR","1",4,2,0,0,6,2,1,0,0,0
"CHI","2018-11-10","2018020243","20182019","PHI","0",4.78,4,0,0,7,4,0,0,0,0
"CHI","2018-11-12","2018020261","20182019","CAR","0",0,0,0,0,0,0,0,0,0,0
"CHI","2018-11-14","2018020273","20182019","STL","1",2.58,2,0,0,2,3,0,0,0,0
"CHI","2018-11-16","2018020288","20182019","L.A","1",6,3,0,0,3,4,0,0,0,0
"CHI","2018-11-18","2018020305","20182019","MIN","1",4.9,3,0,0,2,5,0,0,0,0
"CHI","2018-11-21","2018020322","20182019","WSH","0",4.2,1,1,0,6,1,1,0,0,0
"CHI","2018-11-23","2018020341","20182019","T.B","0",3.85,4,0,0,2,4,0,0,0,0
"CHI","2018-11-24","2018020351","20182019","FLA","0",4,2,0,0,1,3,0,0,0,0
"CHI","2018-11-27","2018020374","20182019","VGK","1",3,1,0,0,7,1,0,1,1,0
"CHI","2018-11-29","2018020387","20182019","WPG","0",4,2,0,0,9,3,0,0,0,0
